country_code_filter	country_name_filter	advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
RO	Romania	Partidul Social Democrat	Partidul Social Democrat	291177524360702	Facebook	92	1	36070602	16148847	76645	22249
RO	Romania	Alianța 2020 USR PLUS	Uniunea Salvați România - USR	621574984950400	Facebook	184	1	33893738	15392545	95283	21325
RO	Romania	România în primul rând	Future Innovation	770704223323599	Facebook	94	1	26914287	11980748	28973	6954
RO	Romania	Partidul Naţional Liberal	Future Innovation 	181375448581167	Facebook	133	1	26048181	11165533	41847	10913
RO	Romania	Romania #nuepsd	Future Innovation	293215748279337	Facebook	34	1	13159797	6064928	8523	3592
RO	Romania	Uniunea Salvați România - USR	Uniunea Salvați România - USR	1058116737612843	Facebook	82	1	11770645	5144876	43137	10252
RO	Romania	European Parliament		178362315106	Facebook	90	1	10349881	4752695	50254	9474
RO	Romania	RMDSZ	RMDSZ	102601499822802	Facebook	208	1	7771788	2303998	10860	1932
RO	Romania	ALDE - Partidul Alianta Liberalilor si Democratilor	EvolveDreamSoft	1445317929104549	Facebook	37	1	7179931	3274984	9530	2647
RO	Romania	Fără Penali în Funcții Publice	Uniunea Salvați România - USR	275621429636078	Facebook	39	1	6224898	2930974	20014	5189
RO	Romania	European Commission		107898832590939	Facebook	13	1	5796982	2883496	14924	3962
RO	Romania	Litere.net	litere.net	1504323906337545	Facebook	13	1	4169981	1989997	3989	903
RO	Romania	Politice.net	politice.net	2546711162025064	Facebook	12	1	3775989	1818000	3611	756
RO	Romania	Socialists and Democrats Group in the European Parliament		127925800618165	Facebook	46	1	2783961	1298523	6069	1607
RO	Romania	Departamentul pentru Agricultură și Dezvoltare Rurală al PSD	Partidul Social Democrat	339365506708219	Facebook	13	1	2650971	1129994	3169	630
RO	Romania	Kialo		729627343834501	Facebook	271	1	2610059	1044007	13996	3204
RO	Romania	George Simion		2212856535602171	Facebook	26	1	2591961	1030994	5436	1428
RO	Romania	Winkler Gyula		1560147330888040	Facebook	22	1	2552978	1110000	3230	819
RO	Romania	Silvia Dinică		1128229287275038	Facebook	21	1	2514949	1000987	4428	1029
RO	Romania	Viorel Catarama	Dreapta Liberală - DL	795022763862618	Facebook	20	1	2435971	1125995	2285	420
RO	Romania	PSD Galati	Partidul Social Democrat Galati	1585170161775563	Facebook	22	1	2360970	994996	10332	2437
RO	Romania	EPP - European People's Party	EPP - European People's Party	48034275355	Facebook	30	1	2213514	899892	3587	684
RO	Romania	Declic	Declic	686190454826244	Facebook	15	1	2160978	1001997	4493	1134
RO	Romania	Departamentul Fonduri Europene al PSD	Partidul Social Democrat	1030472763816931	Facebook	8	1	1814904	805962	670	126
RO	Romania	Video News		329122497569429	Facebook	5	1	1704993	700999	1700	525
RO	Romania	Traian Băsescu		361235817223309	Facebook	10	1	1691371	689550	2146	359
RO	Romania	Eco friendly home		547824632336134	Facebook	3	1	1549982	709993	1596	599
RO	Romania	USR Arad	Uniunea Salvați Romania	1210260295704425	Facebook	27	1	1483697	530433	4592	923
RO	Romania	ALDE Sector 6		428872677299268	Facebook	57	1	1342941	315999	2530	336
RO	Romania	Tikaboo Romania		617570241716349	Facebook	10	1	1311989	574999	5607	1113
RO	Romania	Kelemen Hunor	RMDSZ	175293925828191	Facebook	38	1	1248961	299999	2051	315
RO	Romania	Siegfried Muresan		731035500293728	Facebook	5	1	1199978	469993	524	105
RO	Romania	Partidul Social Democrat Departamentul pentru Politici Fiscal Bugetare		2006803969624108	Facebook	5	1	1199952	549981	440	84
RO	Romania	USR Sector 5	Uniunea Salvați România	1460571894265803	Facebook	63	1	1159937	426000	1898	147
