advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	impression_code_filter	impression_label_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
CDU Christlich Demokratische Union		AR68737343799951360	Google	0_1k	0 - 1k	4691	1	31652170	0	282143	13764
COALICION CANARIA		AR489541609348661248	Google	0_1k	0 - 1k	4654	1	31402516	0	157012	0
Koalicyjny Komitet Wyborczy Koalicja Europejska PO PSL SLD .N  ZIELONI		AR489880258930016256	Google	0_1k	0 - 1k	1909	1	12880834	0	64404	0
mmb media agentur d.o.o.		AR524572049809604608	Google	0_1k	0 - 1k	1382	1	9324941	0	46624	0
HLAS		AR312619193323225088	Google	0_1k	0 - 1k	814	1	5492403	0	31712	472
Sloboda a Solidarita ( SaS )		AR185084640594231296	Google	0_1k	0 - 1k	697	1	4702955	0	23514	0
CDU	CDU	78502295414	Facebook	0_1k	0 - 1k	3022	1	3018977	0	299178	0
Open Vld		AR369049153717665792	Google	0_1k	0 - 1k	311	1	2098449	0	10492	0
CENTERPARTIETS RIKSORGANISATION		AR484881879070146560	Google	0_1k	0 - 1k	278	1	1875784	0	35660	1012
DIE GRÜNEN – DIE GRÜNE ALTERNATIVE		AR330966468978016256	Google	0_1k	0 - 1k	268	1	1808309	0	9041	0
Det Konservative Folkeparti		AR40969452518375424	Google	0_1k	0 - 1k	260	1	1754330	0	12415	404
Mediabrands Digital OÜ		AR530356305605427200	Google	0_1k	0 - 1k	242	1	1632876	0	8164	0
EVOLVEDREAMSOFT SRL		AR495298652231696384	Google	0_1k	0 - 1k	215	1	1450696	0	7557	33
Gestion et Action Libérale		AR201311233196949504	Google	0_1k	0 - 1k	207	1	1396716	0	10627	404
Flamesite s.r.o.		AR522320249995919360	Google	0_1k	0 - 1k	193	1	1302253	0	6511	0
Bündnis 90/Die Grünen Baden-Württemberg		AR17917091730423808	Google	0_1k	0 - 1k	174	1	1174051	0	6781	101
Sloboda a Solidarita		AR242125929453715456	Google	0_1k	0 - 1k	159	1	1072840	0	6275	101
PSOE Aragón	PSOE Aragón	170970449608409	Facebook	0_1k	0 - 1k	1049	1	1047950	0	103851	0
TOP 09		AR268709096956362752	Google	0_1k	0 - 1k	148	1	998618	0	4993	0
Lietuvos Respublikos liberalų sąjūdis		AR132631338879549440	Google	0_1k	0 - 1k	136	1	917649	0	4588	0
Sozialdemokratische Partei Österreichs (SPÖ)		AR520910676089110528	Google	0_1k	0 - 1k	131	1	883912	0	9581	573
Bündnis90/ Die Grünen		AR207068276079984640	Google	0_1k	0 - 1k	118	1	796196	0	9750	641
Liberal Alliance		AR183859784640888832	Google	0_1k	0 - 1k	115	1	775953	0	7523	404
SF - Socialistisk Folkeparti		AR76998249537339392	Google	0_1k	0 - 1k	115	1	775953	0	6308	269
COALICION ELECTORAL UNIDAS PODEMOS		AR21167248102129664	Google	0_1k	0 - 1k	110	1	742216	0	6140	269
FDP	FDP	21289227249	Facebook	0_1k	0 - 1k	735	1	734264	0	72765	0
Liberal Alliance Djursland		AR73057599863390208	Google	0_1k	0 - 1k	98	1	661247	0	3306	0
BÜNDNIS 90/DIE GRÜNEN	BÜNDNIS 90/DIE GRÜNEN	47217143218	Facebook	0_1k	0 - 1k	623	1	622376	0	61676	0
Socialdemokraterne Aarhus 1. Kreds		AR152882144039927808	Google	0_1k	0 - 1k	86	1	580278	0	2901	0
Fratelli d'Italia Centrodestra Nazionale		AR400032566754672640	Google	0_1k	0 - 1k	86	1	580278	0	3508	67
Conservatives	The Conservative Party	8807334278	Facebook	0_1k	0 - 1k	577	1	576422	0	66102	0
KREMSA DIGITAL s.r.o.		AR420840549432426496	Google	0_1k	0 - 1k	72	1	485814	0	2429	0
ΑΝΟΡΘΩΤΙΚΟ ΚΟΜΜΑ ΕΡΓΑΖΟΜΕΝΟΥ ΛΑΟΥ (ΑΚΕΛ)		AR429686395355791360	Google	0_1k	0 - 1k	72	1	485814	0	2429	0
Partido Popular Regional De Canarias		AR288284801977286656	Google	0_1k	0 - 1k	70	1	472319	0	2361	0
Nieuw-Vlaamse Alliantie		AR417822664892088320	Google	0_1k	0 - 1k	65	1	438582	0	26955	843
Kansallinen Kokoomus r.p.		AR210958348219056128	Google	0_1k	0 - 1k	62	1	418340	0	7557	607
Suomen Sosialidemokraattinen Puolue - Finlands Socialdemokratiska  Parti r.p.		AR525570406367625216	Google	0_1k	0 - 1k	62	1	418340	0	8164	674
Barcelona en Comú		AR342176264901099520	Google	0_1k	0 - 1k	56	1	377855	0	1889	0
Občanska demokraticka strana		AR386241117529571328	Google	0_1k	0 - 1k	55	1	371108	0	1855	0
Socialdemokratiet Sønderborg kreds		AR556939473108074496	Google	0_1k	0 - 1k	55	1	371108	0	1855	0
AMERISOFT SRL		AR573801583431647232	Google	0_1k	0 - 1k	54	1	364360	0	1821	0
SPOLU - občianska demokracia		AR194838133366325248	Google	0_1k	0 - 1k	53	1	357613	0	1788	0
Venstres Landsorganisation		AR283015942256984064	Google	0_1k	0 - 1k	50	1	337371	0	3508	202
Projekt Európa		AR303746959120793600	Google	0_1k	0 - 1k	49	1	330623	0	1653	0
Unitas		AR53945888749387776	Google	0_1k	0 - 1k	49	1	330623	0	1956	33
Varsinais-Suomen Kokoomus ry		AR199136399197208576	Google	0_1k	0 - 1k	48	1	323876	0	5870	472
GREEN DAY, s.r.o		AR423241058193768448	Google	0_1k	0 - 1k	47	1	317128	0	2496	101
KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ		AR237340030215913472	Google	0_1k	0 - 1k	44	1	296886	0	1788	33
SOCIALDEMOKRATIET		AR271193993235136512	Google	0_1k	0 - 1k	40	1	269897	0	1956	67
Open VLD		AR350212320510607360	Google	0_1k	0 - 1k	40	1	269897	0	1349	0
Socialdemokratiet i Region Midtjylland		AR258908874940088320	Google	0_1k	0 - 1k	39	1	263149	0	1923	67
Yhteinen hyvä ry		AR296997332115783680	Google	0_1k	0 - 1k	34	1	229412	0	2057	101
Freiheitliche Partei Österreich		AR333020356698701824	Google	0_1k	0 - 1k	33	1	222665	0	2631	168
Liberaalipuolue - Vapaus valita r.p.		AR52536314842578944	Google	0_1k	0 - 1k	32	1	215917	0	1079	0
Česká Produkční Social Media s.r.o.		AR561937852967944192	Google	0_1k	0 - 1k	29	1	195675	0	1585	67
MR - Mouvement Réformateur	MR - Mouvement Réformateur	236330169511	Facebook	0_1k	0 - 1k	182	1	181817	0	18017	0
European People’s Party		AR308399267695820800	Google	0_1k	0 - 1k	26	1	175433	0	2091	134
Perussuomalaiset r.p., Sannfinländarna r.p.		AR535217521389731840	Google	0_1k	0 - 1k	25	1	168685	0	2968	236
Saku Petteri Räty		AR196651502918434816	Google	0_1k	0 - 1k	24	1	161938	0	2327	168
Liberal Democrats	the Liberal Democrats	5883973269	Facebook	0_1k	0 - 1k	153	1	152846	0	17527	0
Vapaus ry		AR124593908880506880	Google	0_1k	0 - 1k	22	1	148443	0	742	0
CDA Doetinchem		AR453512812329697280	Google	0_1k	0 - 1k	21	1	141695	0	708	0
Verband der Chemischen Industrie e.V.	Chemie Wirtschaftsförderungs GmbH	921326477983554	Facebook	0_1k	0 - 1k	139	1	138860	0	13760	0
Rumilus Design Oy		AR391102333313875968	Google	0_1k	0 - 1k	20	1	134948	0	674	0
Kankaanpään Työväenyhdistys ry		AR217573010171756544	Google	0_1k	0 - 1k	19	1	128201	0	641	0
Fianna Fáil		AR101183107301900288	Google	0_1k	0 - 1k	18	1	121453	0	910	33
Pametno		AR222880077921124352	Google	0_1k	0 - 1k	18	1	121453	0	607	0
Partito Democratico		AR254356072167374848	Google	0_1k	0 - 1k	17	1	114706	0	3002	269
Janika Takatalo		AR113027046556303360	Google	0_1k	0 - 1k	16	1	107958	0	1147	67
KW Prawo i Sprawiedliwość		AR32708546780987392	Google	0_1k	0 - 1k	16	1	107958	0	539	0
Maailman Paras Pääkaupunki ry		AR221113437613195264	Google	0_1k	0 - 1k	15	1	101211	0	2631	236
Österreichischer Wirtschaftsbund (ÖWB)		AR248881328894771200	Google	0_1k	0 - 1k	15	1	101211	0	1113	67
ENTUSIASMO Y MUCHO VALOR, S.L.U.		AR433345570053029888	Google	0_1k	0 - 1k	15	1	101211	0	506	0
Suomen Keskusta r.p.		AR441112520191639552	Google	0_1k	0 - 1k	15	1	101211	0	809	33
Teknologia ja tulevaisuus ry		AR340766690994290688	Google	0_1k	0 - 1k	14	1	94463	0	775	33
EUpositive.sk		AR348804120993333248	Google	0_1k	0 - 1k	14	1	94463	0	472	0
Cink, s.r.o.		AR361287976015101952	Google	0_1k	0 - 1k	14	1	94463	0	472	0
Avante Comunicación SL		AR486291452976955392	Google	0_1k	0 - 1k	14	1	94463	0	472	0
Työlinjalla ry		AR88565111861542912	Google	0_1k	0 - 1k	14	1	94463	0	472	0
Savo-Karjalan vihreät ry		AR343251587273064448	Google	0_1k	0 - 1k	13	1	87716	0	438	0
Tampereen Vihreät ry		AR4096230569279488	Google	0_1k	0 - 1k	13	1	87716	0	438	0
