week_code	week_label	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
w020	Week 20	28533	3321	94226622	32834602	640926	74025
w019	Week 19	53614	5445	865535253	307708560	5704966	761464
w018	Week 18	50144	6039	1127987669	277141304	6876089	735102
w017	Week 17	42528	5563	1089450546	276211813	6870634	751118
w016	Week 16	32197	5960	650200693	175369781	3870480	386872
w015	Week 15	27340	7660	538113047	153328854	3823455	387479
w014	Week 14	20310	6885	384190192	105361290	2776546	267683
w013	Week 13	18336	5859	297545184	96618244	2227129	269253
w012	Week 12	17495	5505	256212661	88235774	1958326	251827
w011	Week 11	12908	4573	190957048	69752093	1383610	194220
