audience_code	audience_label	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
f18_24	female (18-24)	FR	France	8407	2654	27851016	11318009	166832	28079
m25_34	male (25-34)	FR	France	10560	2882	27591091	10806242	213681	38028
f25_34	female (25-34)	FR	France	11081	3002	25936330	9940622	208662	35596
m18_24	male (18-24)	FR	France	8086	2566	24091472	9946394	142165	24618
f35_44	female (35-44)	FR	France	11085	2950	21672117	8141757	191134	32577
m35_44	male (35-44)	FR	France	10498	2825	20441617	7850251	178968	32288
f45_54	female (45-54)	FR	France	10606	2827	18033609	6788047	168523	27786
m45_54	male (45-54)	FR	France	10024	2711	15365309	5845164	142661	25181
f55_64	female (55-64)	FR	France	9479	2603	14109526	5266292	135785	21474
f65_	female (65+)	FR	France	8265	2304	10539175	3860058	100114	14851
m55_64	male (55-64)	FR	France	9024	2521	10420633	3903660	99173	16915
m65_	male (65+)	FR	France	7889	2238	8170896	3028866	75692	12495
f13_17	female (13-17)	FR	France	1222	514	4955963	2077796	12729	1198
m13_17	male (13-17)	FR	France	1211	490	2270721	922857	10859	1133
u35_44	unknown (35-44)	FR	France	8324	2418	634708	233636	5649	890
u25_34	unknown (25-34)	FR	France	7971	2389	567284	210787	4725	708
u45_54	unknown (45-54)	FR	France	7437	2229	364811	134383	3299	523
u65_	unknown (65+)	FR	France	5605	1750	221389	79183	2200	292
u55_64	unknown (55-64)	FR	France	6011	1926	211739	77175	2041	315
u18_24	unknown (18-24)	FR	France	5208	1790	154885	57787	1158	132
u13_17	unknown (13-17)	FR	France	743	376	12273	4719	55	4
