country_code_filter	country_name_filter	spend_code	spend_label	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
FR	France	0_50	0 - 50	10324	2931	55185806	14340570	612513	160
FR	France	50_100	50 - 100	10414	2873	3280293	1212771	17837	2713
FR	France	100_1k	100 - 1k	2271	698	98525633	39829706	515745	151740
FR	France	1k_5k	1k - 5k	298	110	74523535	33821688	707784	147377
FR	France	5k_10k	5k - 10k	19	15	5324772	2635696	68471	28271
FR	France	10k_50k	10k - 50k	4	2	340449	153264	14280	2856
