recent_code	recent_label	first_day	last_day	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
rd1	Yesterday	2019-05-16	2019-05-16	38628	4044	135751756	46762390	994059	111465
rd2	Last 2 days	2019-05-15	2019-05-16	41886	4389	298278314	102836198	2169836	249663
rd3	Last 3 days	2019-05-14	2019-05-16	45157	4684	473683427	164927387	3322583	406142
rd4	Last 4 days	2019-05-13	2019-05-16	48815	4905	633320364	222135774	4403231	557897
rd5	Last 5 days	2019-05-12	2019-05-16	57422	5243	790370624	271616767	5265483	683207
rd6	Last 6 days	2019-05-11	2019-05-16	60092	5469	944414931	321185287	6123219	812046
rw1	Last week	2019-05-10	2019-05-16	65229	5720	1112728277	375168832	7046785	954316
rw2	Last 2 weeks	2019-05-03	2019-05-16	89805	7412	1985676361	663797808	12317470	1717571
rw3	Last 3 weeks	2019-04-26	2019-05-16	117377	9478	2608877179	878348480	16604369	2323014
rw4	Last 4 weeks	2019-04-19	2019-05-16	133012	11073	3188453556	1079541078	20370207	2851408
rm1	Last month	2019-04-17	2019-05-16	138410	11618	3323048812	1123285689	21296237	2953348
rm2	Last 2 months	2019-03-18	2019-05-16	188202	21229	4733825859	1615508541	30805009	4257541
rm3	Last 3 months	2019-02-16	2019-05-16	207181	23840	5278882886	1813928285	34809647	4827045
rm6	Last 6 months	2019-01-01	2019-05-16	219560	24491	5648603154	1945732000	37849092	5291488
