week_code	week_label	first_day	last_day	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
w020	Week 20	2019-05-13	2019-05-15	42055	4427	428526231	150635828	3046091	363938
w019	Week 19	2019-05-06	2019-05-12	64238	5754	1033278675	330287005	6031435	836825
w018	Week 18	2019-04-29	2019-05-05	49733	6065	687529132	232944016	4529092	646971
w017	Week 17	2019-04-22	2019-04-28	41849	5574	665271456	233897266	4426164	656026
w016	Week 16	2019-04-15	2019-04-21	31708	5984	459217640	156835944	2922272	367026
w015	Week 15	2019-04-08	2019-04-14	26907	7718	401740275	140606840	2631212	366272
w014	Week 14	2019-04-01	2019-04-07	20293	6963	293891573	98591632	1904991	258341
w013	Week 13	2019-03-25	2019-03-31	18280	5940	269133872	94986301	1860157	264443
w012	Week 12	2019-03-18	2019-03-24	17815	5594	249935226	88724056	1902937	251899
w011	Week 11	2019-03-11	2019-03-17	13290	4659	193878398	70755006	1418634	195323
w010	Week 10	2019-03-04	2019-03-10	10282	3785	161893715	59574928	1096709	155137
w009	Week 9	2019-02-25	2019-03-03	6515	2049	88640647	31534485	669278	100700
w008	Week 8	2019-02-18	2019-02-24	5561	1393	73500593	26487875	652210	92133
w007	Week 7	2019-02-11	2019-02-17	4192	1219	51057971	18051763	399955	56503
w006	Week 6	2019-02-04	2019-02-10	3694	1089	54709068	20632403	422051	58682
w005	Week 5	2019-01-28	2019-02-03	3967	966	62998057	22449683	502013	80271
w004	Week 4	2019-01-21	2019-01-27	3872	901	52241262	19103524	448685	64837
w003	Week 3	2019-01-14	2019-01-20	3397	836	48628383	17244583	424265	66083
w002	Week 2	2019-01-07	2019-01-13	2532	715	42009476	14196463	316119	50775
w001	Week 1	2019-01-01	2019-01-06	3056	551	66984800	23083391	611557	99831
