week_code_filter	week_label_filter	advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
w020	Week 20	European Greens		141366725876424	Facebook	114	1	14271388	6400738	83190	20490
w020	Week 20	Alianța 2020 USR PLUS	Uniunea Salvați România - USR	621574984950400	Facebook	118	1	11737055	5053041	20049	4566
w020	Week 20	FDP	FDP	21289227249	Facebook	1375	1	8867521	2669306	87024	4247
w020	Week 20	Silvio Berlusconi	Silvio Berlusconi	116716651695782	Facebook	373	1	7799734	3284893	37429	7012
w020	Week 20	Partito Democratico		77034286895	Facebook	127	1	6129423	2629319	22677	3971
w020	Week 20	BÜNDNIS 90/DIE GRÜNEN	BÜNDNIS 90/DIE GRÜNEN	47217143218	Facebook	398	1	5772381	1791605	46110	5720
w020	Week 20	N-VA	Nieuw-Vlaamse Alliantie	334361224413	Facebook	115	1	5642416	2339642	19968	4956
w020	Week 20	Make.org	Make.org	122037308191612	Facebook	26	1	5591448	2457241	29589	6828
w020	Week 20	România în primul rând	Future Innovation	770704223323599	Facebook	35	1	5498089	2421719	5016	1331
w020	Week 20	Parlement européen en France	Parlement européen en France	279757933824	Facebook	72	1	4877111	1999285	26154	6257
w020	Week 20	sp.a	sp.a	57253967150	Facebook	211	1	4874188	1721790	21671	3569
w020	Week 20	SPÖ	SPÖ	77393060080	Facebook	552	1	4338567	1429609	36563	5549
w020	Week 20	Konfederacja KORWiN Braun Liroy Narodowcy	KWW Konfederacja KORWiN Braun Liroy Narodowcy	1971966879776579	Facebook	63	1	3946910	1801000	12681	4119
w020	Week 20	Sign for my Future	Sign for my Future	1345513882259768	Facebook	61	1	3790954	1551500	34104	9199
w020	Week 20	Liberal Democrats	the Liberal Democrats	5883973269	Facebook	759	1	3652458	1143822	52101	6848
w020	Week 20	LMP - Lehet Más a Politika	LMP - Lehet Más a Politika	47198507012	Facebook	35	1	3327118	1496559	2440	604
w020	Week 20	MSZP	MSZP	115388925185513	Facebook	40	1	3164631	1295333	4965	1979
w020	Week 20	Open Vld	Open Vld	53668151866	Facebook	180	1	3054819	1252250	17360	4136
w020	Week 20	Matteo Salvini	Lega - Salvini Premier	252306033154	Facebook	9	1	2976778	1279464	8394	2805
w020	Week 20	EPP - European People's Party	EPP - European People's Party	48034275355	Facebook	132	1	2837431	906499	8631	610
w020	Week 20	Centerpartiet	Centerpartiet	12690894340	Facebook	203	1	2831471	958667	33734	8390
w020	Week 20	PACMA - Partido Animalista	PACMA - Partido Animalista	72181181684	Facebook	23	1	2766625	1227785	4923	1171
w020	Week 20	Jobbik Magyarországért Mozgalom	Jobbik Magyarországért Mozgalom	287770891404	Facebook	22	1	2751174	1172380	5239	2145
w020	Week 20	Kyriakos Mitsotakis		34848567724	Facebook	25	1	2659975	1013999	4475	650
w020	Week 20	Change UK - The Independent Group	Change UK - The Independent Group	395151614382309	Facebook	139	1	2413624	990484	23003	4945
