country_code	country_name	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
AT	Austria	2496	242	70316674	26557551	682250	123901
BE	Belgium	4105	608	172696043	65279686	1700746	377389
BG	Bulgaria	458	93	30121455	12342028	105906	18871
HR	Croatia	592	112	28163422	10802015	95575	14784
CY	Cyprus	527	56	18538387	6627093	81035	8299
CZ	Czechia	1281	186	38832724	14454385	194003	51112
DK	Denmark	3850	426	69757623	22368881	807100	204590
EE	Estonia	360	49	8417752	2374118	58496	7664
FI	Finland	1568	165	29376855	9503007	357227	57669
FR	France	669	191	32908917	14013802	221725	44039
DE	Germany	34662	881	274353133	82413457	4393770	260895
EL	Greece	2871	424	160098075	62924491	663510	107222
HU	Hungary	1924	220	131012062	52901277	436241	163554
IE	Ireland	1026	217	34875652	12995787	258844	45761
IT	Italy	6446	1030	241159928	88802625	1305615	180470
LV	Latvia	359	56	11336375	3944497	47421	4838
LT	Lithuania	392	64	21765451	8509153	92528	17626
LU	Luxembourg	394	61	8966722	2535360	63979	9549
MT	Malta	636	66	17818920	6006060	118192	15232
NL	Netherlands	1181	245	37071597	15232906	258198	52139
PL	Poland	3361	356	131129890	46188437	487121	111603
PT	Portugal	199	39	15732631	7130460	49516	9499
RO	Romania	1752	300	138977836	56532336	304820	77395
SK	Slovakia	5003	237	60521439	19542096	688575	55891
SI	Slovenia	516	82	13859447	4679988	72362	8140
ES	Spain	6423	499	151402695	55746141	1420921	214341
SE	Sweden	3892	512	109025877	39965260	1335726	357055
UK	United Kingdom	9258	411	160205269	57645089	2176561	307046
