country_code_filter	country_name_filter	gender_code	gender_label	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
UK	United Kingdom	f	female	52258	5190	447324995	153464359	5632208	775779
UK	United Kingdom	m	male	51416	5099	454482015	154638010	5528684	742040
UK	United Kingdom	u	unknown	42989	4797	12125943	4086687	159967	22359
