week_code	week_label	first_day	last_day	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
w020	Week 20	2019-05-13	2019-05-17	MT	Malta	694	94	7904632	2521396	50474	2984
w019	Week 19	2019-05-06	2019-05-12	MT	Malta	748	104	13055639	4655325	66675	7862
w018	Week 18	2019-04-29	2019-05-05	MT	Malta	693	121	7517564	2485622	34763	2764
w017	Week 17	2019-04-22	2019-04-28	MT	Malta	608	127	4219292	1447492	19660	1481
w016	Week 16	2019-04-15	2019-04-21	MT	Malta	553	167	1517498	440048	8367	313
w015	Week 15	2019-04-08	2019-04-14	MT	Malta	792	254	2123871	665283	10728	513
w014	Week 14	2019-04-01	2019-04-07	MT	Malta	694	256	2009454	648715	9624	705
w013	Week 13	2019-03-25	2019-03-31	MT	Malta	592	232	1707359	594338	7476	530
w012	Week 12	2019-03-18	2019-03-24	MT	Malta	470	203	1448971	567114	6516	421
w011	Week 11	2019-03-11	2019-03-17	MT	Malta	298	126	1253659	437672	5546	544
w010	Week 10	2019-03-04	2019-03-10	MT	Malta	296	108	1229999	408480	6547	486
w009	Week 9	2019-02-25	2019-03-03	MT	Malta	190	78	721908	198784	5256	452
w008	Week 8	2019-02-18	2019-02-24	MT	Malta	134	61	707289	251599	4520	467
w007	Week 7	2019-02-11	2019-02-17	MT	Malta	109	53	961238	358194	4710	515
w006	Week 6	2019-02-04	2019-02-10	MT	Malta	91	39	1636169	720380	8180	1289
w005	Week 5	2019-01-28	2019-02-03	MT	Malta	105	41	234734	57206	1231	19
w004	Week 4	2019-01-21	2019-01-27	MT	Malta	96	41	363717	129700	2493	138
w003	Week 3	2019-01-14	2019-01-20	MT	Malta	109	37	711871	251592	4986	688
w002	Week 2	2019-01-07	2019-01-13	MT	Malta	77	32	639507	225555	5295	805
w001	Week 1	2019-01-01	2019-01-06	MT	Malta	54	25	536704	178461	4263	682
