country_code_filter	country_name_filter	audience_code	audience_label	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
AT	Austria	m25_34	male (25-34)	10607	1371	27986783	9840194	248773	38074
AT	Austria	m18_24	male (18-24)	9964	1250	24229246	8427778	203726	28793
AT	Austria	f18_24	female (18-24)	9997	1270	19336514	6848554	148061	19383
AT	Austria	f25_34	female (25-34)	10764	1396	18427666	6610125	162766	23978
AT	Austria	m35_44	male (35-44)	10241	1327	17234367	5963677	165935	25441
AT	Austria	m45_54	male (45-54)	9797	1283	13476599	4491923	140320	19803
AT	Austria	f35_44	female (35-44)	10449	1358	12039529	4174038	119581	17297
AT	Austria	f45_54	female (45-54)	10046	1306	11143676	3721563	119310	16110
AT	Austria	f55_64	female (55-64)	9118	1207	8661267	2834366	98342	12539
AT	Austria	m55_64	male (55-64)	8844	1194	8526601	2755265	94685	12193
AT	Austria	m65_	male (65+)	7781	1057	4709451	1501936	54366	6809
AT	Austria	f65_	female (65+)	7848	1069	4695906	1518551	53419	6862
AT	Austria	f13_17	female (13-17)	4490	384	4482799	1531328	33487	3996
AT	Austria	m13_17	male (13-17)	4737	376	3942970	1304295	36090	3930
AT	Austria	u25_34	unknown (25-34)	7298	1157	274773	94389	2574	354
AT	Austria	u35_44	unknown (35-44)	7191	1140	248956	83593	2505	344
AT	Austria	u45_54	unknown (45-54)	6103	1041	117734	38287	1248	164
AT	Austria	u18_24	unknown (18-24)	5114	924	74323	25449	627	81
AT	Austria	u65_	unknown (65+)	4306	840	62395	19909	679	80
AT	Austria	u55_64	unknown (55-64)	4459	880	53332	16808	576	73
AT	Austria	u13_17	unknown (13-17)	1487	258	15674	5209	132	14
