recent_code	recent_label	first_day	last_day	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
rd1	Yesterday	2019-05-07	2019-05-07	RO	Romania	387	98	4337246	1813558	7137	1833
rd2	Last 2 days	2019-05-06	2019-05-07	RO	Romania	448	111	10903767	4587035	19063	4695
rd3	Last 3 days	2019-05-05	2019-05-07	RO	Romania	507	126	18580001	7855439	34069	8376
rd4	Last 4 days	2019-05-04	2019-05-07	RO	Romania	562	133	28188035	11995161	54800	13221
rd5	Last 5 days	2019-05-03	2019-05-07	RO	Romania	627	152	36639870	15617381	72026	17321
rd6	Last 6 days	2019-05-02	2019-05-07	RO	Romania	676	164	43395418	18567052	86039	20550
rw1	Last week	2019-05-01	2019-05-07	RO	Romania	708	176	48016088	20554531	96591	22836
rw2	Last 2 weeks	2019-04-24	2019-05-07	RO	Romania	1301	281	89634403	38081801	168808	42476
rw3	Last 3 weeks	2019-04-17	2019-05-07	RO	Romania	1827	395	132957884	56621195	267555	64991
rw4	Last 4 weeks	2019-04-10	2019-05-07	RO	Romania	2421	528	156271788	66305084	315634	75008
rm1	Last month	2019-04-08	2019-05-07	RO	Romania	2560	579	160009040	67811803	324539	76889
rm2	Last 2 months	2019-03-09	2019-05-07	RO	Romania	3758	933	187304848	77649592	386441	86070
rm3	Last 3 months	2019-02-07	2019-05-07	RO	Romania	4093	993	195758651	81171946	404649	89501
rm6	Last 6 months	2019-01-01	2019-05-07	RO	Romania	4250	1020	197858829	81926357	408529	90084
