impression_code_filter	impression_label_filter	country_code_filter	country_name_filter	advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
500k_1m	500k - 1m	EE	Estonia	Inimõiguste Instituut / Estonian Institute of Human Rights		144333745668266	Facebook	1	1	999986	499993	498	99
500k_1m	500k - 1m	EE	Estonia	Kialo		729627343834501	Facebook	11	1	44016	22008	240	75
500k_1m	500k - 1m	EE	Estonia	European Greens	European Greens	141366725876424	Facebook	2	1	26647	13324	133	26
500k_1m	500k - 1m	EE	Estonia	Socialists and Democrats Group in the European Parliament		127925800618165	Facebook	6	1	22364	11182	26	11
500k_1m	500k - 1m	EE	Estonia	Game of Sultans		185311195624361	Facebook	1	1	6346	3173	282	56
500k_1m	500k - 1m	EE	Estonia	European Parliament		178362315106	Facebook	1	1	4445	2223	22	4
500k_1m	500k - 1m	EE	Estonia	European Youth Event		919232861444360	Facebook	1	1	3807	1904	19	3
500k_1m	500k - 1m	EE	Estonia	Erasmus Student Network		25226723130	Facebook	1	1	3256	1628	1	0
500k_1m	500k - 1m	EE	Estonia	Wholesome Culture		1664959567149320	Facebook	1	1	2662	1331	11	2
500k_1m	500k - 1m	EE	Estonia	ALDE Party – Liberals and Democrats for Europe		262681199589	Facebook	1	1	2649	1325	13	2
500k_1m	500k - 1m	EE	Estonia	European Commission		107898832590939	Facebook	2	1	2478	1239	7	1
500k_1m	500k - 1m	EE	Estonia	Europe Together		140105536131109	Facebook	1	1	2150	1075	10	2
500k_1m	500k - 1m	EE	Estonia	MasterClass		687589164666184	Facebook	2	1	2037	1019	9	1
500k_1m	500k - 1m	EE	Estonia	MmosWorld		1262271977168621	Facebook	1	1	1166	583	0	0
500k_1m	500k - 1m	EE	Estonia	Pologize Fashion		274227073497806	Facebook	1	1	682	341	6	3
500k_1m	500k - 1m	EE	Estonia	Gaia		182073298490036	Facebook	1	1	645	323	5	2
500k_1m	500k - 1m	EE	Estonia	Huawei Europe		1709278142683543	Facebook	1	1	627	314	0	0
500k_1m	500k - 1m	EE	Estonia	Verv		560545637307176	Facebook	1	1	502	251	0	0
500k_1m	500k - 1m	EE	Estonia	BonneGueule		140324089470	Facebook	1	1	437	219	2	0
500k_1m	500k - 1m	EE	Estonia	Zimmylifestyle.com		235024056945953	Facebook	1	1	162	81	0	0
500k_1m	500k - 1m	EE	Estonia	RSM MBA		110428762358678	Facebook	1	1	122	61	0	0
500k_1m	500k - 1m	EE	Estonia	Women, War & Peace | PBS	Peace is Loud	208504065850908	Facebook	1	1	64	32	0	0
500k_1m	500k - 1m	EE	Estonia	ScribersHive		722350287934296	Facebook	1	1	40	20	0	0
500k_1m	500k - 1m	EE	Estonia	China Xinhua News		338109312883186	Facebook	1	1	28	14	0	0
500k_1m	500k - 1m	EE	Estonia	European Commission - Development & Cooperation - EuropeAid		287842647957979	Facebook	1	1	24	12	0	0
500k_1m	500k - 1m	EE	Estonia	Открытые медиа. Инфометр		1246107138782307	Facebook	1	1	18	9	0	0
500k_1m	500k - 1m	EE	Estonia	Scholarships for International Students		143550215717842	Facebook	1	1	13	7	0	0
500k_1m	500k - 1m	EE	Estonia	Delphinus		20411877802	Facebook	2	1	11	6	0	0
500k_1m	500k - 1m	EE	Estonia	COP23		1812087282376505	Facebook	1	1	5	3	0	0
500k_1m	500k - 1m	EE	Estonia	ADAR		175390195814995	Facebook	1	1	4	2	0	0
500k_1m	500k - 1m	EE	Estonia	Knovva Academy		1619172795053683	Facebook	1	1	3	2	0	0
500k_1m	500k - 1m	EE	Estonia	TRT World		1559901027613381	Facebook	1	1	1	1	0	0
500k_1m	500k - 1m	EE	Estonia	Greens/EFA in the European Parliament		150527751674751	Facebook	1	1	1	1	0	0
500k_1m	500k - 1m	EE	Estonia	Revista QB		1908798559359662	Facebook	1	1	1	1	0	0
