advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	recent_code_filter	recent_label_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
USR Prahova	USR Prahova	1385405838141456	Facebook	rd6	Last 6 days	RO	Romania	3	1	34998	8500	125	21
Kialo		729627343834501	Facebook	rd6	Last 6 days	RO	Romania	5	1	29375	8540	166	30
Marius Minzat		1147789798617576	Facebook	rd6	Last 6 days	RO	Romania	1	1	23076	4615	9	0
Votează Un Independent		2016952321736083	Facebook	rd6	Last 6 days	RO	Romania	1	1	21469	4294	8	0
USR Ilfov	USR Ilfov	1871260176434584	Facebook	rd6	Last 6 days	RO	Romania	4	1	19996	4000	83	0
Administraţie Liberală		2159559831039746	Facebook	rd6	Last 6 days	RO	Romania	1	1	19354	9677	10	2
Constantin Şovăială		1802656310012700	Facebook	rd6	Last 6 days	RO	Romania	4	1	17997	6500	62	0
BestJobs		156382411059124	Facebook	rd6	Last 6 days	RO	Romania	2	1	17856	3571	35	0
Nicușor Dan	DRAGOMIRESCU STEFAN-IULIAN	230785173665770	Facebook	rd6	Last 6 days	RO	Romania	4	1	16995	6000	83	0
Organizatia de Femei Partidul Mișcarea Populară Sector 1		1531492730401344	Facebook	rd6	Last 6 days	RO	Romania	3	1	15340	3068	32	6
PNL Constanţa	PNL Constanţa	422079857963680	Facebook	rd6	Last 6 days	RO	Romania	2	1	14998	7500	31	0
Cristina Prună		281341562263123	Facebook	rd6	Last 6 days	RO	Romania	9	1	14017	2278	91	2
Expose.ro		510817996110975	Facebook	rd6	Last 6 days	RO	Romania	1	1	13043	2608	27	5
Gabriel Petrea		636615956364844	Facebook	rd6	Last 6 days	RO	Romania	1	1	11110	2222	23	4
USR Gorj	Uniunea Salvați România	979274598853221	Facebook	rd6	Last 6 days	RO	Romania	2	1	10998	5000	41	0
Orașul meu iubit		182440155970799	Facebook	rd6	Last 6 days	RO	Romania	3	1	10454	2090	24	3
Guardian Weekly		64525551258	Facebook	rd6	Last 6 days	RO	Romania	5	1	10225	2038	27	0
Liviu Brătescu		209399519151264	Facebook	rd6	Last 6 days	RO	Romania	1	1	9999	5000	20	0
Eugen Tomac		494469087244449	Facebook	rd6	Last 6 days	RO	Romania	1	1	9999	5000	20	0
Antal Lóránt	Div ads	490181697757865	Facebook	rd6	Last 6 days	RO	Romania	1	1	9999	5000	20	0
PNL Satu Mare		1487319541548619	Facebook	rd6	Last 6 days	RO	Romania	1	1	9999	5000	20	0
USR Constanța	Uniunea Salvați România filiala Constanta	698760586929790	Facebook	rd6	Last 6 days	RO	Romania	2	1	9998	2000	41	0
Erdélyi Magyar Néppárt		177708185581280	Facebook	rd6	Last 6 days	RO	Romania	2	1	9997	1999	41	0
KDNP és Frakciója		230385242742	Facebook	rd6	Last 6 days	RO	Romania	3	1	9473	1894	13	3
PNL Sector 2		434422389926419	Facebook	rd6	Last 6 days	RO	Romania	1	1	9090	1818	3	0
Get The Trolls Out		858018134275978	Facebook	rd6	Last 6 days	RO	Romania	1	1	6843	3421	30	6
PNL IASI		185088338177066	Facebook	rd6	Last 6 days	RO	Romania	3	1	6498	2500	41	0
Sustainability Times		214303005827359	Facebook	rd6	Last 6 days	RO	Romania	1	1	5400	2700	53	0
USR Sălaj	 Zoltan Takacs	665719730245460	Facebook	rd6	Last 6 days	RO	Romania	1	1	4999	1000	20	0
MH TIMES		559977200816313	Facebook	rd6	Last 6 days	RO	Romania	1	1	4999	1000	20	0
The Trust Word - Romania	The TRUST Word News Group	640011536422545	Facebook	rd6	Last 6 days	RO	Romania	1	1	4999	1000	20	0
Susțin PRO România Câmpulung Muscel		297751147530961	Facebook	rd6	Last 6 days	RO	Romania	1	1	4999	1000	20	0
Ziar Targu Neamt	Media PR Grup	396497857071198	Facebook	rd6	Last 6 days	RO	Romania	1	1	4999	1000	20	0
PNL Maramureş		1465792233677604	Facebook	rd6	Last 6 days	RO	Romania	1	1	4998	999	20	0
Bologna Business School		32776988074	Facebook	rd6	Last 6 days	RO	Romania	3	1	4889	1144	14	0
PNL Județul Hunedoara		1563516727242105	Facebook	rd6	Last 6 days	RO	Romania	1	1	4761	952	1	0
PNL Prahova		148993498505135	Facebook	rd6	Last 6 days	RO	Romania	1	1	3999	799	16	0
Laurentiu.Theodoru.Sibiu		2164398363775659	Facebook	rd6	Last 6 days	RO	Romania	1	1	3749	750	15	0
Andrei Caciora		1598005650456702	Facebook	rd6	Last 6 days	RO	Romania	1	1	2608	1304	5	0
Wasabi Technologies Inc.		1909620995946675	Facebook	rd6	Last 6 days	RO	Romania	1	1	2524	1262	5	1
Mihai Goţiu		602280189818804	Facebook	rd6	Last 6 days	RO	Romania	1	1	2499	500	10	0
Gabriel Waspusch		2260140687565360	Facebook	rd6	Last 6 days	RO	Romania	1	1	2307	1153	4	0
Partidul Național Liberal Gorj		390641151143176	Facebook	rd6	Last 6 days	RO	Romania	1	1	2272	454	9	0
USR Popești-Leordeni	Uniunea Salvați România	606150482842878	Facebook	rd6	Last 6 days	RO	Romania	1	1	2222	1111	4	0
Răzvan Gabriel Pisoschi		986542964703270	Facebook	rd6	Last 6 days	RO	Romania	1	1	2142	428	8	0
Européens Sans Frontières		668031516635463	Facebook	rd6	Last 6 days	RO	Romania	7	1	2022	844	3	0
Celebrating Femininity		810489272652332	Facebook	rd6	Last 6 days	RO	Romania	1	1	1817	363	7	0
USR Timiș		873737539404529	Facebook	rd6	Last 6 days	RO	Romania	1	1	1499	299	6	0
Geraldina Adamo		1741956572570693	Facebook	rd6	Last 6 days	RO	Romania	2	1	1478	247	42	0
Ioan Emanuel CLEJ		478551685592616	Facebook	rd6	Last 6 days	RO	Romania	1	1	1153	230	4	0
Daniel Olteanu		435619343291695	Facebook	rd6	Last 6 days	RO	Romania	1	1	1110	222	4	0
USR Simleu Silvaniei	Uniunea Salvati Romania Filiala Salaj	179623092608441	Facebook	rd6	Last 6 days	RO	Romania	1	1	999	0	20	0
USR Nușfalău - Szilágynagyfalu	 Zoltan Takacs	947382455420408	Facebook	rd6	Last 6 days	RO	Romania	1	1	999	0	20	0
USR Cehu Silvaniei	 Zoltan Takacs	879029628954000	Facebook	rd6	Last 6 days	RO	Romania	1	1	999	0	20	0
USR Jibou	 Zoltan Takacs	1133497573372670	Facebook	rd6	Last 6 days	RO	Romania	1	1	999	0	20	0
USR Zalău	 Zoltan Takacs	260094808237890	Facebook	rd6	Last 6 days	RO	Romania	1	1	999	0	20	0
USR Maramureș	USR Maramureș	1750327845246533	Facebook	rd6	Last 6 days	RO	Romania	1	1	999	0	20	0
Takacs Zoltan	Takacs Zoltan	1827240594259659	Facebook	rd6	Last 6 days	RO	Romania	1	1	999	0	20	0
Deputat Dan Rădulescu		1835044176777941	Facebook	rd6	Last 6 days	RO	Romania	1	1	999	0	20	0
FinZoom.ro		48237304171	Facebook	rd6	Last 6 days	RO	Romania	1	1	999	0	88	0
Profesional New Consult		180194048681628	Facebook	rd6	Last 6 days	RO	Romania	1	1	999	0	20	0
Cristian Buican		807077632707044	Facebook	rd6	Last 6 days	RO	Romania	1	1	999	0	20	0
Partidul Romania Mare sector 5		377615686296704	Facebook	rd6	Last 6 days	RO	Romania	1	1	999	0	20	0
Fanatik.ro		480975841983898	Facebook	rd6	Last 6 days	RO	Romania	1	1	998	0	20	0
Basmah		137973986840264	Facebook	rd6	Last 6 days	RO	Romania	20	1	939	204	10	0
Formatia Belcanto		576865352377213	Facebook	rd6	Last 6 days	RO	Romania	1	1	909	454	1	0
Fabrica de râs		296384287514876	Facebook	rd6	Last 6 days	RO	Romania	1	1	856	0	17	0
Deputat Adrian Todoran		416103301931791	Facebook	rd6	Last 6 days	RO	Romania	1	1	856	0	17	0
Enachescu Daniel		1141893945826673	Facebook	rd6	Last 6 days	RO	Romania	1	1	856	0	17	0
PNL Sector 4		1563137543927183	Facebook	rd6	Last 6 days	RO	Romania	1	1	833	166	3	0
SV4IE		2246467545588430	Facebook	rd6	Last 6 days	RO	Romania	1	1	830	415	1	0
Tuunes		992176580926495	Facebook	rd6	Last 6 days	RO	Romania	4	1	818	331	0	0
Gharawi		1935718623136693	Facebook	rd6	Last 6 days	RO	Romania	3	1	768	143	1	0
PRO România Botoșani		261911294570176	Facebook	rd6	Last 6 days	RO	Romania	1	1	749	0	15	0
I Love Crowdfunding Projects		112683756154005	Facebook	rd6	Last 6 days	RO	Romania	5	1	604	252	3	0
EURACTIV		15299247059	Facebook	rd6	Last 6 days	RO	Romania	1	1	586	117	1	0
USR Macin		2674994945905369	Facebook	rd6	Last 6 days	RO	Romania	1	1	544	0	11	0
Daily News Hungary		568066993228876	Facebook	rd6	Last 6 days	RO	Romania	1	1	534	106	0	0
Gaia		182073298490036	Facebook	rd6	Last 6 days	RO	Romania	5	1	498	209	4	1
PNL Bucuresti		678840505584990	Facebook	rd6	Last 6 days	RO	Romania	1	1	461	0	9	0
PMP TV		958364000868431	Facebook	rd6	Last 6 days	RO	Romania	1	1	454	90	8	0
PNL Galati	Costache Andra-Mihaela	979547832069760	Facebook	rd6	Last 6 days	RO	Romania	1	1	416	0	8	0
La Pensie		1092535407579725	Facebook	rd6	Last 6 days	RO	Romania	1	1	399	0	8	0
PSD Galati	Partidul Social Democrat Galati	1585170161775563	Facebook	rd6	Last 6 days	RO	Romania	1	1	374	0	7	0
Open Society Foundations		18983389920	Facebook	rd6	Last 6 days	RO	Romania	5	1	270	27	13	0
RSM MBA		110428762358678	Facebook	rd6	Last 6 days	RO	Romania	1	1	207	82	0	0
Exponea		437489159794764	Facebook	rd6	Last 6 days	RO	Romania	19	1	183	5	16	0
ВОЛЯ - Българските Родолюбци		317433685633688	Facebook	rd6	Last 6 days	RO	Romania	1	1	181	36	0	0
PMP Sighetu Marmației		1931671487153408	Facebook	rd6	Last 6 days	RO	Romania	1	1	181	0	16	0
Alpine Garden Society		239451772739772	Facebook	rd6	Last 6 days	RO	Romania	1	1	150	75	1	0
Master Chef Universal		279581679340572	Facebook	rd6	Last 6 days	RO	Romania	6	1	145	10	8	0
Miapetra Kumpula-Natri		922311201130062	Facebook	rd6	Last 6 days	RO	Romania	1	1	142	28	1	0
Orbex		1415953441956155	Facebook	rd6	Last 6 days	RO	Romania	1	1	134	26	2	0
pro aurum Kilchberg ZH		258246284700914	Facebook	rd6	Last 6 days	RO	Romania	3	1	99	19	1	0
GO Gregoriana Tudoran în Parlamentul European		2301309800194404	Facebook	rd6	Last 6 days	RO	Romania	1	1	87	0	8	0
YOGA BURN		146316959083110	Facebook	rd6	Last 6 days	RO	Romania	3	1	80	16	0	0
Guitar Lovers		203855170399686	Facebook	rd6	Last 6 days	RO	Romania	2	1	43	14	0	0
Soviet Visuals		1160495674016675	Facebook	rd6	Last 6 days	RO	Romania	4	1	42	7	0	0
THTC - The Hemp Trading Company		30239959348	Facebook	rd6	Last 6 days	RO	Romania	4	1	40	13	1	0
S&P Global		112495188784373	Facebook	rd6	Last 6 days	RO	Romania	8	1	36	8	0	0
CreativeLive		114420101917147	Facebook	rd6	Last 6 days	RO	Romania	1	1	17	3	0	0
Shurat HaDin - Israel Law Center		709491732434343	Facebook	rd6	Last 6 days	RO	Romania	2	1	13	3	0	0
Dobrev Klára	Demokratikus Koalíció	1880809845328535	Facebook	rd6	Last 6 days	RO	Romania	1	1	12	2	0	0
MolnárBé	Molnár Balázs	147993865252451	Facebook	rd6	Last 6 days	RO	Romania	1	1	12	2	0	0
Eldritch Foundry		333726374024339	Facebook	rd6	Last 6 days	RO	Romania	1	1	11	2	0	0
Best Tech Crowdfunding Videos		615071652029076	Facebook	rd6	Last 6 days	RO	Romania	3	1	10	0	0	0
Intimina		127412964006704	Facebook	rd6	Last 6 days	RO	Romania	2	1	9	2	0	0
Ilhan Kyuchyuk	Ilhan Kyuchyuk	1637403469881344	Facebook	rd6	Last 6 days	RO	Romania	1	1	6	1	0	0
Seven Clean Seas		425855964577344	Facebook	rd6	Last 6 days	RO	Romania	1	1	4	0	0	0
Human Rights Tattoo		245416135560300	Facebook	rd6	Last 6 days	RO	Romania	1	1	3	0	0	0
Smart Water Magazine		634705100258374	Facebook	rd6	Last 6 days	RO	Romania	1	1	3	1	0	0
Liberálisok -  Békéscsaba	Liberálisok - Békéscsaba	524197977656889	Facebook	rd6	Last 6 days	RO	Romania	1	1	2	1	0	0
Comité international de la Croix-Rouge		540364216018969	Facebook	rd6	Last 6 days	RO	Romania	1	1	2	1	0	0
Progresívne Slovensko	Progresívne Slovensko	557862947737785	Facebook	rd6	Last 6 days	RO	Romania	1	1	0	0	0	0
Vágó Gábor	LMP - Lehet Más a Politika	453253875264	Facebook	rd6	Last 6 days	RO	Romania	1	1	0	0	0	0
