advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	recent_code_filter	recent_label_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Repatriot		879370445455346	Facebook	rw2	Last 2 weeks	RO	Romania	1	1	14739	2947	25	0
Marian-Jean Marinescu		207673790490	Facebook	rw2	Last 2 weeks	RO	Romania	2	1	14260	2852	35	0
Cristian Bușoi		112332998808842	Facebook	rw2	Last 2 weeks	RO	Romania	2	1	13332	2666	24	0
Divertisment		274230616037011	Facebook	rw2	Last 2 weeks	RO	Romania	1	1	12499	2500	24	0
Takacs Zoltan	Takacs Zoltan	1827240594259659	Facebook	rw2	Last 2 weeks	RO	Romania	6	1	12078	1749	105	0
PNL IASI		185088338177066	Facebook	rw2	Last 2 weeks	RO	Romania	3	1	11997	5000	62	0
Get The Trolls Out		858018134275978	Facebook	rw2	Last 2 weeks	RO	Romania	1	1	11975	5987	53	10
PNL Mures		143378845861681	Facebook	rw2	Last 2 weeks	RO	Romania	3	1	11497	2299	47	0
Bologna Business School		32776988074	Facebook	rw2	Last 2 weeks	RO	Romania	3	1	11408	2671	32	0
USR Gorj	Uniunea Salvați România	979274598853221	Facebook	rw2	Last 2 weeks	RO	Romania	2	1	10998	5000	41	0
USR Popești-Leordeni	Uniunea Salvați România	606150482842878	Facebook	rw2	Last 2 weeks	RO	Romania	2	1	10998	5000	41	0
Drobeta Online - Stiri din Mehedinti	Vasilan Pavel-Mihai	1133575306806915	Facebook	rw2	Last 2 weeks	RO	Romania	3	1	10997	2000	62	0
Liviu Brătescu		209399519151264	Facebook	rw2	Last 2 weeks	RO	Romania	1	1	9999	5000	20	0
Antal Lóránt	Div ads	490181697757865	Facebook	rw2	Last 2 weeks	RO	Romania	1	1	9999	5000	20	0
USR Bistrița-Năsăud		1097122383697273	Facebook	rw2	Last 2 weeks	RO	Romania	1	1	9999	5000	20	0
Bíró Barna Botond		341681143137627	Facebook	rw2	Last 2 weeks	RO	Romania	1	1	9999	5000	20	0
PRO România București Sector 2	PRO România București Sector 2	1495468257186706	Facebook	rw2	Last 2 weeks	RO	Romania	1	1	9999	4999	20	0
USR Constanța	Uniunea Salvați România filiala Constanta	698760586929790	Facebook	rw2	Last 2 weeks	RO	Romania	2	1	9998	2000	41	0
Silvia Dinică		1128229287275038	Facebook	rw2	Last 2 weeks	RO	Romania	1	1	9998	4999	20	0
Fratii Haiduc Music Events		686571504711148	Facebook	rw2	Last 2 weeks	RO	Romania	1	1	9998	4999	20	0
PNL Buzău		482604971767291	Facebook	rw2	Last 2 weeks	RO	Romania	2	1	9998	3500	31	0
PNL Alba		187133884725560	Facebook	rw2	Last 2 weeks	RO	Romania	3	1	9581	1916	39	0
Formatia Belcanto		576865352377213	Facebook	rw2	Last 2 weeks	RO	Romania	1	1	8181	4090	17	0
USR Brașov		1723480164579572	Facebook	rw2	Last 2 weeks	RO	Romania	1	1	7142	1428	14	3
PNL Galati	Costache Andra-Mihaela	979547832069760	Facebook	rw2	Last 2 weeks	RO	Romania	3	1	6797	2500	47	0
Andrei Caciora		1598005650456702	Facebook	rw2	Last 2 weeks	RO	Romania	1	1	6086	3043	12	0
USR Jibou	 Zoltan Takacs	1133497573372670	Facebook	rw2	Last 2 weeks	RO	Romania	2	1	5998	1000	41	0
Bordură BăBăluţă	Crecia Ionut-Bogdan	2029574304006964	Facebook	rw2	Last 2 weeks	RO	Romania	2	1	5997	999	41	0
Paul Gheorghe		1751352201635496	Facebook	rw2	Last 2 weeks	RO	Romania	2	1	5997	999	41	0
Sustainability Times		214303005827359	Facebook	rw2	Last 2 weeks	RO	Romania	1	1	5400	2700	53	0
Gabriel Waspusch		2260140687565360	Facebook	rw2	Last 2 weeks	RO	Romania	1	1	5384	2692	11	0
