advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	day_code_filter	day_label_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
West Berkshire Conservative Association	West Berkshire Conservative Association	222039255248891	Facebook	d059	2019-02-28	1	1	624	125	14	0
Bristol Central Lib Dems	Liberal Democrats	1551645461613610	Facebook	d059	2019-02-28	1	1	624	125	14	0
Derwent Ward Councillors	Derwent Ward Conservatives (Mid Derbyshire & Derby City Conservative Association)	447891905402755	Facebook	d059	2019-02-28	1	1	624	125	14	0
Damian Bretherton	Damian John Bretherton	3126326937377378	Facebook	d059	2019-02-28	1	1	624	125	14	0
Lisa's Law Solicitors	Lisa's Law Solicitors	739722549392872	Facebook	d059	2019-02-28	1	1	624	125	14	0
Evig Grön		201581136991713	Facebook	d059	2019-02-28	1	1	624	125	1	0
Ian Stotesbury	Watford Liberal Democrats 	182166295552154	Facebook	d059	2019-02-28	1	1	624	125	14	0
Tilt		169065407139584	Facebook	d059	2019-02-28	1	1	624	125	12	0
St Mary’s Conservatives	Gurch Singh	342219346349966	Facebook	d059	2019-02-28	1	1	624	125	14	0
Drivers wanted		265405954147710	Facebook	d059	2019-02-28	1	1	624	125	12	0
Maidenhead Riverside Conservatives	Promoted by Philip Dumville on behalf of Maidenhead Conservative Association both of 3 Castle End Road, Ruscombe, Berkshire, RG10 9QX. Boosted posts paid for by Maidenhead Riverside Branch of Maidenhead Conservative Association. 	485779688567061	Facebook	d059	2019-02-28	1	1	624	125	14	0
Freiheit oder Scharia		243144999492225	Facebook	d059	2019-02-28	1	1	624	125	12	0
TECNARO		185104921530882	Facebook	d059	2019-02-28	1	1	624	125	12	0
Itinerari Previdenziali		1935504570071848	Facebook	d059	2019-02-28	1	1	624	125	12	0
Piratepartei Bezierk Norden		494284087327520	Facebook	d059	2019-02-28	1	1	624	125	12	0
Dr. Johannes Öhlböck		249601055090885	Facebook	d059	2019-02-28	1	1	624	125	12	0
Agora.Brussels		187607388601520	Facebook	d059	2019-02-28	1	1	624	125	12	0
Colin Martin for SE Cornwall	SE Cornwall Lib Dems	1011556768950016	Facebook	d059	2019-02-28	1	1	624	125	14	0
Comitato no ai fanghi in lomellina		1495605444061570	Facebook	d059	2019-02-28	1	1	624	125	12	0
Tory Reform Group	Tory Reform Group	257556624261395	Facebook	d059	2019-02-28	1	1	624	125	14	0
Louise Haigh MP	Louise Haigh	386427418234901	Facebook	d059	2019-02-28	1	1	624	125	14	0
Desde Polonia en Español		442022786220545	Facebook	d059	2019-02-28	1	1	624	125	11	0
Stichting Ont-moet		369855927152675	Facebook	d059	2019-02-28	1	1	624	125	12	0
Hisse & Haut		180137016071989	Facebook	d059	2019-02-28	1	1	624	125	12	0
Stefan Bentz		249391795960573	Facebook	d059	2019-02-28	1	1	624	125	12	0
International Growth Centre	London School of Economics and Political Science	121645431208100	Facebook	d059	2019-02-28	1	1	624	125	14	0
Cllr Louis Stephen	Louis Stephen	551289148568790	Facebook	d059	2019-02-28	1	1	624	125	14	0
Sempre Avanti - Europa per Giachetti Ascani		536620483519486	Facebook	d059	2019-02-28	1	1	624	125	12	0
Partito Democratico Circolo di Mondovì		1371360842898518	Facebook	d059	2019-02-28	1	1	624	125	12	0
Liberal Thursday		115291779194332	Facebook	d059	2019-02-28	1	1	624	125	14	0
Sujita Purushothaman		339884419951244	Facebook	d059	2019-02-28	1	1	624	125	14	0
Oxford International Law		1421580218138138	Facebook	d059	2019-02-28	1	1	624	125	14	0
De Koning makelaars Gouda		1439650686351106	Facebook	d059	2019-02-28	1	1	624	125	12	0
Devizes for EU - representing the constituency		2155890578000382	Facebook	d059	2019-02-28	1	1	624	125	14	0
Knegdeg		1525643934354894	Facebook	d059	2019-02-28	1	1	617	123	1	0
Civilekonomerna		256141831076073	Facebook	d059	2019-02-28	2	1	614	120	0	0
Oldham and Saddleworth Conservatives	Oldham & Saddleworth Conservative Federation	1678200822436694	Facebook	d059	2019-02-28	2	1	613	170	12	0
Udo Landbauer		494195290313	Facebook	d059	2019-02-28	2	1	599	240	7	0
Getsocialat		348037535258910	Facebook	d059	2019-02-28	6	1	599	140	5	0
medisim - Institut für medizinische Fortbildung		264857807671	Facebook	d059	2019-02-28	4	1	596	117	6	0
South Gloucestershire Green Party	South Gloucestershire Green Party	348317322023581	Facebook	d059	2019-02-28	2	1	590	100	21	0
Matt Vickers	Matt Vickers	1536907409957635	Facebook	d059	2019-02-28	2	1	590	0	67	0
Acqua Pubblica Brescia		1043985008976296	Facebook	d059	2019-02-28	1	1	588	294	5	0
Zjednoczeni Przeciw Rasizmowi		162698294095514	Facebook	d059	2019-02-28	1	1	588	294	1	0
Churchfields Conservatives	Churchfields Conservatives	416708322102995	Facebook	d059	2019-02-28	2	1	582	0	66	0
No Hate Speech Movement Deutschland		1125370670830982	Facebook	d059	2019-02-28	1	1	568	113	5	1
Science Vale UK		987530498105217	Facebook	d059	2019-02-28	2	1	566	111	7	1
Alliance for Choice	Alliance for Choice	683223451811783	Facebook	d059	2019-02-28	1	1	555	111	12	0
Old Bexley & Sidcup Labour	Old Bexley & Sidcup Constituency Labour Party	2254196054812915	Facebook	d059	2019-02-28	1	1	555	277	6	0
Theater Sneek		127406780674978	Facebook	d059	2019-02-28	1	1	555	277	5	0
Assemblea contro la violenza maschile sulle donne		230721377389130	Facebook	d059	2019-02-28	1	1	555	111	11	0
New Nexxt		270839806894555	Facebook	d059	2019-02-28	1	1	555	111	11	0
Yogi Mama		1561673120587004	Facebook	d059	2019-02-28	1	1	555	111	12	0
Councillor Dave Harris	Dave Harris	323833581054527	Facebook	d059	2019-02-28	2	1	545	90	20	0
ARTE in italiano		1820709954654528	Facebook	d059	2019-02-28	1	1	543	108	0	0
Lorna Vassallo	Lorna Vassallo	690417757823946	Facebook	d059	2019-02-28	1	1	537	107	1	0
Savo-Karjalan vihreät		160515170666877	Facebook	d059	2019-02-28	2	1	526	263	5	0
Petition For A New Nobel Prize For The Fight Against Climate Change	Helene Costa - Petition For A New Nobel Prize For the Fight Against Climate Change	2412593152099304	Facebook	d059	2019-02-28	14	1	524	85	16	0
BDI - Bundesverband der Deutschen Industrie	BDI - Bundesverband der Deutschen Industrie	186206440652	Facebook	d059	2019-02-28	4	1	521	73	22	0
Cumbria First	PuttingCumbriaFirst	1433463220273214	Facebook	d059	2019-02-28	2	1	521	90	18	0
Re-Elect Joe Vinson #1 for QMSU Commercial Services Officer	Joe Vinson	245990779672606	Facebook	d059	2019-02-28	3	1	514	71	26	0
Maggie De Block	Maggie De Block	1410219772556421	Facebook	d059	2019-02-28	1	1	499	0	49	0
Line Mørk		220210991487359	Facebook	d059	2019-02-28	1	1	499	0	6	0
Lukas Mandl	Verein VSM - Vorzugsstimmen für Mandl	436914289678818	Facebook	d059	2019-02-28	3	1	499	187	9	0
Leavers of Croydon	Michael Swadling	987111394701434	Facebook	d059	2019-02-28	1	1	499	0	57	0
King's Church 1066	King's Church	194926950527397	Facebook	d059	2019-02-28	1	1	499	0	57	0
Councillor Billy Hutchinson, PUP - Court DEA	Progressive Unionist Party of Northern Ireland	2124738024503589	Facebook	d059	2019-02-28	1	1	499	0	57	0
Preganziol Viva		261301887937593	Facebook	d059	2019-02-28	1	1	499	0	49	0
Rob Vernon and James Barber for Broken Cross and Upton	Macclesfield Constituency Labour Party	157048871671513	Facebook	d059	2019-02-28	1	1	499	0	57	0
Jubilee+	Jubilee+	438366662862174	Facebook	d059	2019-02-28	1	1	499	0	57	0
Xuntos ACTUA		752197171492679	Facebook	d059	2019-02-28	1	1	499	0	49	0
Councillor Kyle Robinson	Kyle Robinson	1195837740465567	Facebook	d059	2019-02-28	1	1	499	0	57	0
Task Force Contre l'Antisémitisme		1680652255497041	Facebook	d059	2019-02-28	1	1	499	0	12	0
Les Républicains d'Eygalières		138919809980204	Facebook	d059	2019-02-28	1	1	499	0	49	0
Körkép		62854026816	Facebook	d059	2019-02-28	1	1	499	0	49	0
Ettore Bucci		227291858039379	Facebook	d059	2019-02-28	1	1	499	0	49	0
Consigliere Comunale Sequals - Marco De Lillo		2320199451344498	Facebook	d059	2019-02-28	1	1	499	0	49	0
Councillor Justin Kerridge	justin kerridge	148903145689537	Facebook	d059	2019-02-28	1	1	499	0	57	0
Licra Auvergne Rhône-Alpes		1582110495431055	Facebook	d059	2019-02-28	1	1	499	250	4	0
Cllr Ed Wilson	Cllr Ed Wlson	1754648718174312	Facebook	d059	2019-02-28	1	1	499	0	57	0
Mi Hazánk Mozgalom Békési alapszervezete		531189120672449	Facebook	d059	2019-02-28	1	1	499	100	0	0
Alternativa Republicana de Aragón		2216329848387600	Facebook	d059	2019-02-28	1	1	499	100	9	0
Druda- Cuore di donna		2242019616060764	Facebook	d059	2019-02-28	1	1	499	250	4	0
PRESS News		402551467145006	Facebook	d059	2019-02-28	1	1	499	0	57	0
Ce Poluare?		252584685623650	Facebook	d059	2019-02-28	1	1	499	0	57	0
TBU NEWS		492847967431014	Facebook	d059	2019-02-28	1	1	499	0	49	0
Cottingham Labour Party	Cottingham Labour Party	582524665191419	Facebook	d059	2019-02-28	1	1	499	0	57	0
My Richmond App		616700301870448	Facebook	d059	2019-02-28	1	1	499	0	57	0
Petra Sitte		231707130202357	Facebook	d059	2019-02-28	1	1	499	250	4	0
Ealing Liberal Democrats	Published and promoted by Jon Ball on behalf of Nigel Bakhai (Liberal Democrat) all at 45 Grange Road, Ealing, W5 5BU.	72633666984	Facebook	d059	2019-02-28	2	1	497	227	10	0
Michael Raml	FPÖ Linz	1499759610320321	Facebook	d059	2019-02-28	2	1	491	98	5	0
DN Aarhus Ung		459504910782525	Facebook	d059	2019-02-28	2	1	479	83	6	1
ALCASE Italia - Per la Lotta al Cancro del Polmone		102644293117336	Facebook	d059	2019-02-28	1	1	476	238	4	0
Alchimia Società Cooperativa Sociale		559849500701698	Facebook	d059	2019-02-28	1	1	476	238	4	0
Pompes à chaleur France - Prime énergie		315601179074509	Facebook	d059	2019-02-28	2	1	464	90	5	0
Othmar Karas	Volkspartei	395638503864459	Facebook	d059	2019-02-28	1	1	454	90	9	0
Andrea Bradley 4 Pheasey	Andrea Bradley 	1102405259832256	Facebook	d059	2019-02-28	1	1	454	90	10	0
Cllr John Howson	Cllr John Howson on behalf of Cllr John Howson of Venneit Close Oxford OX1 1HZ	1855818688013552	Facebook	d059	2019-02-28	1	1	454	90	10	0
Black Country Party	Black Country Party	889201767942327	Facebook	d059	2019-02-28	1	1	454	90	10	0
Westhoughton Life	Martyn Cox	1331606100266908	Facebook	d059	2019-02-28	1	1	454	90	10	0
Milton Keynes Liberal Democrats	Milton Keynes Liberal Democrats	169161123102605	Facebook	d059	2019-02-28	1	1	454	90	10	0
Ashley Cartman for North Somerset	North Somerset Liberal Democrats	2304286376467321	Facebook	d059	2019-02-28	1	1	454	90	10	0
James Farquharson for Melcombe Regis	James Farquharson	234763883969454	Facebook	d059	2019-02-28	1	1	454	90	10	0
Working for Central	Watford Liberal Democrats 	326083634614109	Facebook	d059	2019-02-28	1	1	454	90	10	0
County Cllr Mike Jordan	Mike Jordan	1364555943628425	Facebook	d059	2019-02-28	1	1	454	90	10	0
Nouveau Parti Anticapitaliste Haute-Savoie		528193083984849	Facebook	d059	2019-02-28	1	1	454	90	9	0
Green Party Croome Division	Martin Allen	2107545742605468	Facebook	d059	2019-02-28	1	1	454	90	10	0
Redhill and Northbourne		724557051216222	Facebook	d059	2019-02-28	1	1	454	90	10	0
prawopracyporady.pl		1582510698638836	Facebook	d059	2019-02-28	1	1	454	90	2	0
Jakob Thiemann i Europaparlamentet		1987954044580914	Facebook	d059	2019-02-28	1	1	454	90	6	1
Thanet Liberal Democrats	Angela Curwen on behalf of East Kent Coast and Thanet Liberal Democrats	1661739597387893	Facebook	d059	2019-02-28	1	1	454	90	10	0
Crewe and Nantwich Conservatives	Crewe & Nantwich Conservatives	322522631459546	Facebook	d059	2019-02-28	1	1	454	227	5	0
Front de Gauche VSG		136014293928282	Facebook	d059	2019-02-28	1	1	454	90	8	0
Les Républicains Ormesson 94		325115717523649	Facebook	d059	2019-02-28	1	1	454	90	9	0
Neasa Hourigan Green Party		1353131934798813	Facebook	d059	2019-02-28	1	1	454	90	9	0
Lassé de subir		1967354620180059	Facebook	d059	2019-02-28	1	1	454	90	9	0
De Schakelaar		615731348538299	Facebook	d059	2019-02-28	1	1	454	90	9	0
Katariina Pylsy eduskuntaan		1445410448923401	Facebook	d059	2019-02-28	1	1	454	227	4	0
Assitech		1247308708667450	Facebook	d059	2019-02-28	1	1	454	90	9	0
Ulrike Müller, MdEP		161823267218273	Facebook	d059	2019-02-28	1	1	454	90	9	0
Antony Hook, Faversham Councillor	Antony Hook and Faversham Liberal Democrats	141573632990451	Facebook	d059	2019-02-28	1	1	454	90	10	0
Claudio Broglio politico		278867195609441	Facebook	d059	2019-02-28	1	1	454	90	9	0
Councillor David Ellison	Councillor David Ellison	607162386391864	Facebook	d059	2019-02-28	1	1	454	90	10	0
Cllr Jane MA Martin	Cllr Jane Martin	511915082664701	Facebook	d059	2019-02-28	1	1	454	90	10	0
HPNBoost		265757817413808	Facebook	d059	2019-02-28	1	1	454	90	9	0
Evolve Penrith	Evolve Penrith	242626203295189	Facebook	d059	2019-02-28	1	1	454	90	10	0
For Britain in Yorkshire and North Lincolnshire	Mike Speakman  The For Britain Movement	742742842578066	Facebook	d059	2019-02-28	1	1	454	90	10	0
Luciana �		899574380236185	Facebook	d059	2019-02-28	1	1	454	90	2	0
Techne srl		1772918213028478	Facebook	d059	2019-02-28	1	1	454	90	9	0
Cllr Stephen Godfrey	Stephen Godfrey and promoted by D Hooley on behalf of Winchester Conservative Association, both of The Conservative Office, Itchen Stoke, Alresford SO24 0QT	600712446960579	Facebook	d059	2019-02-28	1	1	454	90	10	0
Mikołaj Nowak MEDIA		484893811538799	Facebook	d059	2019-02-28	1	1	454	90	2	0
Naisten Pankki		54313274188	Facebook	d059	2019-02-28	1	1	454	90	9	0
Councillor Tom Ashton	Thomas Ashton, Dunscroft, Main Road, Wrangle, Boston, Lincolnshire UK. PE22 9AZ	301790566852530	Facebook	d059	2019-02-28	1	1	454	90	10	0
Elect Chris O'Leary		111879862215683	Facebook	d059	2019-02-28	1	1	454	90	9	0
Medborgerlig Samling Borås		1880705058856750	Facebook	d059	2019-02-28	1	1	454	90	4	0
Pinkneys Green	Pinkneys Green Liberal Democrats	283314095116695	Facebook	d059	2019-02-28	1	1	454	90	10	0
Brexit		419376571886374	Facebook	d059	2019-02-28	1	1	454	90	10	0
Virpi Montonen eduskuntavaaliehdokas, Uudenmaan vaalipiiri, Keskusta		354297681824859	Facebook	d059	2019-02-28	1	1	454	90	9	0
Geneapologne		329740720504364	Facebook	d059	2019-02-28	1	1	454	90	2	0
ChillHoodi		282299475819654	Facebook	d059	2019-02-28	1	1	454	90	5	0
FDP Krailling		426293590797182	Facebook	d059	2019-02-28	1	1	454	90	9	0
Corruption Research Center Budapest		175386655888569	Facebook	d059	2019-02-28	1	1	454	90	1	0
Thurrock Independents		1049180051888306	Facebook	d059	2019-02-28	1	1	454	90	10	0
Indignez VOUS 2.0		560967451030910	Facebook	d059	2019-02-28	1	1	454	90	9	0
Paulo Sande Europa 2019		1181801021944578	Facebook	d059	2019-02-28	1	1	454	90	9	0
