day_code_filter	day_label_filter	advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
d122	2019-05-02	European Parliament		178362315106	Facebook	124	1	7112897	3283159	36314	11725
d122	2019-05-02	CDU	CDU	78502295414	Facebook	3170	1	4830978	1159375	43378	1037
d122	2019-05-02	SPD	SPD	47930567748	Facebook	906	1	2662094	455000	93444	950
d122	2019-05-02	KREMSA DIGITAL s.r.o.		AR420840549432426496	Google	48	1	2292500	221333	1202	0
d122	2019-05-02	The Labour Party	The Labour Party	25749647410	Facebook	36	1	2032467	640000	17724	3992
d122	2019-05-02	Koalicyjny Komitet Wyborczy Koalicja Europejska PO PSL SLD .N  ZIELONI		AR489880258930016256	Google	1372	1	1939697	64758	6784	0
d122	2019-05-02	Alianța 2020 USR PLUS	Uniunea Salvați România - USR	621574984950400	Facebook	18	1	1469925	718601	4461	1058
d122	2019-05-02	Partidul Social Democrat	Partidul Social Democrat	291177524360702	Facebook	20	1	1419372	677563	2435	558
d122	2019-05-02	mmb media agentur d.o.o.		AR524572049809604608	Google	607	1	1397805	59047	4131	0
d122	2019-05-02	N-VA	Nieuw-Vlaamse Alliantie	334361224413	Facebook	75	1	1365847	569335	3227	862
d122	2019-05-02	Verband der Chemischen Industrie e.V.	Chemie Wirtschaftsförderungs GmbH	921326477983554	Facebook	366	1	1188634	270000	39134	1000
d122	2019-05-02	Partido Socialista Europeu	Partido Socialista Europeu	126509981274614	Facebook	2	1	1099998	550000	1098	500
d122	2019-05-02	Wiosna Biedronia	KW Wiosna Roberta Biedronia	2246647628925721	Facebook	7	1	1019998	490000	1418	283
d122	2019-05-02	Sloboda a Solidarita ( SaS )		AR185084640594231296	Google	293	1	986135	70379	1741	0
d122	2019-05-02	Silvio Berlusconi	Silvio Berlusconi	116716651695782	Facebook	188	1	910690	368738	4513	901
d122	2019-05-02	NÁRODNÁ KOALÍCIA	NÁRODNÁ KOALÍCIA	145677979100505	Facebook	60	1	881940	244000	7140	300
d122	2019-05-02	The Brexit Party	The Brexit Party	230416667843105	Facebook	15	1	879224	352996	11406	2636
d122	2019-05-02	Fidesz	Fidesz	9844779306	Facebook	6	1	816663	366666	1753	876
d122	2019-05-02	Gitanas Nausėda	Gitanas Nausėda	684534791927883	Facebook	15	1	809201	282428	1229	0
d122	2019-05-02	Initiative Neue Soziale Marktwirtschaft (INSM)	Initiative Neue Soziale Marktwirtschaft (INSM)	121678260974	Facebook	95	1	794905	164000	10605	300
d122	2019-05-02	Sotsiaaldemokraatlik Erakond	Sotsiaaldemokraatlik Erakond	123310201026539	Facebook	21	1	751046	315474	1717	621
d122	2019-05-02	Jobbik Magyarországért Mozgalom	Jobbik Magyarországért Mozgalom	287770891404	Facebook	7	1	746678	365125	2097	1037
d122	2019-05-02	Fratelli d'Italia	Fratelli d'Italia	355710427861591	Facebook	18	1	726652	304333	4686	1099
d122	2019-05-02	Open Vld	Open Vld	53668151866	Facebook	131	1	683716	266570	4620	1035
d122	2019-05-02	Kialo		729627343834501	Facebook	13	1	659991	228000	5364	1671
d122	2019-05-02	Petizioni.it		1410474395723679	Facebook	4	1	654996	261000	5696	1100
d122	2019-05-02	Claudia Gamon	NEOS	447992848717452	Facebook	3	1	604997	251000	1097	200
d122	2019-05-02	România în primul rând	Future Innovation	770704223323599	Facebook	12	1	603490	283396	584	148
d122	2019-05-02	Conservatives	The Conservative Party	8807334278	Facebook	6	1	599997	300000	3468	1735
d122	2019-05-02	Tom Van Grieken	Vlaams Belang	584806884924010	Facebook	14	1	594510	265301	6055	1575
d122	2019-05-02	AMERISOFT SRL		AR573801583431647232	Google	48	1	589691	58237	142	0
d122	2019-05-02	BÜNDNIS 90/DIE GRÜNEN	BÜNDNIS 90/DIE GRÜNEN	47217143218	Facebook	190	1	575710	224740	5690	1092
d122	2019-05-02	Matteo Salvini	Lega - Salvini Premier	252306033154	Facebook	4	1	562499	243750	3561	712
d122	2019-05-02	kontrast.at	kontrast.at	1079650008770485	Facebook	29	1	524410	221529	2610	1030
d122	2019-05-02	Partidul Naţional Liberal	Future Innovation 	181375448581167	Facebook	12	1	520799	226471	1035	212
d122	2019-05-02	DIE LINKE	DIE LINKE	47694585682	Facebook	29	1	513273	203790	772	105
d122	2019-05-02	FDP	FDP	21289227249	Facebook	136	1	509125	118151	2003	189
d122	2019-05-02	Μιχαλίτσης Κωνσταντίνος	Μιχαλιτσης Κωνσταντινος 	760837734005868	Facebook	2	1	504544	200909	108	0
d122	2019-05-02	Carlo Calenda	Siamo Europei	131887960826264	Facebook	1	1	499999	200000	4999	1000
d122	2019-05-02	MÉS per Mallorca	MÉS per Mallorca	183718528322316	Facebook	8	1	499992	160000	792	0
d122	2019-05-02	Δημήτρης Καιρίδης-Dimitris Kairidis	Dimitrios Kairidis	165710610795923	Facebook	217	1	478717	131940	3909	20
d122	2019-05-02	Uniunea Salvați România - USR	Uniunea Salvați România - USR	1058116737612843	Facebook	12	1	459548	221025	2158	501
d122	2019-05-02	Platforma Obywatelska	KKW Koalicja Europejska PO PSL SLD .N Zieloni	102931488739	Facebook	416	1	443903	150041	1474	257
d122	2019-05-02	38 Degrees	38 Degrees	200006375787	Facebook	51	1	435518	139979	2535	362
d122	2019-05-02	Nemzeti Televízió	Alfahír Hírportál	164061553749320	Facebook	16	1	429163	192440	1279	563
d122	2019-05-02	GRAFTET MICHAŁ TETERYCZ		AR164284079619964928	Google	23	1	424210	42105	60	0
d122	2019-05-02	Andreas Schieder	SPÖ	290881691011354	Facebook	37	1	422574	119303	3538	723
d122	2019-05-02	Dipartimento per le politiche giovanili e il servizio civile universale – Presidenza del Consiglio dei Ministri	Dipartimento per le politiche giovanili e il servizio civile universale – Presidenza del Consiglio dei Ministri	353868374653514	Facebook	31	1	420466	186160	758	225
d122	2019-05-02	SPÖ	SPÖ	77393060080	Facebook	258	1	389019	136789	2693	262
d122	2019-05-02	HLAS		AR312619193323225088	Google	319	1	372598	17476	1076	0
d122	2019-05-02	Nagy József	Nagy József	128401833854581	Facebook	2	1	333332	133333	332	66
d122	2019-05-02	Dobrev Klára	Demokratikus Koalíció	1880809845328535	Facebook	11	1	330413	142083	553	126
d122	2019-05-02	Ioannis Vardakastanis	Ioannis Vardakastanis	195643347979465	Facebook	13	1	326987	154000	2087	200
d122	2019-05-02	Liberal Democrats	the Liberal Democrats	5883973269	Facebook	186	1	313857	113642	4456	1066
d122	2019-05-02	Dominic Hannigan	Dominic Hannigan	210059959032336	Facebook	127	1	311076	96898	1656	261
d122	2019-05-02	Vlaams Belang Brussel	Vlaams Belang	499682940133305	Facebook	5	1	300827	150164	6007	1501
d122	2019-05-02	Sozialdemokratische Partei Europas	Sozialdemokratische Partei Europas	338549033673221	Facebook	9	1	300579	120091	1217	200
d122	2019-05-02	ΑΝΟΡΘΩΤΙΚΟ ΚΟΜΜΑ ΕΡΓΑΖΟΜΕΝΟΥ ΛΑΟΥ (ΑΚΕΛ)		AR429686395355791360	Google	38	1	296363	28181	172	0
d122	2019-05-02	SPOLU - občianska demokracia	SPOLU - občianska demokracia	1057020590987528	Facebook	54	1	295395	111958	1901	308
d122	2019-05-02	Možemo - politička platforma	Možemo - politička platforma	1064762700374086	Facebook	6	1	294163	119583	627	89
d122	2019-05-02	Vlaams Belang	Vlaams Belang	56605856504	Facebook	2	1	279411	114705	2646	529
d122	2019-05-02	Peter Mertens	PVDA	236485149843971	Facebook	465	1	279081	106422	3006	453
d122	2019-05-02	Ανεξάρτητοι 'Ελληνες	Start Business Hellas	343233902394715	Facebook	10	1	276810	127898	366	80
d122	2019-05-02	Greenpeace Italia	Greenpeace Italia	35346524498	Facebook	31	1	273743	110760	588	130
d122	2019-05-02	IKEA	IKEA	112961202185776	Facebook	15	1	272220	122111	849	225
d122	2019-05-02	Håll Sverige Rent	Håll Sverige Rent	236879092476	Facebook	3	1	264880	127976	1275	255
d122	2019-05-02	East Midlands Labour	East Midlands Labour Party	1104066886293096	Facebook	23	1	264066	62350	2470	65
d122	2019-05-02	CDA Doetinchem		AR453512812329697280	Google	29	1	264053	25519	96	0
d122	2019-05-02	RMDSZ	RMDSZ	102601499822802	Facebook	25	1	254045	79564	365	55
d122	2019-05-02	Party of European Socialists	Party of European Socialists	148097975226385	Facebook	4	1	252496	110500	346	0
d122	2019-05-02	Departamentul pentru Muncă și Justiție Socială	Partidul Social Democrat	1975738806067717	Facebook	1	1	249999	100000	104	52
d122	2019-05-02	Vote For Your Future	Vote For Your Future	2026046207505845	Facebook	1	1	249999	100000	2892	578
d122	2019-05-02	Departamentul Fonduri Europene al PSD	Partidul Social Democrat	1030472763816931	Facebook	1	1	249999	100000	52	10
d122	2019-05-02	Departamentul pentru Comunicații și Societate Informațională al PSD	Partidul Social Democrat	346281832652995	Facebook	1	1	249999	100000	52	10
d122	2019-05-02	Ecoembes		322056604527477	Facebook	1	1	249999	100000	249	50
d122	2019-05-02	VB - nos gens d'abord	Vlaams Belang	816130908786112	Facebook	33	1	248474	68996	1849	330
d122	2019-05-02	IG Metall	IG Metall	249296718436	Facebook	12	1	245955	108541	1011	239
d122	2019-05-02	Danke, Freihandel.	VDMA	226651401514704	Facebook	27	1	241973	58000	4773	800
d122	2019-05-02	HLAS	První prezidentská	320144481956623	Facebook	11	1	236823	53166	875	174
d122	2019-05-02	Párbeszéd Magyarországért	Párbeszéd Magyarországért	113684438795574	Facebook	10	1	233215	98845	191	64
d122	2019-05-02	People's Vote UK	People's Vote	748608695327755	Facebook	9	1	229995	62500	746	57
d122	2019-05-02	Vytenis Andriukaitis	Vytenis Andriukaitis	1651554231738028	Facebook	36	1	228366	103179	369	73
d122	2019-05-02	Partito Democratico		77034286895	Facebook	40	1	218843	95809	726	124
d122	2019-05-02	Enhedslisten	Enhedslisten	223040066022	Facebook	9	1	217995	73500	1184	264
d122	2019-05-02	Angelika Winzig	Wirtschaftsbund Österreich	141015722773374	Facebook	923	1	215343	42844	4999	148
d122	2019-05-02	Partit Nazzjonalista	Partit Nazzjonalista	159249234115841	Facebook	6	1	212616	80809	1249	260
d122	2019-05-02	Groen	Groen	84920854319	Facebook	64	1	210487	70500	991	171
d122	2019-05-02	Lara Comi	Lara Comi	155619044465389	Facebook	13	1	209160	46333	577	0
d122	2019-05-02	Krzysztof Hetman	Krzysztof Hetman	1607487699534202	Facebook	10	1	201663	80833	338	101
d122	2019-05-02	GroenLinks	GroenLinks	175740570505	Facebook	9	1	200496	71416	1350	400
d122	2019-05-02	Roberto Rosso	Roberto Rosso	1735684256653359	Facebook	3	1	199997	70000	1497	300
d122	2019-05-02	Mindaugas Puidokas	Puidokas Mindaugas	1739968129576961	Facebook	4	1	199996	40000	396	0
d122	2019-05-02	John Crombez	sp.a	264131406977201	Facebook	12	1	199890	91678	1106	216
d122	2019-05-02	Katarina Barley	SPD	1522202731410785	Facebook	20	1	198980	54000	1980	0
d122	2019-05-02	Venstre, Danmarks Liberale Parti	Venstre, Danmarks Liberale Parti	21465928829	Facebook	283	1	197617	53813	1374	373
d122	2019-05-02	Make.org	Make.org	122037308191612	Facebook	36	1	197181	81413	1711	286
d122	2019-05-02	Radosław Sikorski	KKW Koalicja Europejska PO PSL SLD .N Zieloni	134214926657042	Facebook	14	1	194106	51984	406	70
d122	2019-05-02	Evropa společně	Evropa společně	535611970260854	Facebook	10	1	189843	72288	262	92
d122	2019-05-02	McCabe 4 Mayor	John Mccabe	564061654107377	Facebook	155	1	183968	35409	8839	15
d122	2019-05-02	ZDF heute	ZDF	112784955679	Facebook	4	1	175499	75000	1424	275
d122	2019-05-02	Thodoris Kalabokis	Thodoris Kalabokis	311791572779718	Facebook	3	1	174998	80000	748	150
d122	2019-05-02	Slovenská národná strana	Slovenská národná strana	121130481252381	Facebook	11	1	172995	63500	703	58
d122	2019-05-02	Change UK - The Independent Group	Change UK - The Independent Group	395151614382309	Facebook	67	1	171933	40000	7675	0
d122	2019-05-02	Greenpeace Deutschland		22541752487	Facebook	145	1	168801	62549	1244	174
d122	2019-05-02	Save the Children Italia		46590675335	Facebook	1	1	166666	66666	166	33
d122	2019-05-02	Best For Britain	Best for Britain	1863944713844924	Facebook	1	1	166666	66666	1928	385
d122	2019-05-02	Daniel Buda	Buda Daniel	220579784732993	Facebook	9	1	164995	37500	93	0
d122	2019-05-02	Ministerie van Binnenlandse Zaken en Koninkrijksrelaties	Ministerie van Binnenlandse Zaken en Koninkrijksrelaties	326441484085577	Facebook	5	1	164285	75000	535	128
d122	2019-05-02	Flamesite s.r.o.		AR522320249995919360	Google	150	1	160467	6000	532	0
d122	2019-05-02	Fratelli d'Italia Centrodestra Nazionale		AR400032566754672640	Google	29	1	160168	14677	140	0
d122	2019-05-02	Progresívne Slovensko	Progresívne Slovensko	557862947737785	Facebook	14	1	160094	52457	1041	291
d122	2019-05-02	Giosi Ferrandino	Giosi Ferrandino	141856142632410	Facebook	12	1	158937	53621	392	36
d122	2019-05-02	Greenpeace Österreich	Greenpeace Österreich	32984679070	Facebook	468	1	158416	40823	2165	39
d122	2019-05-02	Podemos	Unidas Podemos	269212336568846	Facebook	12	1	155775	65690	863	368
d122	2019-05-02	Greenpeace UK	Greenpeace UK 	9250349228	Facebook	45	1	154574	63244	1110	304
