country_code_filter	country_name_filter	week_code	week_label	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
AT	Austria	w020	Week 20	3944	193	4557475	1357671	52576	3752
AT	Austria	w019	Week 19	5024	264	41271787	13181876	431564	44769
AT	Austria	w018	Week 18	4479	292	35675523	12708349	332640	54467
AT	Austria	w017	Week 17	3259	296	21722932	7713926	198875	31119
AT	Austria	w016	Week 16	2259	344	11113970	3811625	86766	12186
AT	Austria	w015	Week 15	1939	517	9287617	3157840	74116	10784
AT	Austria	w014	Week 14	1514	517	6590716	2191871	57696	7671
AT	Austria	w013	Week 13	1214	409	5860897	2055704	50561	7206
AT	Austria	w012	Week 12	1031	348	5061626	1730436	45235	5323
AT	Austria	w011	Week 11	726	256	5055179	1909151	43555	6554
