recent_code	recent_label	first_day	last_day	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
rd1	Yesterday	2019-05-07	2019-05-07	FR	France	600	155	530484	175853	5153	471
rd2	Last 2 days	2019-05-06	2019-05-07	FR	France	646	183	1195187	399434	12194	1131
rd3	Last 3 days	2019-05-05	2019-05-07	FR	France	690	200	1909592	650834	18310	1810
rd4	Last 4 days	2019-05-04	2019-05-07	FR	France	719	215	2683695	920176	24053	2602
rd5	Last 5 days	2019-05-03	2019-05-07	FR	France	804	234	8607877	3461476	48025	8140
rd6	Last 6 days	2019-05-02	2019-05-07	FR	France	853	246	9502576	3789805	54976	9090
rw1	Last week	2019-05-01	2019-05-07	FR	France	933	262	10268726	4077008	60308	9837
rw2	Last 2 weeks	2019-04-24	2019-05-07	FR	France	1625	443	21497829	8586185	128064	22112
rw3	Last 3 weeks	2019-04-17	2019-05-07	FR	France	2163	668	30489785	11944340	192281	31312
rw4	Last 4 weeks	2019-04-10	2019-05-07	FR	France	3336	1113	51956189	20333905	345142	53727
rm1	Last month	2019-04-08	2019-05-07	FR	France	3675	1254	58261265	22920085	401105	67058
rm2	Last 2 months	2019-03-09	2019-05-07	FR	France	8168	2430	139006595	53417294	1145057	180059
rm3	Last 3 months	2019-02-07	2019-05-07	FR	France	9303	2577	163998204	62972332	1350512	218013
rm6	Last 6 months	2019-01-01	2019-05-07	FR	France	9677	2626	176892092	68092897	1438015	234103
