country_code_filter	country_name_filter	advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
HU	Hungary	Magyar Kétfarkú Kutya Párt	Magyar Kétfarkú Kutya Párt	14792493292	Facebook	8	1	275945	117990	363	83
HU	Hungary	Rig Lajos	Országgyűlés Hivatala Jobbik Frakció	773120112778785	Facebook	5	1	259995	85000	665	235
HU	Hungary	Tilt		169065407139584	Facebook	3	1	254996	110999	696	100
HU	Hungary	Magyar Zoltán	Országgyűlés Hivatala Jobbik Frakció	281527466391	Facebook	4	1	249995	79999	495	108
HU	Hungary	Solar Express KFT		721976974593091	Facebook	8	1	220992	74000	529	106
HU	Hungary	Magyar Természetvédők Szövetsége- Föld Barátai Magyarország	Magyar Természetvédők Szövetsége- Föld Barátai Magyarország	124991704202615	Facebook	7	1	219992	46999	417	102
HU	Hungary	Magyar Helsinki Bizottság / Hungarian Helsinki Committee		122159141138679	Facebook	2	1	209997	104999	176	0
HU	Hungary	Nemzeti Agrárgazdasági Kamara - NAK		365977046868250	Facebook	1	1	199998	99999	154	30
HU	Hungary	Ander Balázs	Országgyűlés Hivatala Jobbik Frakció	838631906208176	Facebook	6	1	179994	45000	154	68
HU	Hungary	Amnesty International Magyarország	Amnesty International Magyarország	44847086574	Facebook	14	1	177978	53000	600	133
HU	Hungary	Kádár Gábor		734724533343964	Facebook	12	1	161988	44000	359	108
HU	Hungary	NyugdíjGuru		224883224316175	Facebook	3	1	159997	65000	92	46
HU	Hungary	Dr. Pósán László		142020589304689	Facebook	2	1	149998	60000	464	185
HU	Hungary	Budapest Investment Club		491360151399111	Facebook	3	1	149997	30000	297	0
HU	Hungary	Rosatom Global		1828572300805912	Facebook	2	1	143385	70268	3168	617
HU	Hungary	ÉFOÉSZ Központ	Nati Kovács	1510195069274380	Facebook	7	1	139992	36999	792	159
HU	Hungary	Atombiztos - Hárfás Zsolt blogja	Hárfás Zsolt 	1493725474070794	Facebook	9	1	136991	33000	86	19
HU	Hungary	European Youth Event		919232861444360	Facebook	6	1	130212	59961	436	96
HU	Hungary	Bencsik János	Országgyűlés Hivatala Jobbik Frakció	931186216990824	Facebook	6	1	129993	31999	140	65
HU	Hungary	Nyugdíjmegoldás 2020		1258419857503263	Facebook	12	1	126988	43000	1057	0
HU	Hungary	DK Nagykanizsa	Demokratikus Koalíció	704399322958470	Facebook	5	1	120436	29881	111	50
HU	Hungary	Dr. Steinmetz Ádám	Országgyűlés Hivatala Jobbik Frakció	909857259153313	Facebook	4	1	119996	30000	123	61
HU	Hungary	Élő Norbert		264210363649459	Facebook	5	1	119994	26999	440	0
HU	Hungary	Goda Bálint Zsolt	Goda Bálint Zsolt	639817539387522	Facebook	5	1	114995	23000	108	40
HU	Hungary	Nyugdíj Másképpen		1097598910354552	Facebook	4	1	114995	25999	92	37
HU	Hungary	Lázár János hivatalos oldala		193702058028595	Facebook	3	1	109997	25000	340	77
HU	Hungary	Magyar Lap Hírcsatorna		117183972306474	Facebook	2	1	109997	54999	170	34
HU	Hungary	Forbes Magyarország		407249212726130	Facebook	3	1	109996	24999	324	64
HU	Hungary	Kaposvári Demokratikus Koalíció - Somogy 1. vk.	Molnár Tiborné	128287007298297	Facebook	4	1	109995	21999	92	37
