country_code_filter	country_name_filter	day_code	day_label	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
HR	Croatia	d133	2019-05-13	253	80	1166212	375310	4250	192
HR	Croatia	d132	2019-05-12	305	89	1749180	566251	6165	353
HR	Croatia	d131	2019-05-11	340	95	1768015	555633	5987	370
HR	Croatia	d130	2019-05-10	366	97	1925574	611160	6134	388
HR	Croatia	d129	2019-05-09	343	95	1679532	529329	4671	275
HR	Croatia	d128	2019-05-08	293	88	1189059	372376	3295	218
HR	Croatia	d127	2019-05-07	295	88	2209858	794078	5121	648
HR	Croatia	d126	2019-05-06	276	86	1519813	542899	3418	436
HR	Croatia	d125	2019-05-05	269	87	1295645	462997	3341	423
HR	Croatia	d124	2019-05-04	241	84	1427214	565636	3498	558
HR	Croatia	d123	2019-05-03	263	92	1163768	456680	3797	327
HR	Croatia	d122	2019-05-02	256	93	1125495	450237	3483	317
HR	Croatia	d121	2019-05-01	249	89	872655	321490	3141	253
HR	Croatia	d120	2019-04-30	278	90	1927244	759213	5545	686
HR	Croatia	d119	2019-04-29	276	89	2004585	831489	7556	1239
HR	Croatia	d118	2019-04-28	254	87	1685081	707149	6365	1064
HR	Croatia	d117	2019-04-27	253	91	1635312	696305	6233	1034
HR	Croatia	d116	2019-04-26	267	93	1281025	537143	5145	881
HR	Croatia	d115	2019-04-25	219	86	212912	56607	830	21
HR	Croatia	d114	2019-04-24	205	82	182676	48063	645	11
HR	Croatia	d113	2019-04-23	218	79	242898	78051	885	97
HR	Croatia	d112	2019-04-22	181	79	92845	26634	308	7
HR	Croatia	d111	2019-04-21	203	83	78324	29324	408	22
HR	Croatia	d110	2019-04-20	203	91	73254	24212	591	7
HR	Croatia	d109	2019-04-19	223	100	163357	54200	705	67
HR	Croatia	d108	2019-04-18	219	101	124239	33550	543	8
HR	Croatia	d107	2019-04-17	223	108	152968	41905	653	8
HR	Croatia	d106	2019-04-16	245	112	216824	68675	943	69
HR	Croatia	d105	2019-04-15	290	124	377179	136305	955	77
HR	Croatia	d104	2019-04-14	290	124	334196	127149	812	78
