audience_code	audience_label	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
m25_34	male (25-34)	RO	Romania	167	79	944597	340076	1709	346
m35_44	male (35-44)	RO	Romania	173	80	833059	288308	1564	309
m45_54	male (45-54)	RO	Romania	162	79	650391	224637	1322	279
f25_34	female (25-34)	RO	Romania	170	79	613598	237186	1161	232
f45_54	female (45-54)	RO	Romania	170	79	596478	211677	1248	249
f35_44	female (35-44)	RO	Romania	175	80	585353	215627	1111	216
m18_24	male (18-24)	RO	Romania	155	74	533486	192326	980	185
f55_64	female (55-64)	RO	Romania	155	73	501232	172001	1158	257
f18_24	female (18-24)	RO	Romania	154	73	481826	180106	844	159
m55_64	male (55-64)	RO	Romania	153	73	337503	117032	775	172
f65_	female (65+)	RO	Romania	134	64	270170	92474	640	150
m65_	male (65+)	RO	Romania	133	64	172309	60152	395	94
f13_17	female (13-17)	RO	Romania	21	9	21148	5525	50	5
m13_17	male (13-17)	RO	Romania	21	9	14712	4268	31	4
u35_44	unknown (35-44)	RO	Romania	105	56	2875	1005	5	1
u25_34	unknown (25-34)	RO	Romania	86	49	2063	735	4	0
u45_54	unknown (45-54)	RO	Romania	103	60	1197	418	3	0
u55_64	unknown (55-64)	RO	Romania	62	40	616	226	1	0
u18_24	unknown (18-24)	RO	Romania	54	36	579	187	1	0
u65_	unknown (65+)	RO	Romania	41	28	397	151	0	0
u13_17	unknown (13-17)	RO	Romania	10	5	50	14	0	0
