age_code_filter	age_label_filter	advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
45_54	45-54	European Parliament		178362315106	Facebook	1171	1	24016059	10666389	143259	35107
45_54	45-54	Partido Popular	Partido Popular	72249031214	Facebook	2430	1	20921713	6530886	165172	14843
45_54	45-54	Britain's Future	Britain's Future	1625300137516491	Facebook	3897	1	19359900	5928768	225851	33175
45_54	45-54	Ciudadanos	Ciudadanos	74078667754	Facebook	4757	1	18728488	5732910	169892	14335
45_54	45-54	Podemos	Unidas Podemos	269212336568846	Facebook	302	1	18665138	8315980	116859	30837
45_54	45-54	People's Vote UK	People's Vote	748608695327755	Facebook	3417	1	15787608	5300323	228661	40112
45_54	45-54	Kialo		729627343834501	Facebook	778	1	11543369	4564351	83263	21000
45_54	45-54	Alianța 2020 USR PLUS	Uniunea Salvați România - USR	621574984950400	Facebook	230	1	10993237	4928805	32346	7203
45_54	45-54	Silvio Berlusconi	Silvio Berlusconi	116716651695782	Facebook	380	1	10234756	4140869	51006	9683
45_54	45-54	Partidul Social Democrat	Partidul Social Democrat	291177524360702	Facebook	89	1	9406688	4329182	22847	6142
45_54	45-54	Liberal Democrats	the Liberal Democrats	5883973269	Facebook	3482	1	8082617	2657791	129812	15742
45_54	45-54	The Labour Party	The Labour Party	25749647410	Facebook	623	1	7762841	3114731	66849	14968
45_54	45-54	Conservatives	The Conservative Party	8807334278	Facebook	1793	1	7485952	2976731	86498	11753
45_54	45-54	SPD	SPD	47930567748	Facebook	6715	1	6698495	1974675	136336	7993
45_54	45-54	sp.a	sp.a	57253967150	Facebook	292	1	6623882	2646151	31217	7122
45_54	45-54	Partidul Naţional Liberal	Future Innovation 	181375448581167	Facebook	138	1	5881469	2524276	10186	2687
45_54	45-54	Friends of the Earth	Friends of the Earth	110861655604080	Facebook	2307	1	5762020	1925018	74118	7733
45_54	45-54	Best For Britain	Best for Britain	1863944713844924	Facebook	763	1	5613744	2355399	79608	18905
45_54	45-54	FDP	FDP	21289227249	Facebook	2263	1	5437174	1651620	45494	2944
45_54	45-54	Partito Democratico		77034286895	Facebook	187	1	5419086	2427917	20506	4919
45_54	45-54	38 Degrees	38 Degrees	200006375787	Facebook	643	1	5211878	1902328	34898	5311
45_54	45-54	We are the 52%	We are the 52%	466744973727718	Facebook	278	1	5160898	1912950	14084	1908
45_54	45-54	CDU	CDU	78502295414	Facebook	3170	1	4931662	1198355	49167	1097
45_54	45-54	Greenpeace France		39435457457	Facebook	125	1	4602319	2094643	23816	5499
45_54	45-54	România în primul rând	Future Innovation	770704223323599	Facebook	82	1	4556366	2005631	3811	1073
45_54	45-54	Jobbik Magyarországért Mozgalom	Jobbik Magyarországért Mozgalom	287770891404	Facebook	63	1	4449461	2089342	9489	4241
45_54	45-54	European Greens		141366725876424	Facebook	147	1	4298119	1908925	27561	6835
