week_code_filter	week_label_filter	country_code_filter	country_name_filter	advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
w019	Week 19	EE	Estonia	Igor Gräzin	Igor Gräzin	339367456669277	Facebook	29	1	1124841	432156	3973	494
w019	Week 19	EE	Estonia	Isamaa erakond	Isamaa erakond	321163977576	Facebook	10	1	1014158	427499	4017	1271
w019	Week 19	EE	Estonia	Sotsiaaldemokraatlik Erakond	Sotsiaaldemokraatlik Erakond	123310201026539	Facebook	26	1	595798	164909	2315	175
w019	Week 19	EE	Estonia	Raimond Kaljulaid	Raimond Kaljulaid	1084372461606422	Facebook	39	1	540269	139963	6206	600
w019	Week 19	EE	Estonia	Anti Poolamets - EKRE kandidaat Europarlamenti	Anti Poolamets	1532805486974348	Facebook	41	1	493459	103499	4009	0
w019	Week 19	EE	Estonia	Taavi Rõivas	Roivas Taavi	1033457073332454	Facebook	21	1	362963	131578	2138	233
w019	Week 19	EE	Estonia	European Parliament		178362315106	Facebook	8	1	307274	146102	1930	686
w019	Week 19	EE	Estonia	Раймонд Кальюлайд	Raimond Kaljulaid	1535510530084119	Facebook	33	1	196701	38755	4018	199
w019	Week 19	EE	Estonia	Jaak Madison	Madison Jaak	536519246456733	Facebook	7	1	187884	39188	1228	169
w019	Week 19	EE	Estonia	Triin Saag	Saag Triin	2012394932389774	Facebook	31	1	178804	50794	2269	0
w019	Week 19	EE	Estonia	European Greens	European Greens	141366725876424	Facebook	7	1	162833	57227	575	85
w019	Week 19	EE	Estonia	Urmas Paet	Paet Urmas	223092011815453	Facebook	18	1	152488	32058	1327	37
w019	Week 19	EE	Estonia	Keskerakond	Keskerakond	161252453921396	Facebook	10	1	149992	36750	742	0
w019	Week 19	EE	Estonia	Toitumisnõustaja Erik Orgu		592673214085550	Facebook	7	1	136886	50555	580	77
w019	Week 19	EE	Estonia	Marina Kaljurand	Marina Kaljurand	651496914998204	Facebook	8	1	128228	28646	658	0
w019	Week 19	EE	Estonia	Социал-демократическая партия	Sotsiaaldemokraatlik Erakond	383403508369488	Facebook	3	1	94283	21428	597	85
w019	Week 19	EE	Estonia	Riho Terras		2217643278496367	Facebook	1	1	49999	10000	499	100
w019	Week 19	EE	Estonia	Airis Meier Page	Reformierakond	250646808998831	Facebook	1	1	49999	10000	99	0
w019	Week 19	EE	Estonia	EPP - European People's Party	EPP - European People's Party	48034275355	Facebook	12	1	41799	12989	668	0
w019	Week 19	EE	Estonia	Kalle Laanet Page	Reformierakond	141202956796859	Facebook	1	1	41665	8333	82	0
w019	Week 19	EE	Estonia	Noored Otsustajad	Eesti Noorteühenduste Liit (ENL)	205597239493153	Facebook	2	1	37165	9833	136	0
w019	Week 19	EE	Estonia	Eiki Nestor	Sotsiaaldemokraatlik Erakond	1472281069715651	Facebook	7	1	28662	5333	428	0
w019	Week 19	EE	Estonia	Reformierakond	Reformierakond	80124492882	Facebook	3	1	19747	8749	232	0
w019	Week 19	EE	Estonia	Yoko Alender		709212302463805	Facebook	3	1	7713	1371	220	0
w019	Week 19	EE	Estonia	Okupatsioonide ja vabaduse muuseum Vabamu		392862200823977	Facebook	1	1	4999	999	98	0
