country_code_filter	country_name_filter	region_code	region_name	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
FR	France	ile_de_france	Île-de-France	9120	2282	19757902	7052958	199247	30820
FR	France	rhone_alpes	Rhône-Alpes	7860	1850	7096306	2583399	79470	11955
FR	France	provence_alpes_cote_dazur	Provence-Alpes-Côte d'Azur	7839	1854	3919714	1267125	36787	3496
FR	France	nord_pas_de_calais	Nord-Pas-de-Calais	7442	1754	3827034	1454167	38611	6538
FR	France	lorraine	Lorraine	6977	1634	2982309	1109467	35836	5778
FR	France	languedoc_roussillon	Languedoc-Roussillon	7155	1658	2150108	709503	25207	3282
FR	France	bretagne	Bretagne	6949	1620	2005794	690584	23402	4869
FR	France	midi_pyrenees	Midi-Pyrénées	7154	1668	1947972	658024	15997	1778
FR	France	picardie	Picardie	6611	1568	1852248	662182	22046	3391
FR	France	pays_de_la_loire	Pays de la Loire	6995	1653	1677556	608486	21663	2848
FR	France	limousin	Limousin	5767	1373	1382163	519700	14386	2622
FR	France	aquitaine	Aquitaine	7269	1709	1282549	433491	14260	1490
FR	France	centre	Centre	6813	1608	1240339	471862	15496	2766
FR	France	alsace	Alsace	6994	1655	1006737	393112	11446	1878
FR	France	poitou_charentes	Poitou-Charentes	6456	1526	663739	271587	10566	1963
FR	France	auvergne	Auvergne	6173	1468	624496	197814	8173	1334
FR	France	champagne_ardenne	Champagne-Ardenne	6366	1509	582228	219867	6726	959
FR	France	bourgogne	Bourgogne	6410	1489	567431	189372	9878	887
FR	France	haute_normandie	Haute-Normandie	6687	1582	512272	170731	6489	431
FR	France	basse_normandie	Basse-Normandie	6305	1488	377373	152577	4860	862
FR	France	franche_comte	Franche-Comté	6126	1445	352531	116908	5885	490
FR	France	corse	Corse	5213	1267	142018	35349	1157	14
