age_code	age_label	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
13_17	13-17	EL	Greece	1389	329	3628269	1348283	9010	596
18_24	18-24	EL	Greece	7413	1349	52139650	20546444	155134	19822
25_34	25-34	EL	Greece	8342	1470	50855432	19409644	178626	20477
35_44	35-44	EL	Greece	8386	1456	49953907	18482601	191090	19161
45_54	45-54	EL	Greece	8179	1408	45589652	16163347	194046	16567
55_64	55-64	EL	Greece	7260	1340	33001065	11102638	149572	10836
65_	65+	EL	Greece	6502	1220	18943726	6330769	86170	6461
