region_code	region_name	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
attica_region	Attica (region)	EL	Greece	7063	1232	67380751	24401416	285112	28832
central_greece_region	Central Greece (region)	EL	Greece	5112	898	1399485	406135	10018	307
central_macedonia	Central Macedonia	EL	Greece	5799	1046	17278114	5860701	75073	4254
crete	Crete	EL	Greece	4852	884	5492113	1892993	22156	1084
eastern_macedonia_and_thrace	Eastern Macedonia and Thrace	EL	Greece	4690	841	6496469	1967448	24581	838
epirus_region	Epirus (region)	EL	Greece	4603	840	3127496	822028	14145	433
ionian_islands_region	Ionian Islands (region)	EL	Greece	4422	828	349865	90762	1516	47
northern_aegean	Northern Aegean	EL	Greece	4281	783	493945	141660	2873	68
peloponnese_region	Peloponnese (region)	EL	Greece	4713	857	2667278	730593	17299	328
southern_aegean	Southern Aegean	EL	Greece	4700	864	5471851	1616815	19314	1057
thessaly	Thessaly	EL	Greece	4880	884	3601446	1200408	17734	620
western_greece	Western Greece	EL	Greece	4898	876	4704926	1447913	26649	565
western_macedonia	Western Macedonia	EL	Greece	4230	760	685610	217736	3514	177
