week_code	week_label	first_day	last_day	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
w019	Week 19	2019-05-06	2019-05-07	IT	Italy	1714	470	20459398	7409550	114408	12535
w018	Week 18	2019-04-29	2019-05-05	IT	Italy	2905	798	55750821	20409861	279263	30910
w017	Week 17	2019-04-22	2019-04-28	IT	Italy	1979	758	28454348	10784580	120010	14792
w016	Week 16	2019-04-15	2019-04-21	IT	Italy	1961	940	17071277	5922875	100868	8524
w015	Week 15	2019-04-08	2019-04-14	IT	Italy	2754	1357	32424900	11635259	183616	17926
w014	Week 14	2019-04-01	2019-04-07	IT	Italy	2373	1233	24519095	8341772	136334	11360
w013	Week 13	2019-03-25	2019-03-31	IT	Italy	1959	1016	23185109	8486465	118418	9642
w012	Week 12	2019-03-18	2019-03-24	IT	Italy	1949	999	21166618	7293430	114769	8009
w011	Week 11	2019-03-11	2019-03-17	IT	Italy	1652	900	21816123	7938873	118773	9399
w010	Week 10	2019-03-04	2019-03-10	IT	Italy	1236	677	18161381	6395338	84383	6674
w009	Week 9	2019-02-25	2019-03-03	IT	Italy	662	341	12449051	4843998	58815	7546
w008	Week 8	2019-02-18	2019-02-24	IT	Italy	342	143	4224508	1711975	20556	2675
w007	Week 7	2019-02-11	2019-02-17	IT	Italy	351	128	3414930	1252642	30294	3097
w006	Week 6	2019-02-04	2019-02-10	IT	Italy	271	114	2900594	1012384	20164	2237
w005	Week 5	2019-01-28	2019-02-03	IT	Italy	243	95	1078729	352005	6187	166
w004	Week 4	2019-01-21	2019-01-27	IT	Italy	258	85	2740066	1054882	14990	1000
w003	Week 3	2019-01-14	2019-01-20	IT	Italy	219	78	2214347	840722	16209	1767
w002	Week 2	2019-01-07	2019-01-13	IT	Italy	216	73	1966132	585475	12321	513
w001	Week 1	2019-01-01	2019-01-06	IT	Italy	172	56	1464194	492568	10474	663
