recent_code	recent_label	first_day	last_day	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
rd1	Yesterday	2019-05-07	2019-05-07	PT	Portugal	130	43	536830	253511	2658	485
rd2	Last 2 days	2019-05-06	2019-05-07	PT	Portugal	140	50	1169190	553459	5460	971
rd3	Last 3 days	2019-05-05	2019-05-07	PT	Portugal	145	55	1744404	824733	8313	1540
rd4	Last 4 days	2019-05-04	2019-05-07	PT	Portugal	163	61	2566994	1209873	11538	2273
rd5	Last 5 days	2019-05-03	2019-05-07	PT	Portugal	189	69	3009231	1406963	12507	2544
rd6	Last 6 days	2019-05-02	2019-05-07	PT	Portugal	210	76	3887958	1782430	13881	2907
rw1	Last week	2019-05-01	2019-05-07	PT	Portugal	231	84	4269991	1938508	14825	3185
rw2	Last 2 weeks	2019-04-24	2019-05-07	PT	Portugal	748	156	8862687	3930896	33459	6913
rw3	Last 3 weeks	2019-04-17	2019-05-07	PT	Portugal	1195	233	12232715	5327916	41923	8066
rw4	Last 4 weeks	2019-04-10	2019-05-07	PT	Portugal	1819	391	19100035	7990097	65028	11468
rm1	Last month	2019-04-08	2019-05-07	PT	Portugal	1957	438	21143692	8785921	71535	12762
rm2	Last 2 months	2019-03-09	2019-05-07	PT	Portugal	3032	827	35409331	14200281	119127	18657
rm3	Last 3 months	2019-02-07	2019-05-07	PT	Portugal	3340	905	41015841	16401224	136243	21462
rm6	Last 6 months	2019-01-01	2019-05-07	PT	Portugal	3483	931	41959961	16746888	140089	21984
