day_code	day_label	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
d135	2019-05-15	IT	Italy	2524	601	13749900	5097559	75488	7347
d134	2019-05-14	IT	Italy	2986	642	16910260	6096888	97316	9121
d133	2019-05-13	IT	Italy	2788	629	16913369	6225736	81097	9394
d132	2019-05-12	IT	Italy	2686	625	14079164	5169261	68889	7400
d131	2019-05-11	IT	Italy	2696	626	12896785	4697643	64775	6721
d130	2019-05-10	IT	Italy	2721	647	13194405	4709036	71060	7272
d129	2019-05-09	IT	Italy	2442	637	11985243	4268195	60796	6003
d128	2019-05-08	IT	Italy	2238	585	13318727	4833784	63733	9554
d127	2019-05-07	IT	Italy	2061	561	10275570	3735824	49018	5848
d126	2019-05-06	IT	Italy	1931	539	12494597	4753881	60498	8805
d125	2019-05-05	IT	Italy	1776	528	8929891	3281492	38340	4625
d124	2019-05-04	IT	Italy	1745	544	8116980	2912287	38536	4217
d123	2019-05-03	IT	Italy	1696	556	8578922	3132496	50162	7339
d122	2019-05-02	IT	Italy	1701	569	8275882	3013169	49436	6493
d121	2019-05-01	IT	Italy	1531	552	5156131	1753782	25751	2127
d120	2019-04-30	IT	Italy	1667	593	7333247	2807503	36286	4416
d119	2019-04-29	IT	Italy	1512	563	5038880	1844402	23642	2671
d118	2019-04-28	IT	Italy	1363	511	3786075	1399648	16380	1727
d117	2019-04-27	IT	Italy	1319	520	3881204	1488522	16705	1760
d116	2019-04-26	IT	Italy	1314	514	4430379	1730545	19349	3219
d115	2019-04-25	IT	Italy	1265	505	4621704	1756655	20992	2811
d114	2019-04-24	IT	Italy	1209	496	4451759	1655972	19331	3195
d113	2019-04-23	IT	Italy	1138	490	2935268	1043582	12881	1407
d112	2019-04-22	IT	Italy	1055	496	1815544	621542	8609	542
d111	2019-04-21	IT	Italy	1094	514	1793277	613500	8918	715
d110	2019-04-20	IT	Italy	1136	549	1743867	595333	9837	750
d109	2019-04-19	IT	Italy	1192	584	4334587	1762727	28117	4384
d108	2019-04-18	IT	Italy	1198	596	1722546	589706	10061	559
d107	2019-04-17	IT	Italy	1239	625	2093674	672608	12183	573
d106	2019-04-16	IT	Italy	1364	707	2426592	819922	15626	881
