location_code	location_name	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
england_UK	England, United Kingdom	48413	4571	742167580	250929076	9250036	1243929
flemish_region_BE	Flemish Region, Belgium	7875	1535	158866036	61549291	1068663	184142
andalusia_ES	Andalusia, Spain	9219	1135	97577615	37107264	650096	96359
cataluna_ES	Cataluña, Spain	8399	1208	87063171	34966641	530291	91957
comunidad_valenciana_ES	Comunidad Valenciana, Spain	8621	1081	67264156	26299638	401490	67188
nordrhein_westfalen_DE	Nordrhein-Westfalen, Germany	17572	1959	64776609	20843599	645188	57901
comunidad_de_madrid_ES	Comunidad de Madrid, Spain	8094	1113	60519669	24258129	390211	66721
attica_region_EL	Attica (region), Greece	4783	996	59306218	21458570	246184	24725
scotland_UK	Scotland, United Kingdom	19085	2082	52167774	18317045	568273	85953
vienna_AT	Vienna, Austria	6716	1008	51684872	17915533	455468	66599
lombardia_IT	Lombardia, Italy	8912	2477	49101063	17979001	263976	27776
wales_UK	Wales, United Kingdom	21255	2160	47059060	15815676	548799	76602
ile_de_france_FR	Île-de-France, France	8235	2059	44120791	16664444	366592	61031
wallonia_BE	Wallonia, Belgium	5532	1364	39793159	14533956	262031	39780
baden_wurttemberg_DE	Baden-Württemberg, Germany	17676	1910	39658850	12786163	482554	37058
lazio_IT	Lazio, Italy	7986	2176	35248230	12909371	187762	20982
bayern_DE	Bayern, Germany	16741	1894	33567165	11248386	389570	38440
campania_IT	Campania, Italy	7510	1956	31539868	11759279	154838	16921
brussels_BE	Brussels, Belgium	6316	1389	29665855	10680105	216891	33458
stockholm_county_SE	Stockholm County, Sweden	6341	1094	29604109	9786933	252170	60460
budapest_HU	Budapest, Hungary	3202	776	29270073	11908467	80945	24067
islas_canarias_ES	Islas Canarias, Spain	6876	979	29223673	10760289	179480	24750
bucharest_RO	Bucharest, Romania	3424	802	28187483	11469473	69153	14796
galicia_ES	Galicia, Spain	7109	896	27776117	10162263	218725	25267
piedmont_IT	Piedmont, Italy	8100	2126	27525097	9809718	145102	14982
sicilia_IT	Sicilia, Italy	7165	1873	27254631	10043983	135516	14927
castilla_y_leon_ES	Castilla y Leon, Spain	8634	893	24727930	8740519	252545	22207
emilia_romagna_IT	Emilia-Romagna, Italy	8020	2203	24642125	8771265	147498	13789
central_macedonia_EL	Central Macedonia, Greece	4026	849	24522460	8821271	99902	8988
niedersachsen_DE	Niedersachsen, Germany	16124	1676	24084264	7530832	269985	20582
