age_code_filter	age_label_filter	country_code_filter	country_name_filter	advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
35_44	35-44	AT	Austria	Harald Vilimsky		547597092025909	Facebook	177	1	3361572	1420066	30566	7018
35_44	35-44	AT	Austria	SPÖ	SPÖ	77393060080	Facebook	613	1	2688720	901836	20774	2709
35_44	35-44	AT	Austria	European Parliament		178362315106	Facebook	92	1	2009020	878351	21687	7366
35_44	35-44	AT	Austria	Andreas Schieder	SPÖ	290881691011354	Facebook	159	1	1662747	552880	13512	2664
35_44	35-44	AT	Austria	kontrast.at	kontrast.at	1079650008770485	Facebook	104	1	1568276	632215	7979	2604
35_44	35-44	AT	Austria	Claudia Gamon	NEOS	447992848717452	Facebook	262	1	1418422	496751	8905	1528
35_44	35-44	AT	Austria	HC Strache	FPÖ	74865038590	Facebook	73	1	1152247	486927	6439	1819
35_44	35-44	AT	Austria	Angelika Winzig	Wirtschaftsbund Österreich	141015722773374	Facebook	1267	1	1140426	251856	25005	785
35_44	35-44	AT	Austria	Greenpeace Österreich	Greenpeace Österreich	32984679070	Facebook	580	1	772601	212680	10872	212
35_44	35-44	AT	Austria	Die Grünen	Die Grünen	21759893033	Facebook	55	1	533072	175583	4046	728
35_44	35-44	AT	Austria	Karoline Edtstadler	Salzburger Volkspartei	1580540041983231	Facebook	277	1	510857	122538	6959	491
35_44	35-44	AT	Austria	Wirtschaftskammer		125946327466544	Facebook	160	1	431068	109551	5414	295
35_44	35-44	AT	Austria	Johann Gudenus		104145976305577	Facebook	50	1	382742	152338	2209	353
35_44	35-44	AT	Austria	OÖVP - die Oberösterreichische Volkspartei	Oberösterreichische Volkspartei	289163077789256	Facebook	39	1	376052	99489	1065	83
35_44	35-44	AT	Austria	European Greens	European Greens	141366725876424	Facebook	17	1	343305	147752	2315	532
35_44	35-44	AT	Austria	FPÖ	FPÖ	169051073236170	Facebook	16	1	330131	137866	2734	665
35_44	35-44	AT	Austria	Dominik Nepp	FPÖ-Wien	135953609780627	Facebook	20	1	328186	142105	1890	596
35_44	35-44	AT	Austria	Julia Herr	Sozialistische Jugend Österreich	345172509462824	Facebook	23	1	272559	119355	3024	846
