country_code_filter	country_name_filter	gender_code	gender_label	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
MT	Malta	f	female	4277	767	19255361	6641301	109186	8547
MT	Malta	m	male	4047	741	26355393	8855694	146499	10822
MT	Malta	u	unknown	3830	692	230919	77850	1340	106
