country_code_filter	country_name_filter	audience_code	audience_label	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
PL	Poland	m18_24	male (18-24)	6051	1429	22865163	8782240	60868	12208
PL	Poland	m25_34	male (25-34)	6800	1575	20963269	8089343	63670	12816
PL	Poland	f18_24	female (18-24)	6276	1459	20032889	7850037	50263	10904
PL	Poland	f25_34	female (25-34)	7086	1615	15524529	6101632	43670	8870
PL	Poland	m35_44	male (35-44)	6758	1555	14456770	5315542	43382	8235
PL	Poland	f35_44	female (35-44)	7057	1594	13973700	5154154	39417	7664
PL	Poland	f55_64	female (55-64)	6033	1401	10961627	3558175	35070	5768
PL	Poland	f45_54	female (45-54)	6804	1520	9816825	3424432	29533	5439
PL	Poland	m45_54	male (45-54)	6505	1484	8627073	3017707	26989	4797
PL	Poland	f65_	female (65+)	5019	1220	6895285	2181522	22260	3592
PL	Poland	m55_64	male (55-64)	5792	1369	6024236	1977058	19140	3029
PL	Poland	m65_	male (65+)	4826	1205	4198661	1373721	13232	2128
PL	Poland	f13_17	female (13-17)	813	257	2301337	830203	4104	448
PL	Poland	m13_17	male (13-17)	774	247	1692467	612758	3183	367
PL	Poland	u35_44	unknown (35-44)	5179	1298	175554	64030	624	118
PL	Poland	u25_34	unknown (25-34)	4567	1214	113161	42487	424	84
PL	Poland	u18_24	unknown (18-24)	3455	992	60407	21462	220	41
PL	Poland	u45_54	unknown (45-54)	4292	1124	57610	20589	216	41
PL	Poland	u65_	unknown (65+)	3063	905	35028	11560	119	19
PL	Poland	u55_64	unknown (55-64)	3157	916	25715	8657	86	14
PL	Poland	u13_17	unknown (13-17)	442	192	6258	2238	15	1
