country_code_filter	country_name_filter	week_code	week_label	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
FR	France	w020	Week 20	744	170	1945403	739896	10150	2052
FR	France	w019	Week 19	1070	290	12368054	4584099	71927	13085
FR	France	w018	Week 18	1295	356	16169562	6886090	97351	19016
FR	France	w017	Week 17	1507	425	10191556	4066237	63690	10431
FR	France	w016	Week 16	1826	622	14118019	5713979	102392	14689
FR	France	w015	Week 15	2582	1003	22751251	8811253	169812	30338
FR	France	w014	Week 14	2633	1035	21125231	7940314	213405	29208
FR	France	w013	Week 13	2155	882	20607559	7498921	188743	30559
FR	France	w012	Week 12	2082	787	22455329	8597444	189739	24817
FR	France	w011	Week 11	1591	563	22042917	8893100	187235	31293
