country_code	country_name	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
AT	Austria	13089	1545	199293618	68619618	1876478	266756
BE	Belgium	14001	2367	414273201	158631028	2884914	534050
BG	Bulgaria	3162	830	43877704	16887673	136808	17263
HR	Croatia	3363	816	55578728	20383257	177737	19110
CY	Cyprus	2147	501	29288024	9588565	125205	10913
CZ	Czechia	7945	1067	103499388	35810043	414808	102358
DK	Denmark	12126	1595	143297600	44271676	1351633	316026
EE	Estonia	2545	579	25095527	9137794	139993	19462
FI	Finland	7744	1320	97859010	33507247	997801	142467
FR	France	14577	3460	283999437	110909608	2317284	388883
DE	Germany	43231	4605	499115281	158897994	5523826	496894
EL	Greece	9241	1526	272762263	100724930	1019280	102090
HU	Hungary	6375	1666	222016710	91156414	512835	172208
IE	Ireland	5426	1280	70231798	26070089	458779	68314
IT	Italy	20999	5363	534435872	194390329	2787126	301846
LV	Latvia	2643	646	24895663	8816948	107786	11502
LT	Lithuania	3432	707	50805716	18990456	208723	23582
LU	Luxembourg	3618	791	22382303	7454023	130396	14024
MT	Malta	4910	845	56429472	19111676	316613	26035
NL	Netherlands	7901	1734	142816854	56427746	1169611	233914
PL	Poland	9418	1885	205431693	74881355	622632	122124
PT	Portugal	4800	1277	55961448	22327529	189996	28867
RO	Romania	7115	1396	379103989	156589829	786261	172518
SK	Slovakia	7638	897	132040878	45494183	845002	87577
SI	Slovenia	3009	702	23774804	8396916	127483	13913
ES	Spain	27997	2348	612585514	232363043	4440722	561184
SE	Sweden	12368	2075	216070443	73671591	1863480	462313
UK	United Kingdom	56748	5381	932255579	318937686	11532303	1567886
