week_code	week_label	first_day	last_day	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
w020	Week 20	2019-05-13	2019-05-13	FR	France	744	170	1945403	739896	10150	2052
w019	Week 19	2019-05-06	2019-05-12	FR	France	1070	290	12368054	4584099	71927	13085
w018	Week 18	2019-04-29	2019-05-05	FR	France	1295	356	16169562	6886090	97351	19016
w017	Week 17	2019-04-22	2019-04-28	FR	France	1507	425	10191556	4066237	63690	10431
w016	Week 16	2019-04-15	2019-04-21	FR	France	1826	622	14118019	5713979	102392	14689
w015	Week 15	2019-04-08	2019-04-14	FR	France	2582	1003	22751251	8811253	169812	30338
w014	Week 14	2019-04-01	2019-04-07	FR	France	2633	1035	21125231	7940314	213405	29208
w013	Week 13	2019-03-25	2019-03-31	FR	France	2155	882	20607559	7498921	188743	30559
w012	Week 12	2019-03-18	2019-03-24	FR	France	2082	787	22455329	8597444	189739	24817
w011	Week 11	2019-03-11	2019-03-17	FR	France	1591	563	22042917	8893100	187235	31293
w010	Week 10	2019-03-04	2019-03-10	FR	France	1225	446	15748474	6093807	143554	27204
w009	Week 9	2019-02-25	2019-03-03	FR	France	511	187	7623481	3080169	66671	11976
w008	Week 8	2019-02-18	2019-02-24	FR	France	347	147	2611485	836164	19279	2882
w007	Week 7	2019-02-11	2019-02-17	FR	France	266	122	2814105	1020174	28239	5770
w006	Week 6	2019-02-04	2019-02-10	FR	France	252	96	1658251	546992	15519	2111
w005	Week 5	2019-01-28	2019-02-03	FR	France	257	85	4229787	1767231	23891	4255
w004	Week 4	2019-01-21	2019-01-27	FR	France	202	71	3056215	1323701	17563	3453
w003	Week 3	2019-01-14	2019-01-20	FR	France	206	74	1706098	604202	12651	1655
w002	Week 2	2019-01-07	2019-01-13	FR	France	169	65	1848116	620043	16945	3274
w001	Week 1	2019-01-01	2019-01-06	FR	France	128	50	2470275	987135	16170	3277
