platform_code_filter	platform_name_filter	advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
g	Google	COALICION ELECTORAL UNIDAS PODEMOS		AR21167248102129664	Google	251	1	193400000	19230000	1157600	22600
g	Google	Future Innovation SRL		AR474748779908562944	Google	43	1	183040000	18300000	695950	12050
g	Google	AMERISOFT SRL		AR573801583431647232	Google	216	1	161730000	16090000	17550	750
g	Google	Ciudadanos - Partido de la Ciudadanía		AR309397624253841408	Google	42	1	141810000	14180000	729050	41900
g	Google	Kansallinen Kokoomus r.p.		AR210958348219056128	Google	89	1	128240000	12780000	648250	12150
g	Google	Sloboda a Solidarita ( SaS )		AR185084640594231296	Google	850	1	68980000	6270000	95400	3050
g	Google	Freiheitliche Partei Österreich		AR333020356698701824	Google	51	1	58290000	5800000	486300	37500
g	Google	Fratelli d'Italia Centrodestra Nazionale		AR400032566754672640	Google	126	1	56520000	5590000	170000	4050
g	Google	COALICION CANARIA		AR489541609348661248	Google	3716	1	56060000	1990000	221600	1150
g	Google	Liberaalipuolue - Vapaus valita r.p.		AR52536314842578944	Google	176	1	42620000	4230000	8800	0
g	Google	Nieuw-Vlaamse Alliantie		AR417822664892088320	Google	83	1	41600000	4100000	432000	7950
g	Google	Lietuvos Respublikos liberalų sąjūdis		AR132631338879549440	Google	120	1	33150000	3240000	10050	450
g	Google	KREMSA DIGITAL s.r.o.		AR420840549432426496	Google	143	1	27800000	2710000	9850	300
g	Google	ENTUSIASMO Y MUCHO VALOR, S.L.U.		AR433345570053029888	Google	110	1	23150000	2300000	237650	6000
g	Google	Partido Animalista PACMA		AR145115193901318144	Google	6	1	23010000	2300000	120550	2050
g	Google	Partido Popular Regional De Canarias		AR288284801977286656	Google	139	1	22360000	2170000	12800	650
g	Google	KOALICYJNY KOMITET WYBORCZY KOALICJA EUROPEJSKA PO PSL SLD .N  ZIELONI		AR489880258930016256	Google	1489	1	21100000	690000	80300	650
g	Google	ΑΝΟΡΘΩΤΙΚΟ ΚΟΜΜΑ ΕΡΓΑΖΟΜΕΝΟΥ ΛΑΟΥ (ΑΚΕΛ)		AR429686395355791360	Google	118	1	20440000	1960000	7700	200
g	Google	Suomen Keskusta r.p.		AR441112520191639552	Google	34	1	20050000	1990000	305250	5450
g	Google	Alternativet		AR198061076825243648	Google	11	1	17210000	1720000	34100	900
