country_code_filter	country_name_filter	region_code	region_name	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
HR	Croatia	zagreb	Zagreb	2609	657	4641299	1551647	16472	1379
HR	Croatia	istria_county	Istria County	2069	504	1495824	389223	6069	507
HR	Croatia	split_dalmatia_county	Split-Dalmatia County	2215	579	929433	324508	3253	240
HR	Croatia	primorje_gorski_kotar_county	Primorje-Gorski Kotar County	2169	554	601531	165324	2177	59
HR	Croatia	osijek_baranja_county	Osijek-Baranja County	2066	527	559248	173266	2258	99
HR	Croatia	dubrovnik_neretva_county	Dubrovnik-Neretva County	1897	482	223100	50564	1277	9
HR	Croatia	brod_posavina_county	Brod-Posavina County	1744	434	189539	49857	731	15
HR	Croatia	varazdin_county	Varaždin County	1854	439	145637	46633	1177	17
HR	Croatia	zagreb_county	Zagreb County	1806	424	125201	36605	448	12
HR	Croatia	vukovar_srijem_county	Vukovar-Srijem County	1751	433	107927	41693	498	20
HR	Croatia	bjelovar_bilogora_county	Bjelovar-Bilogora County	1633	399	101710	27900	489	7
HR	Croatia	virovitica_podravina_county	Virovitica-Podravina County	1541	360	93054	24709	502	4
HR	Croatia	medimurje_county	Međimurje County	1710	421	91420	37431	659	10
HR	Croatia	karlovac_county	Karlovac County	1716	417	83391	21326	269	7
HR	Croatia	krapina_zagorje_county	Krapina-Zagorje County	1605	374	80606	21652	352	3
HR	Croatia	zadar_county	Zadar County	1914	484	73813	25283	238	17
HR	Croatia	sisak_moslavina_county	Sisak-Moslavina County	1717	409	56366	19470	273	12
HR	Croatia	lika_senj_county	Lika-Senj County	1376	330	43112	9336	84	1
HR	Croatia	pozega_slavonia_county	Požega-Slavonia County	1536	358	30637	9779	215	3
HR	Croatia	sibenik_knin_county	Šibenik-Knin County	1713	408	30483	9509	210	6
HR	Croatia	koprivnica_krizevci_county	Koprivnica-Križevci County	1655	391	29872	9945	267	6
