media_code	media_label	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
text	Text	1640	53	69050000	5400000	2293300	76750
image	Image	9267	53	1090230000	101180000	2700500	47800
video	Video	840	57	396480000	39280000	3792950	132600
