advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	week_code_filter	week_label_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Britain's Future	Britain's Future	1625300137516491	Facebook	w008	Week 8	396	1	8190125	2466055	86880	22558
Conservatives	The Conservative Party	8807334278	Facebook	w008	Week 8	220	1	7499901	3457115	53513	9640
People's Vote UK	People's Vote	748608695327755	Facebook	w008	Week 8	31	1	3651804	1464104	44914	9585
Best For Britain	Best for Britain	1863944713844924	Facebook	w008	Week 8	97	1	2898483	1264099	33358	6846
Kialo		729627343834501	Facebook	w008	Week 8	3	1	2499997	1200000	9788	2225
Friends of the Earth	Friends of the Earth	110861655604080	Facebook	w008	Week 8	675	1	1977901	361736	77515	478
The Week UK	The Week	177855115588808	Facebook	w008	Week 8	44	1	1880956	757000	20547	5207
We are the 52%	We are the 52%	466744973727718	Facebook	w008	Week 8	20	1	1466217	578532	4505	951
The Labour Party	The Labour Party	25749647410	Facebook	w008	Week 8	76	1	1358594	399333	11449	1103
Primavera Sound	Influence Digital Ltd	156656398155	Facebook	w008	Week 8	278	1	1218596	362642	22569	231
38 Degrees	38 Degrees	200006375787	Facebook	w008	Week 8	51	1	1207721	487780	6362	937
European Commission		107898832590939	Facebook	w008	Week 8	1	1	999999	500000	4999	1000
Plan International Sverige		382243262003	Facebook	w008	Week 8	31	1	729994	300928	1637	621
Proud of Our Pride		400548670511219	Facebook	w008	Week 8	22	1	694978	166000	1938	0
Unis pour les Droits Humains		1642871805813802	Facebook	w008	Week 8	6	1	567137	187857	503	0
Fotografiska Stockholm		142320852554	Facebook	w008	Week 8	10	1	555452	242000	403	90
Our Future, Our Choice	Our Future, Our Choice	1777176712575796	Facebook	w008	Week 8	14	1	539985	119999	1603	0
Of Fathers and Sons		568872616777229	Facebook	w008	Week 8	10	1	528561	131428	1304	85
EU Watch	EU Watch	136146920436020	Facebook	w008	Week 8	14	1	524257	135493	1258	165
Vlaams Belang	Vlaams Belang	56605856504	Facebook	w008	Week 8	1	1	499999	200000	4999	1000
Bespaarkiosk.nl		1659811130952704	Facebook	w008	Week 8	1	1	499999	200000	4999	1000
Les Congolais Debout		1405739032827831	Facebook	w008	Week 8	1	1	499998	199999	114	0
Partito Democratico	Partito Democratico	77034286895	Facebook	w008	Week 8	3	1	483331	216666	3331	666
Médecins du Monde France		265420476920	Facebook	w008	Week 8	14	1	474986	95000	3386	500
Amnistía Internacional España		78151799929	Facebook	w008	Week 8	5	1	455995	211000	1295	200
Kyriakos Mitsotakis		34848567724	Facebook	w008	Week 8	3	1	399997	200000	697	100
Entega		198244400189055	Facebook	w008	Week 8	17	1	372983	103000	5083	1400
Alfred Sant	Alfred Sant	537789116260209	Facebook	w008	Week 8	8	1	350495	142499	1645	337
CIWF Italia		576664002355828	Facebook	w008	Week 8	3	1	349997	160000	1997	700
Harald Vilimsky		547597092025909	Facebook	w008	Week 8	3	1	326664	125416	3031	583
Alex Salmond	Slainte Media	136191876445102	Facebook	w008	Week 8	5	1	318329	141666	813	92
Polska Fundacja im. Roberta Schumana	Polska Fundacja im. Roberta Schumana	150617698324166	Facebook	w008	Week 8	9	1	306245	91250	536	107
Lilian Marijnissen	SP	844559615710915	Facebook	w008	Week 8	2	1	299998	150000	998	200
Medici Senza Frontiere		65737832194	Facebook	w008	Week 8	14	1	282016	117291	1435	395
Venstre, Danmarks Liberale Parti	Venstre, Danmarks Liberale Parti	21465928829	Facebook	w008	Week 8	117	1	269436	72970	1803	433
Klang der Solidarität		385076005313967	Facebook	w008	Week 8	23	1	254837	110905	466	43
Deutschland3000		1672408719723194	Facebook	w008	Week 8	1	1	249999	100000	249	50
Plaid Cymru	Plaid Cymru	26416930992	Facebook	w008	Week 8	3	1	241619	96551	1563	307
Feudo Arancio		1430685883840905	Facebook	w008	Week 8	3	1	230262	112368	1031	202
Dorset for Europe	Dorset For Europe	205664403208769	Facebook	w008	Week 8	3	1	211247	105625	6318	1258
Pompes à Chaleur		464568377211278	Facebook	w008	Week 8	2	1	209998	105000	1098	500
Dr Sannas		432084333637525	Facebook	w008	Week 8	6	1	205994	41000	758	231
Manometal		165855190799208	Facebook	w008	Week 8	1	1	205882	102941	102	20
Rädda Barnen		72659261793	Facebook	w008	Week 8	2	1	204998	101000	935	463
Rivista Il Borghese		232017336910584	Facebook	w008	Week 8	2	1	204998	101000	598	100
SP	SP	128393027527	Facebook	w008	Week 8	1	1	199999	100000	499	100
L'Agence pour l'Énergie		465425373946253	Facebook	w008	Week 8	1	1	199999	100000	4999	1000
Unblock the Embankment	Unblock The Embankment	296306887805496	Facebook	w008	Week 8	1	1	199999	99999	1156	578
London Conservatives	London Conservatives	660899050767643	Facebook	w008	Week 8	1	1	199999	100000	1156	578
GuiaOngs		180363908661176	Facebook	w008	Week 8	1	1	199999	100000	99	0
Dedicated Brand		165262836994463	Facebook	w008	Week 8	1	1	199999	100000	462	92
Kirstene Hair MP	Angus Conservatives	1090793764304708	Facebook	w008	Week 8	3	1	199997	70000	1732	347
Sosialidemokraatit SDP		108945982480217	Facebook	w008	Week 8	16	1	194643	59592	1547	281
Roberts Zīle	Nacionālā apvienība "Visu Latvijai!" - "Tēvzemei un Brīvībai/LNNK"	508959865842254	Facebook	w008	Week 8	5	1	192853	51428	510	42
Andrea Acconcia		428605070873992	Facebook	w008	Week 8	9	1	191991	50000	891	0
e.on		309840349048638	Facebook	w008	Week 8	13	1	185987	69000	1687	100
Michela Giuffrida	Michela Giuffrida	656848937718109	Facebook	w008	Week 8	3	1	185500	92751	421	68
Pernille Weiss	Det Konservative Folkeparti	2071183673144991	Facebook	w008	Week 8	1	1	184210	73684	493	246
