week_code	week_label	first_day	last_day	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
w020	Week 20	2019-05-13	2019-05-17	57380	5344	888753018	315439401	6038438	805375
w019	Week 19	2019-05-06	2019-05-12	64512	5857	1017232559	326427007	5957576	869222
w018	Week 18	2019-04-29	2019-05-05	49949	6120	679896600	229640242	4444077	635726
w017	Week 17	2019-04-22	2019-04-28	42141	5638	666648068	234439569	4429027	655729
w016	Week 16	2019-04-15	2019-04-21	32163	6115	463036157	158149778	2940436	367656
w015	Week 15	2019-04-08	2019-04-14	27829	7979	418255843	146690433	2712921	378737
w014	Week 14	2019-04-01	2019-04-07	21420	7304	315959182	106819538	2015781	276310
w013	Week 13	2019-03-25	2019-03-31	19324	6304	294121608	104790033	1964802	282408
w012	Week 12	2019-03-18	2019-03-24	18839	6011	272070919	96720376	2009717	267584
w011	Week 11	2019-03-11	2019-03-17	13882	4903	206054116	75446893	1472629	204753
w010	Week 10	2019-03-04	2019-03-10	10586	3921	168461242	62253948	1121683	160287
w009	Week 9	2019-02-25	2019-03-03	6712	2116	91804155	32786371	679366	102263
w008	Week 8	2019-02-18	2019-02-24	5718	1442	74398722	26626448	664166	94054
w007	Week 7	2019-02-11	2019-02-17	4321	1262	51962692	18409720	405713	57253
w006	Week 6	2019-02-04	2019-02-10	3817	1133	56727986	21465673	430511	60473
w005	Week 5	2019-01-28	2019-02-03	4094	1002	63313211	22490155	506048	80931
w004	Week 4	2019-01-21	2019-01-27	3993	934	53457441	19580432	453491	65504
w003	Week 3	2019-01-14	2019-01-20	3491	861	49608871	17643666	427916	66701
w002	Week 2	2019-01-07	2019-01-13	2621	740	42770508	14467204	320483	51882
w001	Week 1	2019-01-01	2019-01-06	3144	573	67498477	23227105	614092	99793
