age_code_filter	age_label_filter	country_code_filter	country_name_filter	advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
18_24	18-24	EE	Estonia	European Parliament		178362315106	Facebook	17	1	509827	206125	3412	941
18_24	18-24	EE	Estonia	Sotsiaaldemokraatlik Erakond	Sotsiaaldemokraatlik Erakond	123310201026539	Facebook	14	1	478026	189361	1408	276
18_24	18-24	EE	Estonia	Igor Gräzin	Igor Gräzin	339367456669277	Facebook	29	1	472036	177284	1492	194
18_24	18-24	EE	Estonia	Inimõiguste Instituut / Estonian Institute of Human Rights		144333745668266	Facebook	8	1	334161	152167	818	203
18_24	18-24	EE	Estonia	Isamaa erakond	Isamaa erakond	321163977576	Facebook	10	1	323260	141898	1006	321
18_24	18-24	EE	Estonia	Anti Poolamets - EKRE kandidaat Europarlamenti	Anti Poolamets	1532805486974348	Facebook	91	1	267534	64101	1957	10
18_24	18-24	EE	Estonia	Veriff		959442754113350	Facebook	3	1	215168	94226	389	78
18_24	18-24	EE	Estonia	Taavi Rõivas	Roivas Taavi	1033457073332454	Facebook	26	1	177732	60630	921	100
18_24	18-24	EE	Estonia	Kialo		729627343834501	Facebook	296	1	119334	45301	767	181
18_24	18-24	EE	Estonia	Raimond Kaljulaid	Raimond Kaljulaid	1084372461606422	Facebook	38	1	115244	28985	1309	129
18_24	18-24	EE	Estonia	European Greens	European Greens	141366725876424	Facebook	11	1	89533	33529	332	53
18_24	18-24	EE	Estonia	Triin Saag	Saag Triin	2012394932389774	Facebook	31	1	80047	24512	1417	0
18_24	18-24	EE	Estonia	Urmas Paet	Paet Urmas	223092011815453	Facebook	21	1	69725	19234	445	0
18_24	18-24	EE	Estonia	Keskerakond	Keskerakond	161252453921396	Facebook	10	1	65735	18015	398	0
18_24	18-24	EE	Estonia	Ablo		299078570887332	Facebook	4	1	60995	11999	395	0
18_24	18-24	EE	Estonia	Jaak Madison	Madison Jaak	536519246456733	Facebook	11	1	46690	9566	290	41
18_24	18-24	EE	Estonia	EMY		815299865514464	Facebook	2	1	35470	7094	132	0
18_24	18-24	EE	Estonia	Marina Kaljurand	Marina Kaljurand	651496914998204	Facebook	9	1	34561	7616	168	0
18_24	18-24	EE	Estonia	Rimi Eesti		217485440760	Facebook	1	1	29420	14710	146	29
18_24	18-24	EE	Estonia	Yoko Alender		709212302463805	Facebook	34	1	27893	8912	625	0
18_24	18-24	EE	Estonia	Riho Terras		2217643278496367	Facebook	3	1	26438	6403	159	19
18_24	18-24	EE	Estonia	Toitumisnõustaja Erik Orgu		592673214085550	Facebook	3	1	24504	10145	109	17
18_24	18-24	EE	Estonia	Noored Otsustajad	Eesti Noorteühenduste Liit (ENL)	205597239493153	Facebook	2	1	22432	5297	65	0
18_24	18-24	EE	Estonia	Eiki Nestor	Sotsiaaldemokraatlik Erakond	1472281069715651	Facebook	3	1	21727	4179	154	0
18_24	18-24	EE	Estonia	Раймонд Кальюлайд	Raimond Kaljulaid	1535510530084119	Facebook	34	1	18526	5344	434	0
