advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	week_code_filter	week_label_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
European Parliament		178362315106	Facebook	w014	Week 14	SE	Sweden	42	1	660383	280847	5590	1544
European Commission		107898832590939	Facebook	w014	Week 14	SE	Sweden	8	1	563788	246522	5634	2026
Stryktipset - Svenska Spel Sport & Casino		310136262442458	Facebook	w014	Week 14	SE	Sweden	1	1	499999	200000	4630	926
Greenpeace Sverige	Greenpeace Sverige	95735961890	Facebook	w014	Week 14	SE	Sweden	48	1	483734	168342	1923	426
European Greens		141366725876424	Facebook	w014	Week 14	SE	Sweden	4	1	414833	207418	10768	2574
Plan International Sverige		382243262003	Facebook	w014	Week 14	SE	Sweden	164	1	352673	83585	2501	571
EU-kommissionen i Sverige		155824787799	Facebook	w014	Week 14	SE	Sweden	8	1	328510	159478	1390	339
Sverige för UNHCR		643137272398136	Facebook	w014	Week 14	SE	Sweden	16	1	296728	58776	923	286
LO Sverige		163820136238	Facebook	w014	Week 14	SE	Sweden	3	1	275422	114285	2359	529
Give me a Chance		596466710820200	Facebook	w014	Week 14	SE	Sweden	2	1	199997	99999	9997	1999
Games area		2075127812758129	Facebook	w014	Week 14	SE	Sweden	1	1	199977	99989	4449	890
Jörgen Warborn EU-kandidat		56002955332	Facebook	w014	Week 14	SE	Sweden	9	1	188788	37975	1771	370
Svenska kyrkans internationella arbete		197334613725511	Facebook	w014	Week 14	SE	Sweden	5	1	187081	74204	1732	346
FPlus – nyhetstjänsten för företagsamma		130927360876045	Facebook	w014	Week 14	SE	Sweden	6	1	168441	38737	1559	358
Unionen		175656912484553	Facebook	w014	Week 14	SE	Sweden	8	1	153267	66135	2167	692
Johan Danielsson	LO Sverige	636103536446815	Facebook	w014	Week 14	SE	Sweden	1	1	152122	60849	1408	281
Feministiskt initiativ	Feministiskt initiativ	112513375470294	Facebook	w014	Week 14	SE	Sweden	5	1	116694	52743	634	265
Forsmarks kärnkraftverk		169746503070808	Facebook	w014	Week 14	SE	Sweden	2	1	115694	57847	2122	424
Rädda Barnen		72659261793	Facebook	w014	Week 14	SE	Sweden	7	1	108991	20999	971	185
Anna Maria Corazza Bildt		69490331421	Facebook	w014	Week 14	SE	Sweden	2	1	100997	49999	472	92
Centerpartiet Falun		417315481625315	Facebook	w014	Week 14	SE	Sweden	2	1	97220	36944	900	342
Evensi		285139628198531	Facebook	w014	Week 14	SE	Sweden	2	1	96562	19312	170	0
Diakonia		42676805259	Facebook	w014	Week 14	SE	Sweden	25	1	94056	33044	192	74
Vänsterpartiet Falun		274157822060	Facebook	w014	Week 14	SE	Sweden	16	1	93472	17969	815	154
Invitationsdepartementet		1416568705263681	Facebook	w014	Week 14	SE	Sweden	3	1	91555	18311	847	169
Världsnaturfonden WWF		371791194529	Facebook	w014	Week 14	SE	Sweden	2	1	74935	29974	462	92
SSAB AB		145401631365	Facebook	w014	Week 14	SE	Sweden	24	1	71108	21765	408	34
Sverigedemokraterna Malmö		167036616661188	Facebook	w014	Week 14	SE	Sweden	2	1	65570	13114	607	121
Kialo		729627343834501	Facebook	w014	Week 14	SE	Sweden	8	1	61525	18247	667	227
Tullverket		1133304143374162	Facebook	w014	Week 14	SE	Sweden	2	1	59968	11993	555	111
Röda Korset		111630258867610	Facebook	w014	Week 14	SE	Sweden	3	1	59934	11987	184	64
LT konsult fastighetsservice		186325834774557	Facebook	w014	Week 14	SE	Sweden	2	1	59089	11818	547	109
Syre		1531320107133721	Facebook	w014	Week 14	SE	Sweden	3	1	55972	10995	564	138
ICA		98330067937	Facebook	w014	Week 14	SE	Sweden	1	1	53845	26923	249	49
Said till Europaparlamentet	Liberalernas riksorganisation	1509050235995572	Facebook	w014	Week 14	SE	Sweden	2	1	51942	10973	480	101
Fastighetsfolket		1394238110881042	Facebook	w014	Week 14	SE	Sweden	1	1	49999	10000	92	46
Skanska Sverige		369337099772743	Facebook	w014	Week 14	SE	Sweden	1	1	49978	9995	46	9
Centerpartiet	Centerpartiet	12690894340	Facebook	w014	Week 14	SE	Sweden	1	1	49956	9991	92	46
Skandia		139767876088719	Facebook	w014	Week 14	SE	Sweden	2	1	45742	19606	121	60
Socialdemokraterna i Stockholm	Socialdemokraterna i Stockholm	117056501654820	Facebook	w014	Week 14	SE	Sweden	1	1	42856	8571	396	79
Centerpartiet i Stockholm	Centerpartiet i Stockholm	170211353124087	Facebook	w014	Week 14	SE	Sweden	1	1	42856	8571	396	79
Centerpartiet i Stockholms län	Centerpartiet i Stockholms län	154533721332462	Facebook	w014	Week 14	SE	Sweden	1	1	42605	8521	394	78
Teknisk-naturvetenskaplig fakultet - Umeå universitet		200080750027643	Facebook	w014	Week 14	SE	Sweden	2	1	37998	7599	218	53
Klimakterieportalen		412367002498743	Facebook	w014	Week 14	SE	Sweden	1	1	37499	7500	69	34
Klimatriksdagen		469200036507893	Facebook	w014	Week 14	SE	Sweden	2	1	36665	7333	92	37
Kristdemokraterna i Örebro län		430535663641398	Facebook	w014	Week 14	SE	Sweden	2	1	33570	8214	75	31
Skogsindustrierna		182933185135	Facebook	w014	Week 14	SE	Sweden	1	1	33332	6666	308	61
Wedonthavetime.org		1374925102519271	Facebook	w014	Week 14	SE	Sweden	1	1	33319	16659	154	30
Diskrimineringsombudsmannen		237952092910326	Facebook	w014	Week 14	SE	Sweden	1	1	31811	15905	147	29
Tretti		250791121791	Facebook	w014	Week 14	SE	Sweden	4	1	31440	12410	171	41
Vänsterpartiet Göteborg		175873745789190	Facebook	w014	Week 14	SE	Sweden	1	1	31249	6250	289	57
Furuboda Folkhögskola		168748666505311	Facebook	w014	Week 14	SE	Sweden	1	1	31249	6250	289	57
Kommunistiska Partiet	Kommunistiska Partiet	152953178070559	Facebook	w014	Week 14	SE	Sweden	1	1	31229	6246	57	28
Humble Household		1746853745395190	Facebook	w014	Week 14	SE	Sweden	10	1	29206	13290	385	76
Grönt Väder		122758415167770	Facebook	w014	Week 14	SE	Sweden	1	1	29137	5827	269	53
Oway Sweden / Zanello Brands		1688713438059520	Facebook	w014	Week 14	SE	Sweden	1	1	28570	5714	26	5
Soheila Fors		420594604736397	Facebook	w014	Week 14	SE	Sweden	2	1	28179	7272	67	26
RISE Processum		109295069092258	Facebook	w014	Week 14	SE	Sweden	1	1	27172	5434	251	50
Högskolan i Borås		12273171958	Facebook	w014	Week 14	SE	Sweden	1	1	24999	5000	231	46
NOA Personlig Assistans		464515140276607	Facebook	w014	Week 14	SE	Sweden	1	1	24999	5000	231	46
Motormännens Riksförbund		281307768603480	Facebook	w014	Week 14	SE	Sweden	1	1	24996	4999	231	46
Impact Hub Amsterdam		138540482884259	Facebook	w014	Week 14	SE	Sweden	1	1	24574	12287	61	12
