advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	location_code_filter	location_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
24Bottles		126060760828576	Facebook	carinthia_AT	Carinthia, Austria	5	1	332	0	32	0
European Youth Event		919232861444360	Facebook	carinthia_AT	Carinthia, Austria	6	1	328	148	1	0
Dr. Schreibers		246429078887182	Facebook	carinthia_AT	Carinthia, Austria	1	1	326	65	6	0
ReHats - Upcycled Headwear Berlin		178129285934202	Facebook	carinthia_AT	Carinthia, Austria	1	1	324	65	0	0
Europäische Bewegung Österreich		161031654392167	Facebook	carinthia_AT	Carinthia, Austria	1	1	317	63	6	0
ASNAcreative - a social national association.		207189696144630	Facebook	carinthia_AT	Carinthia, Austria	1	1	313	62	6	0
Elmar Podgorschek		439515072798739	Facebook	carinthia_AT	Carinthia, Austria	1	1	312	62	6	0
ABB		16524057261	Facebook	carinthia_AT	Carinthia, Austria	1	1	308	154	3	0
videoproduktion.at		1417903641761435	Facebook	carinthia_AT	Carinthia, Austria	1	1	306	61	6	0
Donau_Kanal		849083565221133	Facebook	carinthia_AT	Carinthia, Austria	1	1	305	61	6	0
WOMAN		387726029923	Facebook	carinthia_AT	Carinthia, Austria	1	1	303	60	6	0
Ring Freiheitlicher Studenten RFS		148597481866190	Facebook	carinthia_AT	Carinthia, Austria	1	1	298	149	2	0
Sozialdemokratische Partei Europas	Sozialdemokratische Partei Europas	338549033673221	Facebook	carinthia_AT	Carinthia, Austria	4	1	297	86	5	0
Turnaround-Aktien		1413992895512447	Facebook	carinthia_AT	Carinthia, Austria	1	1	295	59	2	0
Beachline Festival		208882490548	Facebook	carinthia_AT	Carinthia, Austria	1	1	287	57	5	0
unzensuriert.at		61474458710	Facebook	carinthia_AT	Carinthia, Austria	1	1	287	57	5	0
Laut Fragen		1139956952738847	Facebook	carinthia_AT	Carinthia, Austria	1	1	286	57	5	0
Rentenlücke Ade - Nixwieweg		603902966636180	Facebook	carinthia_AT	Carinthia, Austria	1	1	280	56	2	0
Cecilia Malmström		258966159416	Facebook	carinthia_AT	Carinthia, Austria	1	1	277	111	0	0
Meine Wollke		1805540373012923	Facebook	carinthia_AT	Carinthia, Austria	1	1	275	137	2	0
Betonmarketing Österreich		756487034437356	Facebook	carinthia_AT	Carinthia, Austria	1	1	275	55	5	0
Secundo e-consulting		169949250081672	Facebook	carinthia_AT	Carinthia, Austria	1	1	273	54	5	0
Essmeister Energie		246800448690069	Facebook	carinthia_AT	Carinthia, Austria	1	1	271	54	5	0
Die Mediax		2001350406563042	Facebook	carinthia_AT	Carinthia, Austria	2	1	270	48	7	0
Evoomo		575206726298527	Facebook	carinthia_AT	Carinthia, Austria	9	1	264	34	12	0
UN Women Nationalkomitee Österreich		110536775676265	Facebook	carinthia_AT	Carinthia, Austria	1	1	258	51	5	0
Agenda Austria		1383204731898658	Facebook	carinthia_AT	Carinthia, Austria	1	1	257	51	5	0
LAiMER		605709906203262	Facebook	carinthia_AT	Carinthia, Austria	3	1	255	106	3	0
Burnout Coach Iris Ruhs		344086969781668	Facebook	carinthia_AT	Carinthia, Austria	2	1	254	50	4	0
Open Doors Deutschland		182704598535	Facebook	carinthia_AT	Carinthia, Austria	3	1	253	50	0	0
aktien		106281086454653	Facebook	carinthia_AT	Carinthia, Austria	1	1	252	126	2	0
Business Circle		135567539831401	Facebook	carinthia_AT	Carinthia, Austria	3	1	252	47	6	0
Bettina Vollath		1557956091147559	Facebook	carinthia_AT	Carinthia, Austria	1	1	249	49	4	0
Schwechater Volkspartei - ÖVP		492548990876452	Facebook	carinthia_AT	Carinthia, Austria	1	1	249	49	4	0
Microsoft		145173538856276	Facebook	carinthia_AT	Carinthia, Austria	2	1	249	40	8	0
Socialists and Democrats Group in the European Parliament		127925800618165	Facebook	carinthia_AT	Carinthia, Austria	20	1	248	117	0	0
Die Innsbrucker Grünen		185943534768550	Facebook	carinthia_AT	Carinthia, Austria	3	1	245	45	6	0
OCHSNER Wärmepumpen GmbH		544839015887197	Facebook	carinthia_AT	Carinthia, Austria	2	1	245	35	10	0
HeartOut Clothing	Stefan Robinig	643819196045385	Facebook	carinthia_AT	Carinthia, Austria	4	1	243	0	24	0
ÖGB		179085222154531	Facebook	carinthia_AT	Carinthia, Austria	1	1	235	47	4	0
Lingokids		497983453648415	Facebook	carinthia_AT	Carinthia, Austria	4	1	228	104	0	0
CHAMOON		1933507923550646	Facebook	carinthia_AT	Carinthia, Austria	3	1	222	44	0	0
Arbeit&Wirtschaft Magazin		312134126182731	Facebook	carinthia_AT	Carinthia, Austria	1	1	220	44	4	0
Niko Swatek	NEOS Steiermark	424384408037670	Facebook	carinthia_AT	Carinthia, Austria	1	1	219	109	2	0
Fonds für Arbeit und Bildung der Diözese Graz - Seckau		1476966712534975	Facebook	carinthia_AT	Carinthia, Austria	1	1	212	42	4	0
Trans.INFO - transport, trucking and logistics news		503559333358179	Facebook	carinthia_AT	Carinthia, Austria	1	1	212	42	0	0
Radical Pantry		531069674026158	Facebook	carinthia_AT	Carinthia, Austria	11	1	209	43	1	0
Bürgerforum Europa		434134866705523	Facebook	carinthia_AT	Carinthia, Austria	1	1	209	41	20	4
Ammar Aldudak		1564971450276455	Facebook	carinthia_AT	Carinthia, Austria	5	1	203	23	10	0
DRH Lindersvold		512374155442078	Facebook	carinthia_AT	Carinthia, Austria	2	1	202	100	0	0
AGORA direct		169945546716343	Facebook	carinthia_AT	Carinthia, Austria	1	1	195	97	1	0
EuroCité		108751529173000	Facebook	carinthia_AT	Carinthia, Austria	1	1	189	37	3	0
Österreich braucht Unternehmergeist		467306733436197	Facebook	carinthia_AT	Carinthia, Austria	2	1	189	0	18	0
Salzburger Volkspartei		243190742384882	Facebook	carinthia_AT	Carinthia, Austria	1	1	183	36	3	0
Projekt Nystart - Auswandern nach Schweden		1746092269017360	Facebook	carinthia_AT	Carinthia, Austria	2	1	183	32	4	0
Politik muss wieder für die einfachen Menschen gemacht werden.		2060122567590322	Facebook	carinthia_AT	Carinthia, Austria	3	1	182	0	18	0
Revolution in Deutschland 1918-23		1837165769911040	Facebook	carinthia_AT	Carinthia, Austria	2	1	179	89	1	0
Windkraft Simonsfeld AG		107619719323827	Facebook	carinthia_AT	Carinthia, Austria	1	1	176	88	1	0
HPNBoost		265757817413808	Facebook	carinthia_AT	Carinthia, Austria	5	1	175	30	5	0
Proud of Our Pride		400548670511219	Facebook	carinthia_AT	Carinthia, Austria	26	1	174	38	0	0
VoteWatch Europe		355087424564148	Facebook	carinthia_AT	Carinthia, Austria	4	1	172	80	0	0
HUMAN BLOOD		429601160521937	Facebook	carinthia_AT	Carinthia, Austria	2	1	168	33	2	0
Der Kalif des Islam		255240542058292	Facebook	carinthia_AT	Carinthia, Austria	3	1	168	33	0	0
Guardian Weekly		64525551258	Facebook	carinthia_AT	Carinthia, Austria	5	1	159	65	0	0
On Your Sleeve	ON YOUR SLEEVE	247943179229148	Facebook	carinthia_AT	Carinthia, Austria	11	1	159	39	0	0
I Hate Bernie Sanders		105344429817836	Facebook	carinthia_AT	Carinthia, Austria	2	1	153	76	1	0
Affiliate Marekting 2.0		444372379633519	Facebook	carinthia_AT	Carinthia, Austria	1	1	146	29	2	0
WNeedTools		209089213361388	Facebook	carinthia_AT	Carinthia, Austria	3	1	139	55	1	0
GREENPEACE MAGAZIN		45872374946	Facebook	carinthia_AT	Carinthia, Austria	2	1	139	69	1	0
KirchenZeitung Diözese Linz		124506310958840	Facebook	carinthia_AT	Carinthia, Austria	1	1	138	27	2	0
St. Virgil Salzburg		128234327248000	Facebook	carinthia_AT	Carinthia, Austria	1	1	137	27	2	0
Hardox		750155358330748	Facebook	carinthia_AT	Carinthia, Austria	3	1	136	24	3	0
JUNOS Studierende	JUNOS Studierende	231166380411824	Facebook	carinthia_AT	Carinthia, Austria	1	1	135	27	2	0
Petra De Sutter		372776579930604	Facebook	carinthia_AT	Carinthia, Austria	1	1	134	67	0	0
Verein queerAltern - Wohnen Beratung Pflege für die LGBTI Community		247233858795413	Facebook	carinthia_AT	Carinthia, Austria	1	1	127	25	0	0
MuslimMindset		556631938057711	Facebook	carinthia_AT	Carinthia, Austria	3	1	126	25	0	0
Dinge, die man wissen sollte		132271536844834	Facebook	carinthia_AT	Carinthia, Austria	1	1	124	0	12	0
Versicherungsmakler Deus		746357665449907	Facebook	carinthia_AT	Carinthia, Austria	1	1	122	0	12	0
GRAS Linz - Grüne und Alternative Student_innen	GRAS Linz - Grüne und Alternative Student_innen	1738792296441731	Facebook	carinthia_AT	Carinthia, Austria	3	1	120	22	3	0
Yogastore Bali		2408169246085708	Facebook	carinthia_AT	Carinthia, Austria	1	1	119	23	2	0
Erzdiözese Wien		241915349197271	Facebook	carinthia_AT	Carinthia, Austria	1	1	118	23	2	0
I Love Crowdfunding Projects		112683756154005	Facebook	carinthia_AT	Carinthia, Austria	5	1	117	36	0	0
