recent_code	recent_label	first_day	last_day	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
rd1	Yesterday	2019-05-07	2019-05-07	LT	Lithuania	208	39	1359581	515222	4882	626
rd2	Last 2 days	2019-05-06	2019-05-07	LT	Lithuania	222	42	2793657	1054946	10249	1253
rd3	Last 3 days	2019-05-05	2019-05-07	LT	Lithuania	237	48	4134816	1593911	14083	2025
rd4	Last 4 days	2019-05-04	2019-05-07	LT	Lithuania	263	49	5550144	2152518	19564	2772
rd5	Last 5 days	2019-05-03	2019-05-07	LT	Lithuania	298	59	6974978	2712355	25016	3553
rd6	Last 6 days	2019-05-02	2019-05-07	LT	Lithuania	337	68	8774551	3311119	31070	4319
rw1	Last week	2019-05-01	2019-05-07	LT	Lithuania	363	72	10174241	3816633	36412	5046
rw2	Last 2 weeks	2019-04-24	2019-05-07	LT	Lithuania	560	108	16853994	6648345	62126	9562
rw3	Last 3 weeks	2019-04-17	2019-05-07	LT	Lithuania	674	137	18815346	7461047	66011	10210
rw4	Last 4 weeks	2019-04-10	2019-05-07	LT	Lithuania	952	208	19906726	7865658	70543	10736
rm1	Last month	2019-04-08	2019-05-07	LT	Lithuania	1024	234	20345298	7990645	72932	10922
rm2	Last 2 months	2019-03-09	2019-05-07	LT	Lithuania	1627	421	25604971	9907437	96875	13702
rm3	Last 3 months	2019-02-07	2019-05-07	LT	Lithuania	1836	471	26470225	10226741	100906	13970
rm6	Last 6 months	2019-01-01	2019-05-07	LT	Lithuania	1973	496	27718011	10553402	106751	14352
