advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	location_code_filter	location_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Nicos Tornaritis - Νίκος Τορναρίτης	Nicos Tornaritis - Νίκος Τορναρίτης	115653995162093	Facebook	lefkosa_district_CY	Lefkoşa District, Cyprus	6	1	106013	22122	478	0
Costas Mavrides - Κώστας Μαυρίδης	Costas Mavrides - Κώστας Μαυρίδης	197874087030899	Facebook	lefkosa_district_CY	Lefkoşa District, Cyprus	4	1	70761	15476	175	0
European Parliament	European Parliament	178362315106	Facebook	lefkosa_district_CY	Lefkoşa District, Cyprus	1	1	43843	21922	43	0
ΛΕΥΤΕΡΗΣ ΔΗΜΗΤΡΙΟΥ	Eleftherios Demetriou	609745702447737	Facebook	lefkosa_district_CY	Lefkoşa District, Cyprus	2	1	25163	5032	90	0
Δρ. ΕΛΕΝΗ ΘΕΟΧΑΡΟΥΣ - Dr. ELENI THEOCHAROUS	Δρ. ΕΛΕΝΗ ΘΕΟΧΑΡΟΥΣ - Dr. ELENI THEOCHAROUS	46620712083	Facebook	lefkosa_district_CY	Lefkoşa District, Cyprus	1	1	14273	2854	28	0
European Commission	European Commission	107898832590939	Facebook	lefkosa_district_CY	Lefkoşa District, Cyprus	2	1	10104	5052	25	5
Κίνημα Σοσιαλδημοκρατών ΕΔΕΚ	EDEK	489124984493054	Facebook	lefkosa_district_CY	Lefkoşa District, Cyprus	2	1	4759	951	94	0
Παναγιώτης Σεντώνας - Panayiotis Sentonas	Παναγιώτης Σεντώνας - Panayiotis Sentonas	436419753766608	Facebook	lefkosa_district_CY	Lefkoşa District, Cyprus	1	1	4693	2346	46	0
Marinos Mousiouttas	Andreas Nikitaras	306684270037168	Facebook	lefkosa_district_CY	Lefkoşa District, Cyprus	2	1	3607	606	116	0
Γραφείο Τύπου και Πληροφοριών - Press and Information Office	PIO Cyprus	620027974738907	Facebook	lefkosa_district_CY	Lefkoşa District, Cyprus	2	1	3442	688	68	0
European Committee of the Regions	European Committee of the Regions	527351247377965	Facebook	lefkosa_district_CY	Lefkoşa District, Cyprus	1	1	2733	1366	6	1
Συμμαχία Πολιτών	ΣΥΜΜΑΧΙΑ ΠΟΛΙΤΩΝ	470323203056530	Facebook	lefkosa_district_CY	Lefkoşa District, Cyprus	1	1	2384	477	47	0
Μεγάλη Ελλάδα / Megali Ellada	Eleftherios Demetriou	401156360637381	Facebook	lefkosa_district_CY	Lefkoşa District, Cyprus	1	1	2277	455	45	0
Λευτέρης Χριστοφόρου - Lefteris Christoforou	Λευτέρης Χριστοφόρου - Lefteris Christoforou	832972046731724	Facebook	lefkosa_district_CY	Lefkoşa District, Cyprus	1	1	1801	360	35	0
Socialists and Democrats Group in the European Parliament	Socialists and Democrats Group in the European Parliament	127925800618165	Facebook	lefkosa_district_CY	Lefkoşa District, Cyprus	2	1	665	162	2	0
Δημοκρατικό Κόμμα	Μανωλης Κυριακου	293704380825571	Facebook	lefkosa_district_CY	Lefkoşa District, Cyprus	1	1	476	0	47	0
Νικόλας Παπαδόπουλος	Μανωλης Κυριακου	998046016880140	Facebook	lefkosa_district_CY	Lefkoşa District, Cyprus	1	1	394	0	39	0
Τζώρτζια Κωνσταντίνου-Παναγιώτου / Georgia Constantinou-Panayiotou		Georgia Constantinou Panayiotou	270213387069072	Facebook	lefkosa_district_CY	Lefkoşa District, Cyprus	1	1	389	0	38	0
