advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	location_code_filter	location_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Costas Mavrides - Κώστας Μαυρίδης	Costas Mavrides - Κώστας Μαυρίδης	197874087030899	Facebook	famagusta_district_CY	Famagusta District, Cyprus	4	1	20596	4711	56	0
European Parliament	European Parliament	178362315106	Facebook	famagusta_district_CY	Famagusta District, Cyprus	1	1	18351	9176	18	0
ΛΕΥΤΕΡΗΣ ΔΗΜΗΤΡΙΟΥ	Eleftherios Demetriou	609745702447737	Facebook	famagusta_district_CY	Famagusta District, Cyprus	2	1	7557	1511	28	0
Δρ. ΕΛΕΝΗ ΘΕΟΧΑΡΟΥΣ - Dr. ELENI THEOCHAROUS	Δρ. ΕΛΕΝΗ ΘΕΟΧΑΡΟΥΣ - Dr. ELENI THEOCHAROUS	46620712083	Facebook	famagusta_district_CY	Famagusta District, Cyprus	1	1	3923	784	7	0
European Commission	European Commission	107898832590939	Facebook	famagusta_district_CY	Famagusta District, Cyprus	2	1	2068	1034	5	1
Μεγάλη Ελλάδα / Megali Ellada	Eleftherios Demetriou	401156360637381	Facebook	famagusta_district_CY	Famagusta District, Cyprus	1	1	760	152	15	0
Παναγιώτης Σεντώνας - Panayiotis Sentonas	Παναγιώτης Σεντώνας - Panayiotis Sentonas	436419753766608	Facebook	famagusta_district_CY	Famagusta District, Cyprus	1	1	759	379	7	0
Nicos Tornaritis - Νίκος Τορναρίτης	Nicos Tornaritis - Νίκος Τορναρίτης	115653995162093	Facebook	famagusta_district_CY	Famagusta District, Cyprus	2	1	676	283	16	0
Γραφείο Τύπου και Πληροφοριών - Press and Information Office	PIO Cyprus	620027974738907	Facebook	famagusta_district_CY	Famagusta District, Cyprus	2	1	669	133	13	0
European Committee of the Regions	European Committee of the Regions	527351247377965	Facebook	famagusta_district_CY	Famagusta District, Cyprus	1	1	556	278	1	0
Κίνημα Σοσιαλδημοκρατών ΕΔΕΚ	EDEK	489124984493054	Facebook	famagusta_district_CY	Famagusta District, Cyprus	2	1	521	104	10	0
Λευτέρης Χριστοφόρου - Lefteris Christoforou	Λευτέρης Χριστοφόρου - Lefteris Christoforou	832972046731724	Facebook	famagusta_district_CY	Famagusta District, Cyprus	1	1	452	90	8	0
Συμμαχία Πολιτών	ΣΥΜΜΑΧΙΑ ΠΟΛΙΤΩΝ	470323203056530	Facebook	famagusta_district_CY	Famagusta District, Cyprus	1	1	298	59	5	0
Marinos Mousiouttas	Andreas Nikitaras	306684270037168	Facebook	famagusta_district_CY	Famagusta District, Cyprus	2	1	140	20	5	0
Δημοκρατικό Κόμμα	Μανωλης Κυριακου	293704380825571	Facebook	famagusta_district_CY	Famagusta District, Cyprus	1	1	122	0	12	0
Socialists and Democrats Group in the European Parliament	Socialists and Democrats Group in the European Parliament	127925800618165	Facebook	famagusta_district_CY	Famagusta District, Cyprus	2	1	93	23	0	0
Τζώρτζια Κωνσταντίνου-Παναγιώτου / Georgia Constantinou-Panayiotou		Georgia Constantinou Panayiotou	270213387069072	Facebook	famagusta_district_CY	Famagusta District, Cyprus	1	1	68	0	6	0
Νικόλας Παπαδόπουλος	Μανωλης Κυριακου	998046016880140	Facebook	famagusta_district_CY	Famagusta District, Cyprus	1	1	39	0	3	0
