recent_code	recent_label	first_day	last_day	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
rd1	Yesterday	2019-05-19	2019-05-19	14189	1823	54463285	16658658	720957	37352
rd2	Last 2 days	2019-05-18	2019-05-19	15101	1898	116600378	37011483	1394467	84756
rd3	Last 3 days	2019-05-17	2019-05-19	15308	1925	147309844	46706308	1765995	107534
rd4	Last 4 days	2019-05-16	2019-05-19	15309	1925	147690319	46855966	1768308	107996
rd5	Last 5 days	2019-05-15	2019-05-19	15309	1925	147832465	46887457	1770036	108315
rd6	Last 6 days	2019-05-14	2019-05-19	15318	1926	147970611	46918674	1771621	108656
rw1	Last week	2019-05-13	2019-05-19	15361	1929	151658828	47286498	1821996	109848
rw2	Last 2 weeks	2019-05-06	2019-05-19	30591	2039	1143300568	136085862	7138601	265307
rw3	Last 3 weeks	2019-04-29	2019-05-19	31874	2039	1643999637	183144326	9351870	350358
rw4	Last 4 weeks	2019-04-22	2019-05-19	36317	2043	2223422518	237868019	12007016	449673
rm1	Last month	2019-04-20	2019-05-19	36377	2044	2335636277	248563746	12481299	458718
rm2	Last 2 months	2019-03-21	2019-05-19	38247	2066	2931607678	305978999	16062728	529801
rm3	Last 3 months	2019-02-19	2019-05-19	38247	2066	2931607678	305978999	16062728	529801
rm6	Last 6 months	2019-01-01	2019-05-19	38247	2066	2931607678	305978999	16062728	529801
