recent_code	recent_label	first_day	last_day	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
rd1	Yesterday	2019-05-26	2019-05-26	PT	Portugal	42	17	1123223	523714	7049	1320
rd2	Last 2 days	2019-05-25	2019-05-26	PT	Portugal	81	24	2968843	1353583	15241	2748
rd3	Last 3 days	2019-05-24	2019-05-26	PT	Portugal	125	32	6095900	2743166	24449	4291
rd4	Last 4 days	2019-05-23	2019-05-26	PT	Portugal	145	34	9273202	4209636	32159	5728
rd5	Last 5 days	2019-05-22	2019-05-26	PT	Portugal	171	35	11139358	5061035	36394	6699
rd6	Last 6 days	2019-05-21	2019-05-26	PT	Portugal	182	36	12831784	5800267	40226	7497
rw1	Last week	2019-05-20	2019-05-26	PT	Portugal	191	38	14195086	6424544	43534	8239
rw2	Last 2 weeks	2019-05-13	2019-05-26	PT	Portugal	199	39	15732631	7130460	49516	9499
rw3	Last 3 weeks	2019-05-06	2019-05-26	PT	Portugal	199	39	15732631	7130460	49516	9499
rw4	Last 4 weeks	2019-04-29	2019-05-26	PT	Portugal	199	39	15732631	7130460	49516	9499
rm1	Last month	2019-04-27	2019-05-26	PT	Portugal	199	39	15732631	7130460	49516	9499
rm2	Last 2 months	2019-03-28	2019-05-26	PT	Portugal	199	39	15732631	7130460	49516	9499
rm3	Last 3 months	2019-02-26	2019-05-26	PT	Portugal	199	39	15732631	7130460	49516	9499
rm6	Last 6 months	2019-01-01	2019-05-26	PT	Portugal	199	39	15732631	7130460	49516	9499
