advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	week_code_filter	week_label_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Platforma Obywatelska	KKW Koalicja Europejska PO PSL SLD .N Zieloni	102931488739	Facebook	w019	Week 19	PL	Poland	427	1	2997264	1155055	11769	2507
Gazeta Wyborcza		63563473556	Facebook	w019	Week 19	PL	Poland	159	1	2467337	719960	5863	743
Prawo i Sprawiedliwość	Komitet Wyborczy Prawo i Sprawiedliwość	157458232131	Facebook	w019	Week 19	PL	Poland	4	1	1868498	932753	2189	503
Krzysztof Hetman	Krzysztof Hetman	1607487699534202	Facebook	w019	Week 19	PL	Poland	31	1	1611071	591619	2812	755
Konfederacja KORWiN Braun Liroy Narodowcy	KWW Konfederacja KORWiN Braun Liroy Narodowcy	1971966879776579	Facebook	w019	Week 19	PL	Poland	57	1	1387495	608185	7818	1854
Razem	KKW Lewica Razem - Razem, Unia Pracy, RSS	430323810469014	Facebook	w019	Week 19	PL	Poland	39	1	1376001	486417	3766	875
Sven Zagała	KW Wiosna Roberta Biedronia	2215190752031133	Facebook	w019	Week 19	PL	Poland	42	1	1118427	365379	4493	1159
European Greens		141366725876424	Facebook	w019	Week 19	PL	Poland	6	1	878386	410578	3509	880
Radosław Sikorski	KKW Koalicja Europejska PO PSL SLD .N Zieloni	134214926657042	Facebook	w019	Week 19	PL	Poland	28	1	849455	308738	2143	511
Paweł Kobyliński - Poseł na Sejm RP, Kandydat do Parlamentu Europejskiego	Paweł Kobyliński, kandydat Koalicji Europejskiej do Europarlamentu	1576591379231457	Facebook	w019	Week 19	PL	Poland	21	1	807804	287730	1794	375
Dariusz Rosati	CommSense	238903929634988	Facebook	w019	Week 19	PL	Poland	27	1	668910	145695	1346	224
Anna Fotyga - Biuro Poselskie	KW Prawo i Sprawiedliwość	1467418970166506	Facebook	w019	Week 19	PL	Poland	21	1	663926	267868	2457	565
Joanna Skrzydlewska	Koalicyjny Komitet Wyborczy Koalicja Europejska PO PSL SLD .N Zieloni	274904002573727	Facebook	w019	Week 19	PL	Poland	5	1	661662	282083	1274	250
Na zdrowie		1120686571468330	Facebook	w019	Week 19	PL	Poland	2	1	599100	249627	347	139
Beata Mazurek		564941230235866	Facebook	w019	Week 19	PL	Poland	3	1	542855	208571	1711	342
Paweł Bejda	Koalicyjny Komitet Wyborczy Koalicja Europejska PO PSL SLD .N Zieloni	587380481330698	Facebook	w019	Week 19	PL	Poland	39	1	520758	119607	1052	146
Krzysztof Jurgiel	Overs sp. z o.o.	465990636788016	Facebook	w019	Week 19	PL	Poland	13	1	439706	193368	605	174
Jarosław Wałęsa	KKW Koalicja Europejska PO PSL SLD N Zieloni	433052760111334	Facebook	w019	Week 19	PL	Poland	21	1	434929	95720	989	182
Wiosna Biedronia	KW Wiosna Roberta Biedronia	2246647628925721	Facebook	w019	Week 19	PL	Poland	6	1	422421	152400	982	194
Janusz Lewandowski	KKW Koalicja Europejska PO PSL SLD N Zieloni	75571183641	Facebook	w019	Week 19	PL	Poland	15	1	411560	109223	968	236
Karol Karski	Komitet Wyborczy Prawa i Sprawiedliwości 	612725748801524	Facebook	w019	Week 19	PL	Poland	17	1	407834	163038	502	162
Jerzy Buzek	Koalicyjny Komitet Wyborczy Koalicja Europejska PO PSL SLD .N Zieloni	69153026654	Facebook	w019	Week 19	PL	Poland	14	1	386159	180150	711	130
Jan Olbrycht	Koalicyjny Komitet Wyborczy Koalicja Europejska PO PSL SLD .N Zieloni	153098244704447	Facebook	w019	Week 19	PL	Poland	29	1	385322	99949	918	111
Marek Balt	KKW Koalicja Europejska PO PSL SLD  .N Zieloni	398824790221548	Facebook	w019	Week 19	PL	Poland	16	1	378376	142768	890	198
Joanna Mucha	Joanna Mucha	308920973786	Facebook	w019	Week 19	PL	Poland	8	1	369955	109987	556	93
