advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	age_code_filter	age_label_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
CDU	CDU	78502295414	Facebook	25_34	25-34	4991	1	4357314	771083	159258	0
European Parliament	European Parliament	178362315106	Facebook	25_34	25-34	39	1	1676607	725161	9783	2901
Green Party of England and Wales	The Green Party of England and Wales	20995300784	Facebook	25_34	25-34	20	1	1502868	685951	4617	1394
Gouvernement	Gouvernement	392341217527576	Facebook	25_34	25-34	10	1	1307035	544198	1816	479
Avaaz	Avaaz	8340223883	Facebook	25_34	25-34	10	1	840797	335217	1071	242
Remain United	Centrum Campaign Ltd	388121018451293	Facebook	25_34	25-34	28	1	823907	307239	3241	762
FDP	FDP	21289227249	Facebook	25_34	25-34	840	1	812899	132432	23447	89
BÜNDNIS 90/DIE GRÜNEN	BÜNDNIS 90/DIE GRÜNEN	47217143218	Facebook	25_34	25-34	827	1	751742	127693	27440	67
Momentum Mozgalom	Momentum Mozgalom	592204747588011	Facebook	25_34	25-34	65	1	574647	247435	1270	437
Alianța 2020 USR PLUS	Alianța 2020 USR PLUS	621574984950400	Facebook	25_34	25-34	5	1	557309	231566	1292	279
INBOX	New Digital Media	369693523475596	Facebook	25_34	25-34	15	1	455570	199789	563	52
Massimiliano Santini	Massimiliano Ghelfi	389585871653842	Facebook	25_34	25-34	36	1	448544	163229	1496	113
Fidesz	Fidesz	9844779306	Facebook	25_34	25-34	18	1	419690	189969	1857	824
The Labour Party	The Labour Party	25749647410	Facebook	25_34	25-34	10	1	415067	184878	3240	1004
Beate Meinl-Reisinger	NEOS	243225039137708	Facebook	25_34	25-34	3	1	395257	197629	2104	498
Prawo i Sprawiedliwość	Komitet Wyborczy Prawo i Sprawiedliwość	157458232131	Facebook	25_34	25-34	5	1	377423	160008	772	154
Gyöngyösi Márton	Országgyűlés Hivatala Jobbik Frakció	781030738624077	Facebook	25_34	25-34	4	1	375898	161754	700	350
Vlaams Belang	Vlaams Belang	56605856504	Facebook	25_34	25-34	9	1	335092	164053	4852	1622
Konfederacja KORWiN Braun Liroy Narodowcy	KWW Konfederacja KORWiN Braun Liroy Narodowcy	1971966879776579	Facebook	25_34	25-34	19	1	319738	122441	1036	286
Wiosna Biedronia	KW Wiosna Roberta Biedronia	2246647628925721	Facebook	25_34	25-34	4	1	275729	112010	936	370
Liberal Democrats	the Liberal Democrats	5883973269	Facebook	25_34	25-34	271	1	263872	62803	7968	0
Matteo Salvini	Lega - Salvini Premier	252306033154	Facebook	25_34	25-34	1	1	232751	116376	116	23
Det Konservative Folkeparti	Det Konservative Folkeparti	39233495912	Facebook	25_34	25-34	24	1	209395	42836	2803	573
PSOE Aragón	PSOE Aragón	170970449608409	Facebook	25_34	25-34	363	1	206567	4507	18683	0
Harald Vilimsky	FPÖ	547597092025909	Facebook	25_34	25-34	4	1	206462	72939	380	63
Akcja Demokracja	Akcja Demokracja	277892342334350	Facebook	25_34	25-34	6	1	205059	82703	601	119
SPÖ	SPÖ	77393060080	Facebook	25_34	25-34	23	1	199091	69983	2882	507
Party of the European Left	Franziska Laskowski	160598290012	Facebook	25_34	25-34	1	1	189052	75621	188	37
Krzysztof Jurgiel	Overs sp. z o.o.	465990636788016	Facebook	25_34	25-34	6	1	180566	69985	406	76
European Commission	European Commission	107898832590939	Facebook	25_34	25-34	3	1	176120	81887	347	69
CSU (Christlich-Soziale Union)	CSU (Christlich-Soziale Union)	81386795687	Facebook	25_34	25-34	2	1	169138	68003	1690	331
CDH - Centre Démocrate Humaniste	CDH - Centre Démocrate Humaniste	189649407806135	Facebook	25_34	25-34	34	1	167559	51584	995	0
Change UK - The Independent Group	Change UK - The Independent Group	395151614382309	Facebook	25_34	25-34	17	1	164661	70447	3299	676
Demokratie in Europa - Diem25	Demokratie in Europa - DiEM25	267443093828699	Facebook	25_34	25-34	20	1	163080	57612	1276	152
Reacciona y Actúa	Actúa 	1916676245053161	Facebook	25_34	25-34	15	1	154727	45212	479	0
Conservatives	The Conservative Party	8807334278	Facebook	25_34	25-34	656	1	151464	28988	4686	20
Open Vld	Open Vld	53668151866	Facebook	25_34	25-34	28	1	151122	52131	1110	133
Cruel	In Progress	1949870255322243	Facebook	25_34	25-34	1	1	148800	59520	297	148
Werner Kogler	Die Grünen	133612666671985	Facebook	25_34	25-34	2	1	148529	57021	1484	297
Podemos Comunidad de Madrid	Unidas Podemos Izquierda Unida Madrid en Pie	261762710669900	Facebook	25_34	25-34	1	1	148366	59346	1483	296
Tom Van Grieken	Vlaams Belang	584806884924010	Facebook	25_34	25-34	5	1	145413	59902	2001	395
Peter Mertens	PVDA	236485149843971	Facebook	25_34	25-34	8	1	137844	62598	733	134
Carlo Calenda	Siamo Europei	131887960826264	Facebook	25_34	25-34	1	1	134672	53869	134	26
Οι Έλληνες	In Progress	2273336566260671	Facebook	25_34	25-34	2	1	129903	56200	386	193
Kostas Dervos	Kostas Dervos	1970779819866623	Facebook	25_34	25-34	11	1	128217	43738	244	0
Elżbieta Łukacijewska	EPL	271399596270991	Facebook	25_34	25-34	10	1	128204	46136	531	96
ChristenUnie	ChristenUnie	211661062254003	Facebook	25_34	25-34	20	1	124644	24448	480	0
Θοδωρής Ζαγοράκης / Thodoris Zagorakis	Θοδωρής Ζαγοράκης / Thodoris Zagorakis	235332330007800	Facebook	25_34	25-34	1	1	123452	49381	123	24
Jobbik Magyarországért Mozgalom	Országgyűlés Hivatala Jobbik Frakció	287770891404	Facebook	25_34	25-34	3	1	122715	52140	303	151
SPOLU - občianska demokracia	SPOLU - občianska demokracia	1057020590987528	Facebook	25_34	25-34	10	1	121736	38566	423	0
Ομάδα Μνήμης	In Progress	230319800467420	Facebook	25_34	25-34	1	1	121266	48506	242	121
Valter Flego	IDS - Istarski Demokratski Sabor	441675022557503	Facebook	25_34	25-34	7	1	118320	43428	272	22
VVD	VVD	121264564551002	Facebook	25_34	25-34	5	1	117367	55610	401	69
USR Maramureș	USR Maramureș	1750327845246533	Facebook	25_34	25-34	1	1	108820	43528	228	45
CD&V	CD&V	52997544531	Facebook	25_34	25-34	4	1	107076	45977	554	105
Γιώργος Καμίνης	Georgios Kaminis	186974508081005	Facebook	25_34	25-34	6	1	106861	33699	365	103
Partido Socialista de la Región de Murcia (PSRM-PSOE)	Partido Socialista de la Región de Murcia 	154616807805	Facebook	25_34	25-34	20	1	106492	24381	464	0
