advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	age_code_filter	age_label_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
European Parliament	European Parliament	178362315106	Facebook	65_	65+	39	1	1509531	656425	8401	2329
Fidesz	Fidesz	9844779306	Facebook	65_	65+	18	1	547113	249343	2591	1148
Conservatives	The Conservative Party	8807334278	Facebook	65_	65+	724	1	485220	71575	26094	55
Gouvernement	Gouvernement	392341217527576	Facebook	65_	65+	10	1	368785	93992	722	0
Det Konservative Folkeparti	Det Konservative Folkeparti	39233495912	Facebook	65_	65+	34	1	311051	67757	4047	813
Momentum Mozgalom	Momentum Mozgalom	592204747588011	Facebook	65_	65+	54	1	259156	85649	727	213
CDU	CDU	78502295414	Facebook	65_	65+	4256	1	255847	46635	8862	0
Moderaterna	Moderaterna	7719591155	Facebook	65_	65+	20	1	177850	65430	2320	581
Avaaz	Avaaz	8340223883	Facebook	65_	65+	10	1	139954	55718	328	96
Caterina Avanza	Partito Democratico - Caterina Avanza	623847078064207	Facebook	65_	65+	3	1	132950	66475	663	132
PSOE Aragón	PSOE Aragón	170970449608409	Facebook	65_	65+	319	1	128879	520	12565	0
Konfederacja KORWiN Braun Liroy Narodowcy	KWW Konfederacja KORWiN Braun Liroy Narodowcy	1971966879776579	Facebook	65_	65+	19	1	127963	51226	448	120
European Commission	European Commission	107898832590939	Facebook	65_	65+	3	1	118997	49268	143	28
The Labour Party	The Labour Party	25749647410	Facebook	65_	65+	10	1	116921	50147	1026	313
Giorgia Meloni	Fratelli d'Italia	38919827644	Facebook	65_	65+	6	1	106885	42612	386	67
Vlaams Belang	Vlaams Belang	56605856504	Facebook	65_	65+	9	1	105504	52628	1383	525
FDP	FDP	21289227249	Facebook	65_	65+	748	1	101825	15239	3765	8
Jakab Péter	Országgyűlés Hivatala Jobbik Frakció	781150971947219	Facebook	65_	65+	3	1	90226	45113	256	121
Fabrizio Ghera	Fabrizio Ghera	1803487999879591	Facebook	65_	65+	10	1	90164	36045	427	56
CSU (Christlich-Soziale Union)	CSU (Christlich-Soziale Union)	81386795687	Facebook	65_	65+	3	1	89304	35751	892	178
Socialdemokratiet	Socialdemokratiet	41459763029	Facebook	65_	65+	9	1	72025	16536	675	161
Open Vld	Open Vld	53668151866	Facebook	65_	65+	29	1	69993	22439	568	74
Matteo Salvini	Lega - Salvini Premier	252306033154	Facebook	65_	65+	1	1	67419	33710	33	6
Οι Έλληνες	In Progress	2273336566260671	Facebook	65_	65+	2	1	67368	28355	176	88
Parti Populaire - Le Peuple	Parti Populaire - Le Peuple	482811111771571	Facebook	65_	65+	3	1	67318	25307	615	118
SPÖ	SPÖ	77393060080	Facebook	65_	65+	25	1	64950	21585	668	119
Cseh Katalin - Momentum	Momentum Mozgalom	682448271826776	Facebook	65_	65+	6	1	64859	15816	330	73
Achille Variati	Achille Variati	478212418874107	Facebook	65_	65+	6	1	62488	12497	155	0
Tom Van Grieken	Vlaams Belang	584806884924010	Facebook	65_	65+	5	1	60694	24666	854	166
Deputati PD	Deputati PD	104652392900508	Facebook	65_	65+	5	1	59596	14026	173	0
Dr. Lukács László György	Országgyűlés Hivatala Jobbik Frakció	490006464353222	Facebook	65_	65+	1	1	59567	29784	184	92
Massimiliano Santini	Massimiliano Ghelfi	389585871653842	Facebook	65_	65+	24	1	58012	18348	321	48
Partidul Naţional Liberal	Future Innovation 	181375448581167	Facebook	65_	65+	4	1	57408	23879	79	27
Demokratikus Koalíció	Demokratikus Koalíció	169599166463839	Facebook	65_	65+	8	1	56518	16544	245	64
Luciano Nobili	Luciano Nobili	406187203142799	Facebook	65_	65+	5	1	56445	12592	146	0
Carmine Spiaggia	Carmine Spiaggia	425820797979047	Facebook	65_	65+	1	1	56243	28121	140	28
Federica Picchi	Federica Picchi	362494797700891	Facebook	65_	65+	7	1	55299	11017	223	0
Liberal Democrats	the Liberal Democrats	5883973269	Facebook	65_	65+	264	1	54607	10615	2446	0
Mette Abildgaard	Mette Abildgaard	309867232515766	Facebook	65_	65+	13	1	54512	13095	430	127
BÜNDNIS 90/DIE GRÜNEN	BÜNDNIS 90/DIE GRÜNEN	47217143218	Facebook	65_	65+	655	1	52267	9851	1564	6
Párbeszéd Magyarországért	Párbeszéd Magyarországért	113684438795574	Facebook	65_	65+	5	1	51395	16623	125	25
Dobrev Klára	Demokratikus Koalíció	1880809845328535	Facebook	65_	65+	21	1	49547	11946	260	52
Daniela Santanchè	Daniela Garnero Santanchè	56413702888	Facebook	65_	65+	5	1	48669	17734	222	25
Partido Socialista de la Región de Murcia (PSRM-PSOE)	Partido Socialista de la Región de Murcia 	154616807805	Facebook	65_	65+	11	1	48504	10882	305	26
Corradino Mineo	Danila Tarantino	429319385345	Facebook	65_	65+	10	1	45344	12098	249	0
INBOX	New Digital Media	369693523475596	Facebook	65_	65+	10	1	45315	16625	83	3
Michela Giuffrida	Michela Giuffrida	656848937718109	Facebook	65_	65+	8	1	44868	8961	199	13
Ρένα Δούρου	Ρένα Δούρου	225197477683663	Facebook	65_	65+	43	1	44615	8842	616	0
Kostas Dervos	Kostas Dervos	1970779819866623	Facebook	65_	65+	10	1	42993	9587	126	0
Polski Klub Ekologiczny Koło Miejskie w Gliwicach	Maria Wanda Staniszewska	291839444209363	Facebook	65_	65+	5	1	41229	9884	95	16
Europäisches Parlament - Verbindungsbüro in Deutschland	Europäisches Parlament - Verbindungsbüro in Deutschland	294494163510	Facebook	65_	65+	2	1	40957	20479	188	89
ChristenUnie	ChristenUnie	211661062254003	Facebook	65_	65+	20	1	39769	7878	115	0
Jobbik Magyarországért Mozgalom	Országgyűlés Hivatala Jobbik Frakció	287770891404	Facebook	65_	65+	2	1	39357	19679	243	121
Podemos Comunidad de Madrid	Unidas Podemos Izquierda Unida Madrid en Pie	261762710669900	Facebook	65_	65+	1	1	38869	15547	388	77
Kristdemokraterna	Kristdemokraterna	115198178364	Facebook	65_	65+	4	1	38800	8326	451	103
Più Europa Vercelli	Carloalberto Polidori	527235457776008	Facebook	65_	65+	5	1	38564	7713	424	69
Greens/EFA in the European Parliament	Greens/EFA in the European Parliament	150527751674751	Facebook	65_	65+	4	1	38157	11237	87	0
ΣΥ.ΡΙΖ.Α.	ΣΥ.ΡΙΖ.Α.	31895177275	Facebook	65_	65+	1	1	36953	14781	73	36
Deirdre Clune MEP	Deirdre Clune MEP	516116248507364	Facebook	65_	65+	6	1	34485	7231	358	63
ALDE - Partidul Alianta Liberalilor si Democratilor	EvolveDreamSoft	1445317929104549	Facebook	65_	65+	2	1	34322	17161	53	26
Isabella De Monte	Walter Godina - Mandatario Elettorale di Isabella De Monte	152661171597544	Facebook	65_	65+	9	1	34204	9478	322	0
Nikos Papandreou	Nikos Papandreou	2245032148843299	Facebook	65_	65+	4	1	33997	6999	79	0
Demokratie in Europa - Diem25	Demokratie in Europa - DiEM25	267443093828699	Facebook	65_	65+	14	1	32971	14080	243	25
In Progress	In Progress	254883792041627	Facebook	65_	65+	1	1	32434	12973	64	32
NÁRODNÁ KOALÍCIA	dtp media	145677979100505	Facebook	65_	65+	11	1	32119	6428	140	0
KUKIZ'15	Komitet Wyborczy Wyborców Kukiz'15	328170794051845	Facebook	65_	65+	20	1	31650	10190	151	18
Pavel Svoboda	Křesťanská a demokratická unie - Československá strana lidová	1451376028412024	Facebook	65_	65+	35	1	31238	7635	107	26
Compromís	Compromís	194053080624605	Facebook	65_	65+	49	1	30976	6524	296	21
38 Degrees	38 Degrees	200006375787	Facebook	65_	65+	7	1	29807	8658	173	0
Peter Mertens	PVDA	236485149843971	Facebook	65_	65+	7	1	29522	12939	134	24
