age_code	age_label	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
13_17	13-17	900	289	1077721	338072	12171	266
18_24	18-24	13598	1800	33940208	10590471	427963	21187
25_34	25-34	13834	1879	34915771	11104310	423269	23366
35_44	35-44	13732	1876	25931098	8370369	297576	19249
45_54	45-54	13478	1829	22401410	7139316	262490	18642
55_64	55-64	12708	1762	18358784	5811841	211892	16510
65_	65+	11942	1646	12422688	3834619	147963	11928
