recent_code	recent_label	first_day	last_day	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
rd1	Yesterday	2019-05-07	2019-05-07	FI	Finland	437	89	789644	246685	11827	890
rd2	Last 2 days	2019-05-06	2019-05-07	FI	Finland	491	97	1630206	506446	25338	1794
rd3	Last 3 days	2019-05-05	2019-05-07	FI	Finland	525	106	2491885	779100	37235	2775
rd4	Last 4 days	2019-05-04	2019-05-07	FI	Finland	553	111	4094164	1405488	53968	6630
rd5	Last 5 days	2019-05-03	2019-05-07	FI	Finland	613	118	5315522	1883148	66425	9736
rd6	Last 6 days	2019-05-02	2019-05-07	FI	Finland	637	121	6470347	2337064	77024	12795
rw1	Last week	2019-05-01	2019-05-07	FI	Finland	674	130	7424476	2745532	85996	15743
rw2	Last 2 weeks	2019-04-24	2019-05-07	FI	Finland	936	183	11700253	4503380	126804	28366
rw3	Last 3 weeks	2019-04-17	2019-05-07	FI	Finland	1101	230	13136354	4984206	144539	31220
rw4	Last 4 weeks	2019-04-10	2019-05-07	FI	Finland	2117	530	24555584	8775310	251126	49028
rm1	Last month	2019-04-08	2019-05-07	FI	Finland	2476	597	28892337	10151182	294949	54604
rm2	Last 2 months	2019-03-09	2019-05-07	FI	Finland	3753	933	50725173	17990728	503464	86402
rm3	Last 3 months	2019-02-07	2019-05-07	FI	Finland	4076	984	52847512	18683927	525083	88400
rm6	Last 6 months	2019-01-01	2019-05-07	FI	Finland	4265	1005	54382835	19221833	540039	89779
