country_code_filter	country_name_filter	region_code	region_name	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
ES	Spain	cataluna	Cataluña	9457	1405	59171059	22746959	376164	56753
ES	Spain	andalusia	Andalusia	9827	1300	55081455	19205074	388527	44290
ES	Spain	comunidad_valenciana	Comunidad Valenciana	9326	1242	41628574	15684750	241948	37781
ES	Spain	comunidad_de_madrid	Comunidad de Madrid	8734	1278	29069751	11184634	183703	27242
ES	Spain	islas_canarias	Islas Canarias	7469	1124	16240539	5255187	97825	8326
ES	Spain	aragon	Aragón	10886	976	15145851	3387901	466422	4325
ES	Spain	castilla_y_leon	Castilla y Leon	9267	1021	14302829	4331878	185367	9484
ES	Spain	galicia	Galicia	7615	1025	14180415	4509264	134281	9247
ES	Spain	balearic_islands	Balearic Islands	6744	1018	9124504	2729989	56941	4869
ES	Spain	castilla_la_mancha	Castilla-La Mancha	7892	995	6381307	2005952	66018	4110
ES	Spain	extremadura	Extremadura	6139	890	5428201	1646657	55521	2394
ES	Spain	pais_vasco	País Vasco	5809	1003	5281422	1694411	44091	3268
ES	Spain	region_of_murcia	Region of Murcia	6749	1005	4110440	1188690	30503	1559
ES	Spain	principality_of_asturias	Principality of Asturias	6484	909	3946253	1319289	28582	2624
ES	Spain	la_rioja	La Rioja	5649	880	2246210	604526	23065	842
ES	Spain	navarra	Navarra	6149	831	1558155	472434	17865	1601
ES	Spain	cantabria	Cantabria	5902	846	1185162	298357	16023	520
