advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	audience_code_filter	audience_label_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
European Commission	European Commission	107898832590939	Facebook	m13_17	male (13-17)	40	1	786055	363529	1094	307
European Parliament	European Parliament	178362315106	Facebook	m13_17	male (13-17)	62	1	525781	215850	2051	439
Ζωή Κωνσταντοπούλου - Zoe Konstantopoulou	Πλεύση Ελευθερίας	1489639131352219	Facebook	m13_17	male (13-17)	37	1	232605	90613	374	18
Parlament Europejski - Biuro we Wrocławiu	Parlament Europejski - Biuro we Wrocławiu	426735034064813	Facebook	m13_17	male (13-17)	1	1	169876	67950	395	79
CDH - Centre Démocrate Humaniste	CDH - Centre Démocrate Humaniste	189649407806135	Facebook	m13_17	male (13-17)	10	1	168325	69226	317	149
Răcnetul Oamenilor Sătui	IOANITA MARIN-IOANA	165452684079944	Facebook	m13_17	male (13-17)	5	1	156324	77798	70	21
Harald Vilimsky	FPÖ	547597092025909	Facebook	m13_17	male (13-17)	37	1	137612	56136	1689	340
MR - Mouvement Réformateur	MR - Mouvement Réformateur	236330169511	Facebook	m13_17	male (13-17)	235	1	133579	32990	2327	125
1Europa	Peter Glawischnig	320389701908367	Facebook	m13_17	male (13-17)	23	1	127504	44137	1090	197
Jusos in der SPD	Jusos in der SPD	40415227476	Facebook	m13_17	male (13-17)	12	1	107572	27568	1192	210
European Greens	European Greens	141366725876424	Facebook	m13_17	male (13-17)	6	1	107108	48058	993	205
Sophie Løhde	Sophie Løhde	699619700116377	Facebook	m13_17	male (13-17)	18	1	105448	31788	1338	331
SPÖ	SPÖ	77393060080	Facebook	m13_17	male (13-17)	67	1	92547	37681	782	200
Landeszentrale für politische Bildung Thüringen	Landeszentrale für politische Bildung Thüringen	215460201802938	Facebook	m13_17	male (13-17)	32	1	73981	19787	1070	190
Matteo Salvini	Lega - Salvini Premier	252306033154	Facebook	m13_17	male (13-17)	10	1	73268	34934	422	84
Stefano Passarini	Stefano Passarini	573828172688916	Facebook	m13_17	male (13-17)	24	1	73010	15192	570	0
Cogito	Cogito	2059332547662115	Facebook	m13_17	male (13-17)	6	1	66586	23818	112	3
Stadt Wien	Stadt Wien	110971788921077	Facebook	m13_17	male (13-17)	5	1	65559	23034	250	28
Die Grünen	Die Grünen	21759893033	Facebook	m13_17	male (13-17)	28	1	64911	27843	784	221
Jordens Vänner / Friends of the Earth Sweden	Jordens Vänner / Friends of the Earth Sweden	207890945895422	Facebook	m13_17	male (13-17)	7	1	64876	28041	150	31
ΣΥ.ΡΙΖ.Α.	ΣΥ.ΡΙΖ.Α.	31895177275	Facebook	m13_17	male (13-17)	7	1	64297	30575	371	86
Cristian Bușoi	Rus Alexandra	112332998808842	Facebook	m13_17	male (13-17)	26	1	64271	30401	73	18
Alternativet	Alternativet	676061179094769	Facebook	m13_17	male (13-17)	5	1	57635	23244	512	180
Senatsverwaltung für Kultur und Europa		247450562347746	Facebook	m13_17	male (13-17)	3	1	57476	24398	121	50
ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ	ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ	82362291274	Facebook	m13_17	male (13-17)	6	1	57158	26078	122	31
