advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	audience_code_filter	audience_label_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
European Parliament	European Parliament	178362315106	Facebook	m65_	male (65+)	399	1	4038843	1811613	20780	4701
Fidesz	Fidesz	9844779306	Facebook	m65_	male (65+)	120	1	1383970	611447	7245	3088
Moderaterna	Moderaterna	7719591155	Facebook	m65_	male (65+)	131	1	872941	333645	18628	4500
Change UK - The Independent Group	Change UK - The Independent Group	395151614382309	Facebook	m65_	male (65+)	160	1	797549	325468	10073	2635
Ciudadanos	Ciudadanos	74078667754	Facebook	m65_	male (65+)	120	1	684381	312413	6496	1937
SPD	SPD	47930567748	Facebook	m65_	male (65+)	1949	1	661942	141935	19578	329
Silvio Berlusconi	Silvio Berlusconi	116716651695782	Facebook	m65_	male (65+)	68	1	623296	258636	3431	746
Demokratikus Koalíció	Demokratikus Koalíció	169599166463839	Facebook	m65_	male (65+)	133	1	606013	179380	2413	682
Avaaz	Avaaz	8340223883	Facebook	m65_	male (65+)	110	1	558017	244375	2870	776
MoVimento 5 Stelle	MoVimento 5 Stelle	174457180812	Facebook	m65_	male (65+)	10	1	550994	262000	2680	586
Conservatives	The Conservative Party	8807334278	Facebook	m65_	male (65+)	1345	1	545417	110262	20851	481
Liberal Democrats	the Liberal Democrats	5883973269	Facebook	m65_	male (65+)	2118	1	532917	135267	12789	868
Giorgia Meloni	Fratelli d'Italia	38919827644	Facebook	m65_	male (65+)	21	1	530122	226166	3222	733
Make.org	Make.org	122037308191612	Facebook	m65_	male (65+)	1	1	499999	200000	4999	1000
BÜNDNIS 90/DIE GRÜNEN	BÜNDNIS 90/DIE GRÜNEN	47217143218	Facebook	m65_	male (65+)	4116	1	488499	133757	6724	325
Open Vld	Open Vld	53668151866	Facebook	m65_	male (65+)	113	1	483703	204797	5170	1315
Sverigedemokraterna	Sverigedemokraterna	676246449160270	Facebook	m65_	male (65+)	39	1	466939	200017	5979	1906
CDU	CDU	78502295414	Facebook	m65_	male (65+)	11821	1	456591	99743	14801	41
Gouvernement	Gouvernement	392341217527576	Facebook	m65_	male (65+)	14	1	429224	160565	2036	532
Kristdemokraterna	Kristdemokraterna	115198178364	Facebook	m65_	male (65+)	120	1	419993	142328	7603	2406
Momentum Mozgalom	Momentum Mozgalom	592204747588011	Facebook	m65_	male (65+)	112	1	369307	154049	1222	526
Jobbik Magyarországért Mozgalom	Jobbik Magyarországért Mozgalom	287770891404	Facebook	m65_	male (65+)	19	1	364197	166535	1154	528
European Free Alliance	European Free Alliance	46708306425	Facebook	m65_	male (65+)	30	1	355029	139182	3131	679
MSZP	MSZP	115388925185513	Facebook	m65_	male (65+)	40	1	350871	144146	1106	449
Caterina Cerroni	Caterina Cerroni	1618719834925589	Facebook	m65_	male (65+)	20	1	341239	159677	2347	478
