advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	audience_code_filter	audience_label_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
European Parliament	European Parliament	178362315106	Facebook	m18_24	male (18-24)	420	1	9853157	4543998	62926	14732
European Commission	European Commission	107898832590939	Facebook	m18_24	male (18-24)	92	1	8135778	3789233	26611	6570
BÜNDNIS 90/DIE GRÜNEN	BÜNDNIS 90/DIE GRÜNEN	47217143218	Facebook	m18_24	male (18-24)	5035	1	5565613	1556560	78704	3538
CDU	CDU	78502295414	Facebook	m18_24	male (18-24)	14022	1	5560212	1175707	188108	472
European Greens	European Greens	141366725876424	Facebook	m18_24	male (18-24)	81	1	4559922	2071369	35763	8109
Konfederacja KORWiN Braun Liroy Narodowcy	KWW Konfederacja KORWiN Braun Liroy Narodowcy	1971966879776579	Facebook	m18_24	male (18-24)	59	1	3261237	1424628	9298	2300
Liberal Democrats	the Liberal Democrats	5883973269	Facebook	m18_24	male (18-24)	2196	1	3107968	744317	84292	2855
Fidesz	Fidesz	9844779306	Facebook	m18_24	male (18-24)	104	1	2906251	1250880	14401	6150
EPP - European People's Party	EPP - European People's Party	48034275355	Facebook	m18_24	male (18-24)	286	1	2835049	1164098	12922	2425
Avaaz	Avaaz	8340223883	Facebook	m18_24	male (18-24)	117	1	2807786	1210504	15784	3895
FDP	FDP	21289227249	Facebook	m18_24	male (18-24)	1166	1	2762187	849193	31844	1315
SPD	SPD	47930567748	Facebook	m18_24	male (18-24)	2291	1	2603170	625957	64282	1161
Best For Britain	Best for Britain	1863944713844924	Facebook	m18_24	male (18-24)	26	1	2521214	1141165	18041	4214
Gouvernement	Gouvernement	392341217527576	Facebook	m18_24	male (18-24)	12	1	2479236	1130547	13581	2931
Green Party of England and Wales	The Green Party of England and Wales	20995300784	Facebook	m18_24	male (18-24)	60	1	2438137	1075834	16089	3571
Valmyndigheten	Valmyndigheten	1737852076287450	Facebook	m18_24	male (18-24)	59	1	2010789	885828	11546	2822
Demokratie in Europa - Diem25	Demokratie in Europa - DiEM25	267443093828699	Facebook	m18_24	male (18-24)	85	1	1831437	737937	7800	2334
Momentum Mozgalom	Momentum Mozgalom	592204747588011	Facebook	m18_24	male (18-24)	134	1	1748952	773159	4348	1827
Open Vld	Open Vld	53668151866	Facebook	m18_24	male (18-24)	96	1	1709799	703237	17518	4215
Vlaams Belang	Vlaams Belang	56605856504	Facebook	m18_24	male (18-24)	36	1	1677576	722734	26091	6847
Change UK - The Independent Group	Change UK - The Independent Group	395151614382309	Facebook	m18_24	male (18-24)	218	1	1542295	635288	24355	5789
Miljöpartiet de gröna	Miljöpartiet de gröna	34780126150	Facebook	m18_24	male (18-24)	44	1	1497612	673649	18365	4184
Tom Van Grieken	Vlaams Belang	584806884924010	Facebook	m18_24	male (18-24)	42	1	1420114	617448	18368	5619
Moderaterna	Moderaterna	7719591155	Facebook	m18_24	male (18-24)	133	1	1334936	535440	18670	4548
MoVimento 5 Stelle	MoVimento 5 Stelle	174457180812	Facebook	m18_24	male (18-24)	14	1	1271258	580703	4956	1252
Nicola Beer	FDP	206866712830769	Facebook	m18_24	male (18-24)	91	1	1200958	495134	11418	2541
