audience_code	audience_label	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
m25_34	male (25-34)	76305	6301	299752559	110594834	2396848	374856
m18_24	male (18-24)	73016	6102	262481065	97274468	2092033	327143
f18_24	female (18-24)	74064	6114	246197460	91225528	2020379	299861
f25_34	female (25-34)	77577	6324	237306963	87448287	2074327	313433
m35_44	male (35-44)	74804	6270	212165619	77517329	1653401	264881
f35_44	female (35-44)	76498	6306	181482711	66240439	1548890	240771
m45_54	male (45-54)	72679	6149	169018027	60791128	1400470	222788
f45_54	female (45-54)	74227	6194	160408993	57933109	1369559	214691
f55_64	female (55-64)	70969	6020	142398661	51037691	1181745	194975
m55_64	male (55-64)	69587	5990	113919899	40337949	985835	158021
f65_	female (65+)	65705	5688	95448334	33573149	865097	151312
m65_	male (65+)	64539	5648	74604520	26030395	685313	113550
f13_17	female (13-17)	6001	1129	10041013	3581605	65114	8307
m13_17	male (13-17)	5995	1134	8543103	3049560	59054	7465
u35_44	unknown (35-44)	45238	5637	3458166	1264368	29882	5386
u25_34	unknown (25-34)	42392	5403	2683427	987523	22832	4121
u45_54	unknown (45-54)	38565	5305	1735005	620978	17307	3093
u55_64	unknown (55-64)	30523	4844	935370	325723	10923	1862
u65_	unknown (65+)	28944	4585	865068	296075	10205	1672
u18_24	unknown (18-24)	28943	4453	804220	289489	7630	1266
u13_17	unknown (13-17)	2622	869	33542	11358	279	34
