advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	audience_code_filter	audience_label_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
European Commission	European Commission	107898832590939	Facebook	u13_17	unknown (13-17)	34	1	2941	1365	5	1
European Parliament	European Parliament	178362315106	Facebook	u13_17	unknown (13-17)	85	1	1107	462	4	1
Sophie Løhde	Sophie Løhde	699619700116377	Facebook	u13_17	unknown (13-17)	17	1	1037	297	11	2
Jordens Vänner / Friends of the Earth Sweden	Jordens Vänner / Friends of the Earth Sweden	207890945895422	Facebook	u13_17	unknown (13-17)	7	1	845	317	1	0
CDH - Centre Démocrate Humaniste	CDH - Centre Démocrate Humaniste	189649407806135	Facebook	u13_17	unknown (13-17)	11	1	725	296	1	0
European Greens	European Greens	141366725876424	Facebook	u13_17	unknown (13-17)	26	1	703	307	6	1
SF Ungdom	SF Ungdom	113555862534	Facebook	u13_17	unknown (13-17)	2	1	591	247	0	0
TENI - Transgender Equality Network Ireland	TENI - Transgender Equality Network Ireland	182348645122723	Facebook	u13_17	unknown (13-17)	21	1	528	119	9	0
Cogito	Cogito	2059332547662115	Facebook	u13_17	unknown (13-17)	6	1	480	178	0	0
Trades Union Congress (TUC)	Trades Union Congress	124295177616347	Facebook	u13_17	unknown (13-17)	1	1	445	222	0	0
Parlament Europejski - Biuro we Wrocławiu	Parlament Europejski - Biuro we Wrocławiu	426735034064813	Facebook	u13_17	unknown (13-17)	1	1	441	176	1	0
Greens/EFA in the European Parliament	Greens/EFA in the European Parliament	150527751674751	Facebook	u13_17	unknown (13-17)	9	1	432	172	0	0
Global Optimism	Global Optimism	2062802910474026	Facebook	u13_17	unknown (13-17)	2	1	376	94	4	0
Jusos in der SPD	Jusos in der SPD	40415227476	Facebook	u13_17	unknown (13-17)	11	1	375	96	3	0
MR - Mouvement Réformateur	MR - Mouvement Réformateur	236330169511	Facebook	u13_17	unknown (13-17)	48	1	374	98	7	0
Ζωή Κωνσταντοπούλου - Zoe Konstantopoulou	Πλεύση Ελευθερίας	1489639131352219	Facebook	u13_17	unknown (13-17)	26	1	366	148	0	0
1Europa	Peter Glawischnig	320389701908367	Facebook	u13_17	unknown (13-17)	19	1	351	117	3	0
Landeszentrale für politische Bildung Thüringen	Landeszentrale für politische Bildung Thüringen	215460201802938	Facebook	u13_17	unknown (13-17)	28	1	347	91	4	0
Senatsverwaltung für Kultur und Europa		247450562347746	Facebook	u13_17	unknown (13-17)	3	1	315	137	0	0
SPÖ	SPÖ	77393060080	Facebook	u13_17	unknown (13-17)	37	1	313	129	2	0
Harald Vilimsky	FPÖ	547597092025909	Facebook	u13_17	unknown (13-17)	23	1	281	115	3	0
déi jonk gréng	Déi jonk gréng	197451906960613	Facebook	u13_17	unknown (13-17)	11	1	278	96	0	0
Stadt Wien	Stadt Wien	110971788921077	Facebook	u13_17	unknown (13-17)	8	1	274	87	0	0
3F - Danmarks Stærkeste Fagforening	3F - Danmarks Stærkeste Fagforening	109012749124622	Facebook	u13_17	unknown (13-17)	2	1	269	3	3	0
CDU	CDU	78502295414	Facebook	u13_17	unknown (13-17)	44	1	268	28	16	0
Grüne Jugend - Grünalternative Jugend	Grüne Jugend - Grünalternative Jugend	533665483708070	Facebook	u13_17	unknown (13-17)	9	1	240	82	0	0
Die Grünen	Die Grünen	21759893033	Facebook	u13_17	unknown (13-17)	22	1	240	106	2	0
Vänsterpartiet	Vänsterpartiet	323156205347	Facebook	u13_17	unknown (13-17)	1	1	230	46	0	0
Nyhetssajten Europaportalen	Nyhetssajten Europaportalen	8005743307	Facebook	u13_17	unknown (13-17)	6	1	226	76	4	1
BÜNDNIS 90/DIE GRÜNEN	BÜNDNIS 90/DIE GRÜNEN	47217143218	Facebook	u13_17	unknown (13-17)	78	1	222	60	3	0
Casper Pedersen	Pedersen Casper	2252326791657399	Facebook	u13_17	unknown (13-17)	2	1	221	43	0	0
CicloZero.com	Raquel Del Val Villaverde	228274408053486	Facebook	u13_17	unknown (13-17)	3	1	221	76	0	0
CDU Hamburg	CDU Landesverband Hamburg	173796242642081	Facebook	u13_17	unknown (13-17)	8	1	212	47	1	0
Skuola.net	Skuola.net	126578555602	Facebook	u13_17	unknown (13-17)	7	1	210	81	0	0
Sverigedemokraterna Region Stockholm	SD Stockholm	1729304067391998	Facebook	u13_17	unknown (13-17)	3	1	200	40	1	0
Răcnetul Oamenilor Sătui	IOANITA MARIN-IOANA	165452684079944	Facebook	u13_17	unknown (13-17)	4	1	197	98	0	0
Alfred Sant	Alfred Sant	537789116260209	Facebook	u13_17	unknown (13-17)	17	1	195	61	0	0
Alternativet	Alternativet	676061179094769	Facebook	u13_17	unknown (13-17)	4	1	193	70	1	0
Michael Briguglio	Michael Briguglio	1040577706078198	Facebook	u13_17	unknown (13-17)	19	1	192	42	1	0
Cyrus Engerer	Cyrus Engerer	212468218793878	Facebook	u13_17	unknown (13-17)	15	1	191	40	0	0
Partit Nazzjonalista	Partit Nazzjonalista	159249234115841	Facebook	u13_17	unknown (13-17)	8	1	185	82	1	0
Christian Zoll	Vorarlberger Volkspartei	601419393620184	Facebook	u13_17	unknown (13-17)	1	1	181	72	0	0
