gender_code	gender_label	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
f	female	LV	Latvia	2477	611	12082590	4239458	55433	5809
m	male	LV	Latvia	2310	599	9582682	3374641	42030	4746
u	unknown	LV	Latvia	2157	554	55227	19492	260	32
