week_code	week_label	first_day	last_day	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
w020	Week 20	2019-05-13	2019-05-13	IT	Italy	2014	501	10664252	4000193	54493	5611
w019	Week 19	2019-05-06	2019-05-12	IT	Italy	4007	794	89845943	32391897	452149	49333
w018	Week 18	2019-04-29	2019-05-05	IT	Italy	3014	860	52111128	18951337	258510	30827
w017	Week 17	2019-04-22	2019-04-28	IT	Italy	2028	792	26315601	9843397	115028	14408
w016	Week 16	2019-04-15	2019-04-21	IT	Italy	2038	992	16806946	5821984	104432	8798
w015	Week 15	2019-04-08	2019-04-14	IT	Italy	2934	1444	33261519	11882389	189931	18148
w014	Week 14	2019-04-01	2019-04-07	IT	Italy	2566	1337	28946858	10016506	155584	13801
w013	Week 13	2019-03-25	2019-03-31	IT	Italy	2232	1124	29676903	11031777	143659	13535
w012	Week 12	2019-03-18	2019-03-24	IT	Italy	2210	1116	26536327	9413608	135853	11116
w011	Week 11	2019-03-11	2019-03-17	IT	Italy	1859	1010	24275544	8849520	131922	11006
w010	Week 10	2019-03-04	2019-03-10	IT	Italy	1384	759	20343300	7107110	97050	8032
w009	Week 9	2019-02-25	2019-03-03	IT	Italy	743	383	13649159	5237456	64279	8225
w008	Week 8	2019-02-18	2019-02-24	IT	Italy	386	163	4698249	1892544	23254	3164
w007	Week 7	2019-02-11	2019-02-17	IT	Italy	378	137	4452379	1675622	33963	3913
w006	Week 6	2019-02-04	2019-02-10	IT	Italy	286	118	3618483	1263305	21961	2768
w005	Week 5	2019-01-28	2019-02-03	IT	Italy	258	102	1143941	373672	6539	176
w004	Week 4	2019-01-21	2019-01-27	IT	Italy	288	91	2917441	1108016	15921	1139
w003	Week 3	2019-01-14	2019-01-20	IT	Italy	257	89	2427824	908249	17598	1971
w002	Week 2	2019-01-07	2019-01-13	IT	Italy	251	77	2697400	857448	19249	1707
w001	Week 1	2019-01-01	2019-01-06	IT	Italy	208	66	2188500	769756	12786	970
